名称,委員数,委員数（女性）,平成27年度開催回数,所管課
名誉区民選定委員会,14,,0,秘書担当
特別職給料等及び政務活動費審議会,10,2,1,総務課
行政不服審査会,5,1,10,総務課
情報公開制度及び個人情報保護制度運営審議会,10,5,2,総務課
国民健康保険運営協議会,20,5,1,国保年金課
男女共同参画推進委員会,15,9,4,人権同和・男女共同参画課
男女共同参画苦情調整委員会,3,1,1,人権同和・男女共同参画課
防災会議,50,5,1,防災課
子ども・子育て会議,30,14,6,子育て支援課
いじめ問題調査委員会,5人以内,,0,人権同和・男女共同参画課
国民保護協議会,49,5,1,安全支援課
生活安全推進協議会,28,1,1,安全支援課
老朽建物等審議会,7,1,4,安全支援課
協治（ガバナンス）まちづくり推進基金審査会,10,5,2,区民活動推進課
環境審議会,15,4,3,環境保全課
廃棄物減量等推進審議会,18,8,2,すみだ清掃事務所
民生委員推薦会,11,3,2,厚生課
障害者審査会,10,,24,障害者福祉課
介護認定審査会,124,43,292,介護保険課
興行場法､旅館業法及び公衆浴場法運営協議会,10,0,0,保健計画課
大気汚染障害者認定審査会,5,1,12,保健計画課
公害健康被害認定審査会,9,1,12,保健計画課
公害健康被害診療報酬審査会,5,2,12,保健計画課
感染症診査協議会,10,4,47,保健予防課
保健衛生協議会,30,7,2,保健計画課
都市計画審議会,21,2,3,都市計画課
まちづくり検討委員会,6,1,0,都市計画課
景観審議会,9,1,3,都市計画課
建築紛争調停委員会,4,1,1,建築指導課
建築審査会,5,1,6,都市計画課
学童災害共済審査会,8,0,1,学務課
青少年問題協議会,38,8,1,生涯学習課
文化財保護審議会,7,1,5,生涯学習課
いじめ問題専門委員会,7,3,4,指導室
