区市町村名,受付窓口,電話番号
千代田区,東日本大震災被災者総合相談窓口,03-3264-2111（内線3950）
中央区,(1)区民生活課総合窓口係（区役所）,(1)03-3546-5322（直通）
中央区,(2)日本橋特別出張所区民係,(2)03-3666-4253（直通）
中央区,(3)月島特別出張所区民係,(3)03-3531-1153（直通）
港区,(1)芝地区総合支所区民課,(1)03-3578-3111
港区,(2)麻布地区総合支所区民課,(2)03-3583-4151
港区,(3)赤坂地区総合支所区民課,(3)03-5413-7011
港区,(4)高輪地区総合支所区民課,(4)03-5421-7611
港区,(5)芝浦港南地区総合支所区民課,(5)03-3456-4151
新宿区,地域文化部戸籍住民課住民記録係,03-5273-3601
文京区,区民部区民課,03-5803-1170
台東区,総務部危機・災害対策課,03-5246-1092
墨田区,都市計画部危機管理担当安全支援課,03-5608-6199
江東区,総務部危機管理課被災者支援担当,03-3647-8638
品川区,総務部総務課総務係,03-5742-6625
目黒区,戸籍住民課住民記録証明係,03-5722-9795
大田区,区長政策室区民の声課,03-5744-1135
世田谷区,危機管理室災害対策課,03-5432-2266
渋谷区,危機管理対策部防災課,03-3463-4475
中野区,区民サービス管理部区民サービス分野区民相談担当,03-3228-8802
杉並区,区民生活部区民課管理係,03-3312-2111
豊島区,区民部総合窓口課,03-4566-2331
北区,危機管理室危機管理課,03-3908-1121
荒川区,戸籍住民課,03-3802-3111（内線2353）
板橋区,区民文化部戸籍住民課,03-3579-2205
練馬区,危機管理室危機管理課庶務係,03-5984-2762
足立区,(1)戸籍住民課窓口サービス係（区役所）,(1)03-3880-5867
足立区,(2)伊興区民事務所,(2)03-3899-1048
足立区,(3)梅田区民事務所,(3)03-3880-5381
足立区,(4)興本区民事務所,(4)03-3889-0457
足立区,(5)江南区民事務所,(5)03-3912-9351
足立区,(6)江北区民事務所,(6)03-3890-4201
足立区,(7)佐野区民事務所,(7)03-3628-3271
足立区,(8)鹿浜区民事務所,(8)03-3853-2301
足立区,(9)新田区民事務所,(9)03-3919-7126
足立区,(10)千住区民事務所,(10)03-3882-1133
足立区,(11)竹の塚区民事務所,(11)03-3883-1400
足立区,(12)舎人区民事務所,(12)03-3899-4014
足立区,(13)中川区民事務所,(13)03-3605-8471
足立区,(14)西新井区民事務所,(14)03-3890-4331
足立区,(15)花畑区民事務所,(15)03-3884-4451
足立区,(16)東綾瀬区民事務所,(16)03-3620-1951
足立区,(17)保塚区民事務所,(17)03-3858-9870
葛飾区,地域振興部危機管理課管理係,03-5654-8223
江戸川区,生活振興部地域振興課コミュニティ係,03-5662-0515
八王子市,生活安全部防災課,042-620-7207
立川市,市民生活部市民課,042-528-4311
武蔵野市,市民部市民課,0422-60-1838
三鷹市,総務部相談・情報課,0422-44-6600
青梅市,健康福祉部生活福祉課,0428-22-1111（内線219７）
府中市,政策総務部広報課（市民相談室）,042-366-1711
昭島市,企画部企画政策室企画調整担当,042-544-5111（内線2376）
調布市,市民部市民課,042-481-7041
町田市,市民部市民課総務係,042-724-4225
小金井市,総務部地域安全課防災消防係,042-387-9807
小平市,市民部市民課,042-346-9520
日野市,総務部防災安全課安全安心係,042-585-1100
東村山市,環境安全部防災安全課,042-393-5111（内2433）
国分寺市,健康部地域共生推進課,042-325-0111（内線566）
国立市,行政管理部防災安全課,042-576-2111（内線147）
福生市,総務部安全安心まちづくり課防災係,042-551-1638（直通）042-551-1511（内線2322）
狛江市,総務部安心安全課,03-3430-1111
東大和市,総務部防災安全課,042-563-2111（内線1352）
清瀬市,総務部防災防犯課,042-497-1847
東久留米市,環境安全部防災防犯課,042-470-7769
武蔵村山市,健康福祉部地域福祉課,042-565-1111（内線153）
多摩市,総務部防災安全課,042-338-6802
稲城市,市民部市民課,042-378-2111
羽村市,市民生活部防災安全課防災係,042-555-1111（内線207）
あきる野市,企画政策部企画政策課,042-558-1111
西東京市,市民部市民課受付係,042-460-9820
瑞穂町,住民部地域課安全係,042-557-7610
日の出町,町民課窓口サービス係,042-597-0511（内線282）
檜原村,総務課総務係,042-598-1011
奥多摩町,企画財政課,0428-83-2360
大島町,防災対策室防災係,04992-2-0035
利島村,総務課,04992-9-0011
新島村,総務課行政係,04992-5-0240
神津島村,総務課行政係防災担当,04992-8-0011
三宅村,総務課防災危機管理係,04994-5-0935
御蔵島村,総務課総務係,04994-8-2121
八丈町,総務課庶務係,04996-2-1121
青ヶ島村,総務課,04996-9-0111
小笠原村,総務課総務係,04998-2-3111
