届出書,内容,関係法令,担当,TEL
火薬類販売営業許可申請書,火薬類の販売業を行う場合は、知事の許可を受けてください。,火薬類取締法,商工担当,04996-2-1113
火薬類販売営業廃止届書,販売業者がその営業の全部又は一部を廃止したときは、遅滞なく経済産業大臣又は知事に届け出てください。,火薬類取締法,商工担当,04996-2-1113
火薬庫設置等許可申請書,火薬庫を設置、移転、変更をする場合、知事の許可を受けてください。,火薬類取締法,商工担当,04996-2-1113
完成検査申請書,火薬類の製造施設の設置又は火薬庫の設置もしくは移転をした場合は、完成検査を受けてください。,火薬類取締法,商工担当,04996-2-1113
保安検査申請書,製造業者又は火薬類の所有者・占有者は、定期的に保安検査を受けてください。,火薬類取締法,商工担当,04996-2-1113
火薬類輸入許可申請書,火薬類を輸入する場合は、知事の許可を受けてください。,火薬類取締法,商工担当,04996-2-1113
火薬類輸入届,火薬類を輸入した場合は、遅滞なく知事に届け出てください。,火薬類取締法,商工担当,04996-2-1113
火薬類譲渡許可申請書,火薬類を譲り渡そうとする場合は、知事の許可を受けてください。,火薬類取締法,商工担当,04996-2-1113
火薬類譲受許可申請書,火薬類を譲り受けようとする場合は、知事の許可を受けてください。,火薬類取締法,商工担当,04996-2-1113
火薬類消費許可申請書,火薬類を爆発させ、又は燃焼させようとする者は、知事の許可を受けてください。,火薬類取締法,商工担当,04996-2-1113
火薬類譲受・消費許可申請書,消費の許可とあわせて譲受の許可を受ける場合は、指定様式に記載の上、火薬類消費計画を添えて、知事に提出してください。,火薬類取締法,商工担当,04996-2-1113
火薬類廃棄許可申請書,火薬類を廃棄しようとする場合は、知事の許可を受けてください。,火薬類取締法,商工担当,04996-2-1113
火薬類記載事項変更届,許可書の内容に変更がある場合は、遅滞なく知事に届け出てください。,,,
