窓口事務名,内容,関係法令,担当,TEL
大気汚染防止法関係各種施設に関わる届出,大気汚染防止法により、ばい煙発生施設、一般粉じん発生施設、特定粉じん発生施設を設置する場合などの各種届出。詳細は、こちら。,大気汚染防止法,商工担当,04996-2-1113
水質汚濁防止法関係特定施設に関わる届出,水質汚濁防止法により、特定施設を設置する場合などの各種届出。詳細は、こちら。,水質汚濁防止法,商工担当,04996-2-1113
東京都環境確保条例関係工場及び指定作業場に関わる届出・申請,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）により、工場及び指定作業場を設置、変更する場合などの各種届出・申請。詳細は、こちら。,東京都環境確保条例（都民の健康と安全を確保する環境に関する条例）,商工担当,04996-2-1113
火薬類取締法関係火薬類の規制に関わる届出・申請,火薬類取締法により、火薬類の販売業を行う場合などの各種届出・申請。詳細は、こちら。,火薬類取締法,商工担当,04996-2-1113
砂利採取法、採石法に定める採取計画に関わる手続き,支庁管内で、事業として砂利や石の採取をする場合の手続き。,砂利採取法、採石法、自然公園法,商工担当,04996-2-1113
農薬販売届,八丈町及び青ヶ島村で農薬を販売する場合及び既に届出した方が内容を変更する場合の届出。詳細は、こちら。,農薬取締法,農務担当,04996-2-4514
家畜人工授精師免許,住所地が八丈町及び青ヶ島村の方への家畜人工授精師免許の交付・書換交付・再交付・取消など手続き窓口。詳細は、こちら。,家畜改良増殖法,農務担当,04996-2-4514
家畜商免許,住所地又は本社所在地が八丈町又は青ヶ島村の方への家畜商免許の交付・書換交付・再交付・取消など手続き窓口。詳細は、こちら。,家畜商法,農務担当,04996-2-4514
蜜蜂転飼許可,都外から蜜蜂を転飼する場合の許可申請窓口。詳細は、こちら。,養蜂振興法,農務担当,04996-2-4514
蜜蜂飼育届出、蜜蜂飼育変更届出,蜜蜂を飼育する場合又は飼育変更する場合の届出窓口。詳細は、こちら。,養蜂振興法,農務担当,04996-2-4514
チャレンジ農業支援事業,チャレンジ農業支援事業申請書受付。詳細は、こちら。,,農務担当,04996-2-4514
林道占有（使用）申請,林産物の搬出等の目的以外で林道を占有（使用）する場合の申請手続き。詳細は、こちら。,東京都林道管理基準,林務担当,04996-2-1113
狩猟者登録申請,都内で狩猟しようとする場合の登録申請手続き。詳細は、こちら。,鳥獣の保護及び狩猟の適正化に関する法律,林務担当,04996-2-1113
漁船登録関係各種申請・届出,漁船の登録・変更・登録票の再交付・漁船登録謄本の交付などの各種申請及び届出。,漁船法,水産担当,04996-2-1113
遊漁船業登録関係各種申請・届出,遊漁船業者の登録・変更、業務規程の届出・変更などの各種申請及び届出。,遊漁船業の適正化に関する法律,水産担当,04996-2-1113
