届出書,内容,関係法令,担当,TEL
設置届出書,特定施設を設置する場合は、工事実施の60日前までに届け出てください。,水質汚濁防止法??,商工担当,04996-2-1113
（特定施設）,,水質汚濁防止法??,商工担当,04996-2-1113
設置届出書,有害物質使用特定施設を設置する場合は、工事実施の60日前までに届け出てください。,水質汚濁防止法??,商工担当,04996-2-1113
（有害物質使用特定施設）,,水質汚濁防止法??,商工担当,04996-2-1113
使用届出書,法改正等で、新たに、特定施設が追加された場合などに必要です。既に該当する施設を設置している場合は、30日以内に届け出てください。1新たに水質汚濁防止法で特定施設が指定された場合、該当する施設について。2指定地域特定施設（201人以上500人以下のし尿浄化槽）について、新たに地域を指定した場合、該当地域ですでに設置している該当施設について。,水質汚濁防止法??,商工担当,04996-2-1113
変更届出書,特定施設の構造、使用方法、処理の方法を変更（排水量の変更や原材料の変更も含みます。）するときは、工事実施の60日前までに届け出てください。,水質汚濁防止法??,商工担当,04996-2-1113
氏名等変更等届出書,以下の変更があったときは、30日以内に届け出てください。1届出者の氏名、名称及び住所、法人にあってはその代表者2工場、事業場の名称、地番変更等による所在地,水質汚濁防止法??,商工担当,04996-2-1113
使用廃止届出書,特定施設の使用を廃止したときは廃止後30日以内に届け出てください。,水質汚濁防止法??,商工担当,04996-2-1113
継承届出書,特定施設を譲り受け、または、借り受けたとときは30日以内に届け出てください。,水質汚濁防止法??,商工担当,04996-2-1113
委任状,法人で、代表者以外の代理人が届出を行うときに添付してください。,水質汚濁防止法??,商工担当,04996-2-1113
