年,月,日,Month,Day,Year,回数 N-th time,人口 Population,選挙当日有権者数 Eligible voters as of election day,投票者数 Voters,議員定数 Number of seats,議員1人当たり人口 Population per representative,議員1人当たり有権者数 Eligible voters per representative,投票率 Voter turnout (%)
平成元,7,2,July,2,1989,12,11939738,8820228,5180651,128,93279,68908,58.74
平成5,6,27,June,27,1993,13,11932935,9140458,4700487,128,93226,71410,51.43
平成9,7,6,July,6,1997,14,11817537,9393311,3832312,127,93051,73963,40.8
平成13,6,24,June,24,2001,15,12142925,9709557,4862229,127,95614,76453,50.08
平成17,7,3,July,3,2005,16,12583657,10082864,4435435,127,99084,79393,43.99
平成21,7,12,July,12,2009,17,13001032,10469729,5705441,127,102370,82439,54.49
,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,
22-2  選挙別人口，有権者数及び投票率 (3) 都議会議員選挙 (平成元～21年) 22-2  POPULATION， ELECTORATE， AND VOTER TURNOUT BY ELECTION (3) ELECTION OF MEMBERS OF THE TOKYO METROPOLITAN ASSEMBLY ( 1989-2009 ),,,,,,,,,,,,,
資料：都選挙管理委員会事務局選挙課 Source: Tokyo Metropolitan Election Administration Commission,,,,,,,,,,,,,
