年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成19,2007,平均,Average,100.8,97.8,106.3,103.7,102.6,100.2,95.7,102,104.2,-,-,-,-,96.7,106,92.1,-
平成20,2008,平均,Average,99.4,96,106.3,104.4,105.7,99.6,94.9,101,107.2,-,-,-,-,87.1,105.5,91.1,-
平成21,2009,平均,Average,97.5,92.3,103.6,101.3,105.4,97.9,94.8,100.7,104.9,-,-,-,-,83,104.9,91,-
平成22,2010,平均,Average,98.3,94,103.8,103.2,106.1,98,95.6,100.3,105.1,-,-,-,-,86,110.4,93.4,-
平成23,2011,平均,Average,97.8,93.4,103.9,102.4,108.7,98.3,96.5,99,104.3,-,-,-,-,83.2,109.3,91.1,-
平成23,2011,1,Jan.,91.9,89.7,94.7,93.9,99.4,92.4,91.6,94.9,98.9,-,-,-,-,76,105.8,85.1,-
平成23,2011,2,Feb.,94.3,89.4,102,101,101.7,95.3,95,95.8,97.7,-,-,-,-,77.7,101.5,86.5,-
平成23,2011,3,Mar.,99.7,99.5,109.4,104.1,128.7,100.1,96.5,100.9,108.8,-,-,-,-,87.2,112.5,100.7,-
平成23,2011,4,Apr.,100.9,97.6,108.8,107,114.7,101.2,99.1,101.7,107.7,-,-,-,-,89.2,114.1,94.4,-
平成23,2011,5,May,94.2,87.7,97.2,96.1,106.7,93.4,92.7,94.7,100.8,-,-,-,-,86.8,109.8,85.2,-
平成23,2011,6,June,102.7,100.5,107.8,107.1,121,102.4,100.4,103.7,109,-,-,-,-,95.7,113.4,99.9,-
平成23,2011,7,July,100,92.8,105.4,106.4,105.6,100.8,97.5,100.9,106,-,-,-,-,82.8,111.3,90.3,-
平成23,2011,8,Aug.,98.1,91.9,104.2,100.2,111.6,100.7,97.1,99.5,108.8,-,-,-,-,63.2,114.3,92.5,-
平成23,2011,9,Sept.,97.8,94.5,104.2,101.7,104,98.7,95.9,98.6,102.5,-,-,-,-,86.6,111,89.3,-
平成23,2011,10,Oct.,97.5,93.5,105,101.9,104.5,97.9,96.7,98,104.2,-,-,-,-,88.4,104.8,88.5,-
平成23,2011,11,Nov.,98.6,95.1,105.2,105.3,107,99.5,97.6,99.5,103.4,-,-,-,-,88.3,104.6,90.3,-
平成23,2011,12,Dec.,97.6,88.6,102.8,104.1,99.1,97,98.1,100.2,104.1,-,-,-,-,76.8,108.4,90.9,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-11  産業別常用労働者労働時間指数 (総実労働時間) (平成19～23年) 7-11  HOURS WORKED INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL HOURS WORKED ) ( 2007-2011 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。なお、平成22年1月分から平成19年11月改定の日本標準産業分類による表章に変更しているが、平成21年以前の指数(旧産業分類)と接続しない産業の指数、前年比等については算出できないため、「-」と表記している。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
（平成17年平均＝100）  (2005 average＝100),,,,,,,,,,,,,,,,,,,,
