品目,Item,区分,Classification,項番 Item number,区分,Classification,銘柄,Specification,単位,Unit,マーク Mark,23年平均 2011 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
食料,Food,穀類,Cereals,1,うるち米（単一原料米，「コシヒカリ」以外）,"Non-glutinous rice(single ingredient， excluding ""Koshihikari"")",国内産，精米，単一原料米(産地品種及び産年が同一のもの)袋入り(5kg入り)コシヒカリを除く,"Domestic， polished， single ingredient (those area， year of production and variety are the same)， in bag (5kg)， excluding ""Koshihikari""",1袋,1 bag,,2053,2038,2020,2006,2039,2029,2035,2003,2038,2067,2086,2128,2150
食料,Food,穀類,Cereals,2,食パン,White bread,普通品,Ordinary quality,1kg,1kg,,439,430,439,434,438,439,437,446,450,444,429,437,441
食料,Food,穀類,Cereals,3,即席めん,Instant noodles,中華タイプ，内容量77g入り，「カップヌードル」,"Chinese type， net 77g， ""Cup Noodle""",1個,1 cup,,145,144,148,144,147,144,146,143,145,142,144,146,147
食料,Food,魚介類,Fish & seafood,1,まぐろ,Tuna fish,めばち 又は きはだ，刺身用，さく，赤身,"Big-eyed tuna or Yellowfin tuna， for  ""Sashimi""， not sliced， lean",100g,100g,,398,404,399,396,414,404,396,404,392,390,391,390,394
食料,Food,魚介類,Fish & seafood,2,あじ,Horse mackerel,まあじ，丸(長さ約15cm以上）,Jack mackerel， whole (about 15cm or more in length),100g,100g,,107,118,101,122,98,97,107,120,108,114,101,100,97
食料,Food,魚介類,Fish & seafood,3,いか,Cuttlefish,するめいか,Sagittated calamary,100g,100g,,88,79,74,88,101,116,106,97,78,90,84,69,70
食料,Food,肉類,Meats,1,牛肉(ロース),Beef (loin),国産品，ロース,Domestic，loin,100g,100g,,794,822,795,803,808,790,814,788,776,782,781,774,796
食料,Food,肉類,Meats,2,豚肉(ロース),Pork (loin),ロース,Loin ,100g,100g,,237,234,233,236,236,239,237,240,240,238,241,236,238
食料,Food,肉類,Meats,3,鶏肉,Chicken,ブロイラー，もも肉,Broiler， legs,100g,100g,,131,129,133,133,134,133,130,129,131,130,130,130,129
食料,Food,肉類,Meats,4,ハム,Ham,ロースハム， ＪＡＳ格付けなし， 普通品,Ham (Loin)， not Japanese Agricultural Standard (JAS) certified， ordinary quality,100g,100g,,232,234,233,232,234,232,231,232,231,232,230,232,230
食料,Food,乳卵類,Dairy products & eggs,1,牛乳(店頭売り，紙容器入り) ,Fresh milk (sold in stores， in cartons),牛乳，店頭売り，紙容器入り（1000mL入り）,Fresh milk， sold in stores， in carton （1000mL）,1本,1 carton,,217,218,216,215,221,221,217,216,216,215,217,217,218
食料,Food,乳卵類,Dairy products & eggs,2,鶏卵,Hen eggs,白色卵，Ｌｻｲｽﾞ，ﾊﾟｯｸ詰（10個入り)   ,White eggs，size L，packed (10 eggs),1パック,1 pack,,228,226,229,232,265,252,224,220,212,217,221,219,223
食料,Food,野菜・海草,Vegetables & seaweeds,1,キャベツ,Cabbage,,,1kg,1kg,,163,186,228,206,195,127,106,174,123,148,187,139,137
食料,Food,野菜・海草,Vegetables & seaweeds,2,だいこん,Radishes,　　　　　　　　　　　　　　　　　　　　　,,1kg,1kg,,149,122,150,157,147,122,140,161,156,180,216,131,108
食料,Food,野菜・海草,Vegetables & seaweeds,3,豆腐,"""Tofu""，bean curd",木綿豆腐，並,"""Momen-tofu""，ordinary quality.",100g,100g,,30,31,31,31,30,30,30,29,29,29,28,28,28
食料,Food,果物,Fruits,1,りんご(ふじ),"Apples (""Fuji"")",ふじ， 1個  200～400g ,Fuji，200-400g each   ,1kg,1kg,* 3月 Mar.,475,462,456,447,438,463,485,527,...,...,...,498,463
食料,Food,果物,Fruits,2,みかん,Mandarin oranges,温州みかん(ハウスみかんを除く)，1個 70～130g,"""Satsuma mandarins (excluding greenhouse stuff)""， 70 - 130g each",1kg,1kg,* 9月 Sept.,545,560,640,702,...,...,...,...,...,768,503,455,455
食料,Food,果物,Fruits,3,いちご,Strawberries,,,100g,100g,,139,154,143,137,116,119,...,...,...,...,...,...,163
食料,Food,油脂・調味料,Oils， fats & seasonings,1,食用油,Edible oil,キャノーラ（なたね）油，ポリ容器入り（1000g入り）,Canola oil， in polyethylene container (1000g),1本,1 bottle,,338,342,334,340,340,353,340,348,341,334,329,331,326
