年度末,End of fiscal year,地域階層,地区コード,地域,District,終末処理場数 Sewerage treatment plants,ポンプ所数 Pumping stations,事務所数 Sewerage offices,下水道暗きょ Sewer pipes／総数 Total (m),下水道暗きょ Sewer pipes／幹線 Trunk sewers (m),下水道暗きょ Sewer pipes／枝線 Branch sewers (m),マンホール数 (個) Manholes,汚水枡数 (個) Sewage basins
平成21,2009,0,13000,総数,Tokyo-to,20,85,9,16062394,1306885,14755508,480827,1878639
平成22,2010,0,13000,総数,Tokyo-to,20,85,9,16088813,1308608,14780205,481409,1885761
平成23,2011,0,13000,総数,Tokyo-to,20,86,8,16129274,1314822,14814452,482328,1894493
平成23,2011,1,13100,区部,All ku,13,84,7,15897084,1082632,14814452,481098,1894493
平成23,2011,2,13101,千代田区,Chiyoda-ku,-,2,1,286283,36646,249637,6606,26193
平成23,2011,2,13102,中央区,Chuo-ku,-,8,-,314317,24945,289372,6911,27814
平成23,2011,2,13103,港　区,Minato-ku,1,4,-,459729,54450,405279,11317,40762
平成23,2011,2,13104,新宿区,Shinjuku-ku,1,-,-,481623,32931,448692,14167,61568
平成23,2011,2,13105,文京区,Bunkyo-ku,-,2,-,318364,47950,270414,8788,37725
平成23,2011,2,13106,台東区,Taito-ku,-,2,1,370169,44901,325268,8707,43631
平成23,2011,2,13107,墨田区,Sumida-ku,-,5,-,367768,26915,340853,10310,49424
平成23,2011,2,13108,江東区,Koto-ku,2,20,1,726146,40895,685251,16901,53491
平成23,2011,2,13109,品川区,Shinagawa-ku,-,6,-,443110,33701,409409,13153,67724
平成23,2011,2,13110,目黒区,Meguro-ku,-,-,-,351841,22763,329078,11929,59080
平成23,2011,2,13111,大田区,Ota-ku,1,10,1,1200018,83002,1117016,35588,155600
平成23,2011,2,13112,世田谷区,Setagaya-ku,-,-,-,1571384,105462,1465922,51554,193736
平成23,2011,2,13113,渋谷区,Shibuya-ku,-,-,-,310304,15749,294555,10339,52227
平成23,2011,2,13114,中野区,Nakano-ku,1,-,1,437539,30115,407424,14087,74226
平成23,2011,2,13115,杉並区,Suginami-ku,-,-,-,811937,41911,770026,24294,113599
平成23,2011,2,13116,豊島区,Toshima-ku,-,-,-,393024,27997,365027,13905,67888
平成23,2011,2,13117,北　区,Kita-ku,1,2,1,456194,24361,431833,13701,66613
平成23,2011,2,13118,荒川区,Arakawa-ku,1,3,-,309535,33431,276104,8382,44415
平成23,2011,2,13119,板橋区,Itabashi-ku,1,1,-,798153,63789,734364,26113,105671
平成23,2011,2,13120,練馬区,Nerima-ku,-,-,-,1267756,64182,1203574,42535,155166
平成23,2011,2,13121,足立区,Adachi-ku,2,6,-,2087973,107506,1980467,63897,150730
平成23,2011,2,13122,葛飾区,Katsushika-ku,1,7,1,1017618,53348,964270,33507,114897
平成23,2011,2,13123,江戸川区,Edogawa-ku,1,6,-,1116299,65682,1050617,34407,132313
平成23,2011,2,,流域下水道,Drainage basin sewer system,7,2,1,232190,232190,-,1230,-
,,,,,,,,,,,,,
6-9  地域別下水道施設及び付属設備 （平成21～23年度末） ,,,,,,,,,,,,,
6-9  SEWERAGE FACILITIES AND EQUIPMENT BY DISTRICT ,,,,,,,,,,,,,
(End of Fiscal Years 2009～2011) ,,,,,,,,,,,,,
この表は都下水道局の事業実績である。              　　Data here are business figures of the Bureau of Sewerage，TMG.,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課      Source: Bureau of Sewerage， TMG,,,,,,,,,,,,,
