男女 ,Gender,項番 Item number,産業,Industry,総数 Total,総数 Total／平均年齢 Average age,15～19歳 15-19 years old,20～24歳 20-24 years old,25～29歳 25-29 years old,30～34歳 30-34 years old,35～39歳 35-39 years old,40～44歳 40-44 years old,45～49歳 45-49 years old,50～54歳 50-54 years old,55～59歳 55-59 years old,60～64歳 60-64 years old,65～69歳 65-69 years old,70～74歳 70-74 years old,75歳以上 75 years old and over
総数,Total,,総数 ,Total,7148900,43.5,112600,542400,802900,879800,891400,784100,653500,591000,718600,500300,325100,191100,156100
総数,Total,1,農業,Agriculture,33700,55.9,-,1200,3200,1300,1800,2900,600,4000,2700,3900,3600,2600,5900
総数,Total,2,林業,Forestry,900,69.3,-,-,-,-,-,-,-,-,-,200,-,700,-
総数,Total,3,漁業,Fisheries,300,47,-,-,-,-,-,-,300,-,-,-,-,-,-
総数,Total,4,鉱業,Mining,700,32.5,-,300,-,-,300,-,100,-,-,-,-,-,-
総数,Total,5,建設業,Construction,451400,45.6,2800,18200,32400,58900,64900,55900,41700,37100,57000,35800,27500,12000,7200
総数,Total,6,製造業,Manufacturing,820800,46.5,2900,29000,72700,84300,119900,94300,89600,64600,95900,63200,51100,31300,22000
総数,Total,7,電気・ガス・熱供給・水道業,Electricity，  gas，  heat supply and water,40800,34.6,3700,9700,4900,6000,3600,3000,2300,2600,3400,800,900,-,-
総数,Total,8,情報通信業,Information and communications,588800,37.3,700,46700,123600,107800,110400,66100,45100,32700,26600,16600,5500,4900,2000
総数,Total,9,運輸業,Transport,306200,46.5,2500,12100,27400,30000,35600,34400,25700,27300,54300,29800,18300,7100,1700
総数,Total,10,卸売・小売業,Wholesale and retail trade,1238100,43.2,33000,116600,136600,147300,142900,124000,102400,98900,126600,87900,55000,35100,31700
総数,Total,11,金融・保険業,Finance and insurance,288500,41.5,-,15700,36100,33400,47700,42900,38500,31800,22300,11800,4900,2600,600
総数,Total,12,不動産業,Real estate,227000,55.3,-,7400,8600,14800,15700,20100,15700,20100,27100,24800,21300,18800,32500
総数,Total,13,飲食店，宿泊業,Eating and drinking places， accommodations,460100,41,35200,75100,40000,46800,34300,29400,34300,36500,52200,42200,17900,9600,6700
総数,Total,14,医療， 福祉,Medical， health care and welfare,510500,42.7,2500,32300,60700,64700,62700,72400,63500,49700,43600,29300,12700,8500,8000
総数,Total,15,教育， 学習支援業,Education ， learning support,334600,42.3,10400,28000,35700,44900,25900,43100,40800,34800,30800,19600,9900,5100,5600
総数,Total,16,複合サービス事業,Compound services,28300,38.6,400,5400,1800,5000,5400,1100,2200,3200,1500,1300,800,-,300
総数,Total,17,サービス業 (他に分類されないもの),Services， n.e.c.,1236200,44.2,9800,100200,136500,154200,150400,122200,105200,95700,123600,99300,73900,40500,24700
総数,Total,18,公務（他に分類されないもの）,Government，n.e.c.,194100,41.1,-,9800,29700,26500,23600,30300,18300,24200,21300,7900,2200,200,-
総数,Total,19,分類不能の産業,Industries unable to classify,387800,42,9000,34500,53000,53900,46300,42000,27200,27700,29900,25800,19400,11900,7200
男 ,Male,,総数 ,Total,4205700,44.1,55500,282100,442600,519500,546100,473600,386200,344800,428100,311200,200600,120600,94900
男 ,Male,1,農業,Agriculture,23200,54.7,-,1200,2500,1000,1800,2200,-,1900,1400,2800,2800,1800,3900
男 ,Male,2,林業,Forestry,600,69,-,-,-,-,-,-,-,-,-,200,-,400,-
男 ,Male,3,漁業,Fisheries,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
男 ,Male,4,鉱業,Mining,400,30.2,-,300,-,-,-,-,100,-,-,-,-,-,-
男 ,Male,5,建設業,Construction,371200,45.5,2600,14600,28000,46700,54400,47200,32500,30400,47400,30400,21700,9200,6000
男 ,Male,6,製造業,Manufacturing,578600,46.8,2200,19000,43200,58100,84300,70200,68700,47500,66100,47700,35000,21700,14900
男 ,Male,7,電気・ガス・熱供給・水道業,Electricity，  gas，  heat supply and water,38700,34.2,3700,9700,4500,5800,3600,2400,2000,2300,3100,800,900,-,-
男 ,Male,8,情報通信業,Information and communications,412000,37.8,-,27700,85900,74400,75000,50300,35300,23400,18500,11800,3600,4500,1500
男 ,Male,9,運輸業,Transport,257400,47.8,2000,7700,18900,23100,29400,28100,22800,22600,49400,27700,17700,6300,1700
男 ,Male,10,卸売・小売業,Wholesale and retail trade,658800,43.4,17400,62700,62800,81200,83300,64900,57300,51000,63000,45200,30000,22200,17800
男 ,Male,11,金融・保険業,Finance and insurance,147900,43.5,-,3100,15200,14600,24500,22800,21400,21300,12200,7400,3000,1900,400
男 ,Male,12,不動産業,Real estate,129500,55.3,-,3800,5100,8100,10000,11000,9600,10300,14900,15400,12600,10900,17900
男 ,Male,13,飲食店，宿泊業,Eating and drinking places， accommodations,231000,39.6,11300,42200,24600,29200,19500,16600,18400,14800,22700,16900,8900,3300,2700
男 ,Male,14,医療， 福祉,Medical， health care and welfare,126300,45.3,-,4700,13500,14600,14000,15500,19000,12800,11900,8800,3500,3300,4700
男 ,Male,15,教育， 学習支援業,Education ， learning support,144900,41.9,5900,12700,14500,17400,13300,20500,15900,14600,11700,10900,3500,2400,1600
男 ,Male,16,複合サービス事業,Compound services,18500,36.6,400,4400,1800,3300,3400,700,1000,600,1000,800,800,-,300
男 ,Male,17,サービス業 (他に分類されないもの),Services， n.e.c.,710300,45.1,5200,44700,73000,95000,87400,72800,56700,54600,70400,64400,44900,25500,15500
男 ,Male,18,公務（他に分類されないもの）,Government，n.e.c.,142400,41.2,-,6300,22500,18500,17500,23000,11700,19000,17500,5500,800,200,-
男 ,Male,19,分類不能の産業,Industries unable to classify,214000,43,4800,17200,26700,28700,24700,25200,13700,17800,16800,14300,10900,6900,6100
女 ,Female,,総数 ,Total,2943100,42.7,57200,260300,360300,360200,345300,310500,267400,246300,290600,189000,124500,70500,61200
女 ,Female,1,農業,Agriculture,10500,58.6,-,-,800,300,-,700,600,2100,1300,1100,900,800,2000
女 ,Female,2,林業,Forestry,300,70,-,-,-,-,-,-,-,-,-,-,-,300,-
女 ,Female,3,漁業,Fisheries,300,47,-,-,-,-,-,-,300,-,-,-,-,-,-
女 ,Female,4,鉱業,Mining,300,36,-,-,-,-,300,-,-,-,-,-,-,-,-
女 ,Female,5,建設業,Construction,80100,46,200,3700,4300,12200,10500,8600,9200,6800,9500,5400,5800,2800,1200
女 ,Female,6,製造業,Manufacturing,242200,45.7,700,10100,29500,26200,35700,24100,20800,17200,29800,15600,16100,9500,7100
女 ,Female,7,電気・ガス・熱供給・水道業,Electricity，  gas，  heat supply and water,2200,41.4,-,-,400,300,-,600,300,300,300,-,-,-,-
女 ,Female,8,情報通信業,Information and communications,176800,36.2,700,19000,37700,33400,35400,15800,9800,9300,8100,4800,1900,400,500
女 ,Female,9,運輸業,Transport,48800,39.8,500,4300,8600,6900,6200,6300,2900,4700,4800,2100,700,800,-
女 ,Female,10,卸売・小売業,Wholesale and retail trade,579300,42.9,15500,54000,73800,66100,59600,59100,45100,47900,63600,42700,25000,12900,14000
女 ,Female,11,金融・保険業,Finance and insurance,140600,39.5,-,12600,20900,18700,23200,20100,17100,10500,10000,4400,2000,700,300
女 ,Female,12,不動産業,Real estate,97500,55.2,-,3600,3400,6800,5700,9100,6200,9900,12200,9400,8700,8000,14600
女 ,Female,13,飲食店，宿泊業,Eating and drinking places， accommodations,229100,42.4,23900,33000,15400,17600,14800,12800,15800,21700,29500,25300,9100,6300,4000
女 ,Female,14,医療， 福祉,Medical， health care and welfare,384200,41.9,2500,27500,47300,50100,48700,56900,44500,36900,31700,20400,9100,5300,3300
女 ,Female,15,教育， 学習支援業,Education ， learning support,189600,42.5,4500,15200,21200,27500,12600,22600,24900,20200,19100,8700,6400,2700,4000
女 ,Female,16,複合サービス事業,Compound services,9800,42.2,-,1000,-,1800,2000,300,1200,2600,500,400,-,-,-
女 ,Female,17,サービス業 (他に分類されないもの),Services， n.e.c.,525900,43.1,4600,55500,63500,59200,62900,49300,48500,41100,53200,34900,29000,15000,9100
女 ,Female,18,公務（他に分類されないもの）,Government，n.e.c.,51700,40.9,-,3500,7100,8000,6200,7300,6700,5300,3800,2400,1400,-,-
女 ,Female,19,分類不能の産業,Industries unable to classify,173900,40.8,4100,17300,26300,25200,21600,16800,13500,9900,13100,11500,8500,5000,1100
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,
7-14  男女， 産業，年齢別有業者数 (平成19年10月1日) 7-14  PERSONS ENGAGED IN WORK BY GENDER， INDUSTRY， AND AGE (Oct. 1， 2007 ),,,,,,,,,,,,,,,,,,,
就業構造基本調査は標本調査であって，15歳以上の者について，ふだんの就業状態を調査している。「有業者」とは，就業者と休業者を合わせたもので， 収入を得るために一定の仕事に継続的に従事し，今後もその仕事を継続することになっている者。 総数には不詳の者が含まれているので， 総数の数字はその内訳の合計に必ずしも一致しない。,,,,,,,,,,,,,,,,,,,
The Employment Status Survey is a sample survey on the employment status of persons 15 years old and over. Working persons are a total of persons who are usually engaged in work for pay or profit and expected to be in the same status after the date of survey， and persons with a job but not working at present. The totals may not necessarily add up as they include those of unknown status.,,,,,,,,,,,,,,,,,,,
資料：総務省 「就業構造基本調査報告」 Source: Ministry of Internal Affairs and Communications ,,,,,,,,,,,,,,,,,,,
