年度,Fiscal year,個人保険 Individual Insurance／件数 Number,個人保険 Individual Insurance／金額 Value,団体保険 Group Insurance／団体数 Number,団体保険 Group Insurance／被保険者数 Persons insured,団体保険 Group Insurance／金額 Value,個人年金保険 Individual Annuity Insurance ／件数 Number,個人年金保険 Individual Annuity Insurance ／金額 Value
平成19,2007,13657641,119051262,23054,247498900,260602332,1914171,12332615
平成20,2008,13783016,113938693,22211,235812750,260216254,1969512,12219752
平成21,2009,14086032,109724639,21240,218144365,256229775,2024965,12604967
平成22,2010,14474922,106967166,20333,207229678,254238648,2042628,12473951
平成23,2011,14968624,105488916,19741,196259573,252751785,2089062,12696848
,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　15  金融 15  FINANCE,,,,,,,,
15-4  生命保険会社契約高 (3) 保有契約 (平成19～23年度) 15-4  CONTRACT AMOUNT OF LIFE INSURANCE COMPANIES (3) POLICIES IN FORCE ( Fiscal Years 2007-2011 ),,,,,,,,
資料：（一社）生命保険協会 「生命保険事業概況」 Source: The Life Insurance Association of Japan,,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,,
