年度,Fiscal year,個人保険 Individual Insurance／件数 Number,個人保険 Individual Insurance／金額 Value,団体保険 Group Insurance／被保険者数 Persons insured,団体保険 Group Insurance／金額 Value,個人年金保険 Individual Annuity Insurance ／件数 Number,個人年金保険 Individual Annuity Insurance ／金額 Value
平成19,2007,249784,5058804,-,-,298,2570
平成20,2008,279538,5071407,-,-,378,3511
平成21,2009,323483,5171516,-,-,597,4320
平成22,2010,307001,4902400,-,-,1243,6547
平成23,2011,284184,4473504,-,-,2010,8784
,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　15  金融 15  FINANCE,,,,,,,
15-4  生命保険会社契約高 (2) 転換契約 (平成19～23年度) 15-4  CONTRACT AMOUNT OF LIFE INSURANCE COMPANIES (2) CONVERTED POLICIES ( Fiscal Years 2007-2011 ),,,,,,,
資料：（一社）生命保険協会 「生命保険事業概況」 Source: The Life Insurance Association of Japan,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,
