大項目,Major item,項番 Item number,項目,Item,平成10年度 FY 1998,平成11年度 FY 1999,平成12年度 FY 2000,平成13年度 FY 2001,平成14年度 FY 2002,平成15年度 FY 2003,平成16年度 FY 2004,平成17年度 FY 2005,平成18年度 FY 2006,平成19年度 FY 2007,平成20年度 FY 2008,平成21年度 FY 2009
名目,At current prices,1,都内総生産 (生産側及び支出側)（実数）,Gross prefectural domestic product (production and expenditure approach)(A real number),89567.3,89650.2,91024.1,90264.9,88857.4,89244.7,90540,92700.9,93509.5,93813.8,88604,85201.6
名目,At current prices,2,都内総生産 (生産側及び支出側) (増加率),Gross prefectural domestic product (production and expenditure approach) (Percent changes from previous fiscal year),2.1,0.1,1.5,-0.8,-1.6,0.4,1.5,2.4,0.9,0.3,-5.6,-3.8
名目,At current prices,3,国内総生産 (生産側及び支出側)（実数）,Gross domestic product (production and expenditure approach)(A real number),503324.1,499544.2,504118.8,493644.7,489875.2,493747.5,498490.6,503186.7,510937.6,515804.3,492067,474040.2
名目,At current prices,4,国内総生産 (生産側及び支出側) (増加率),Gross domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-2,-0.8,0.9,-2.1,-0.8,0.8,1,0.9,1.5,1,-4.6,-3.7
名目,At current prices,5,国に対する都の構成比,Tokyo's percentage,17.8,17.9,18.1,18.3,18.1,18.1,18.2,18.4,18.3,18.2,18,18
実質 (連鎖方式),Real (Chain-linked),6,都内総生産 (生産側)（実数）,Gross prefectural domestic product (production approach)(A real number),88053.9,88989.1,91230.1,92068.6,92448.9,94279.5,96196.2,99038.4,99907.2,100207.9,94734,92254.7
実質 (連鎖方式),Real (Chain-linked),7,都内総生産 (生産側) (増加率),Gross prefectural domestic product (production approach) (Percent changes from previous fiscal year),3.1,1.1,2.5,0.9,0.4,2,2,3,0.9,0.3,-5.5,-2.6
実質 (連鎖方式),Real (Chain-linked),8,国内総生産 (支出側)（実数）,Gross domestic product  (expenditure approach) (A real number),489459.7,493048.7,505621.9,501617.5,507014.9,517712.9,527980.3,540025.4,552470.8,562535,539484,526735.3
実質 (連鎖方式),Real (Chain-linked),9,国内総生産 (支出側) (増加率),Gross domestic product (expenditure approach) (Percent changes from previous fiscal year),-1.5,0.7,2.6,-0.8,1.1,2.1,2,2.3,2.3,1.8,-4.1,-2.4
実質 (連鎖方式),Real (Chain-linked),10,国に対する都の構成比,Tokyo's percentage,18,18,18,18.4,18.2,18.2,18.2,18.3,18.1,17.8,17.6,17.5
実質（固定基準年方式）,Real (Fixed-based),11,都内総生産 (支出側)（実数）,Gross expenditure in Tokyo-to  (Expenditure approach)  (A real number) ,88377.3,88735.3,91208.5,92696.1,92332.4,92836.1,95421.3,98549.9,99397.6,100769.5,96330.9,92356.6
実質（固定基準年方式）,Real (Fixed-based),12,都内総生産 (支出側) (増加率),Gross expenditure in Tokyo-to  (Expenditure approach)   (Percent changes from previous fiscal year),1.9,0.4,2.8,1.6,-0.4,0.5,2.8,3.3,0.9,1.4,-4.4,-4.1
実質（固定基準年方式）,Real (Fixed-based),13,国内総生産 (支出側)（実数）,Gross domestic product  (Expenditure approach)  (A real number) ,490498.7,493480.5,505572.1,501672.9,507264.9,519629.7,531925.7,545363.4,558538.5,576186.4,559842.6,562009
実質（固定基準年方式）,Real (Fixed-based),14,国内総生産 (支出側) (増加率),Gross domestic product  (Expenditure approach)  (Percent changes from previous fiscal year),-1.5,0.6,2.5,-0.8,1.1,2.4,2.4,2.5,2.4,3.2,-2.8,0.4
実質（固定基準年方式）,Real (Fixed-based),15,国に対する都の構成比,Tokyo's percentage,18,18,18,18.5,18.2,17.9,17.9,18.1,17.8,17.5,17.2,16.4
名目,At current prices,16,都民総所得 （実数）,Gross income in Tokyo-to (A real number) ,72730.5,73232.5,75482.4,74695.7,73284.7,75364.6,77692.9,80019.2,81600.2,81034.5,74601,71180.6
名目,At current prices,17,都民総所得 (増加率),Gross prefectural income (Percent changes from previous fiscal year),1.8,0.7,3.1,-1,-1.9,2.8,3.1,3,2,-0.7,-7.9,-4.6
名目,At current prices,18,国民総所得（実数）,Gross national income(A real number),510178,505884.1,511068.8,502186.4,497916.3,502533.8,508519.4,516390.5,525936.1,533414,507364.9,486841.6
名目,At current prices,19,国民総所得 (増加率),Gross national income (Percent changes from previous fiscal year),-2,-0.8,1,-1.7,-0.9,0.9,1.2,1.5,1.8,1.4,-4.9,-4
名目,At current prices,20,国に対する都の構成比,Tokyo's percentage,14.3,14.5,14.8,14.9,14.7,15,15.3,15.5,15.5,15.2,14.7,14.6
実質（固定基準年方式）,Real (Fixed-based),21,都民総所得 （実数）,Gross income in Tokyo-to (A real number) ,71764.2,72485.1,75635.2,76707.5,76150.7,78397.5,81881.5,85068.1,86738.4,87042.7,81106.8,77158.2
実質（固定基準年方式）,Real (Fixed-based),22,都民総所得 (増加率),Gross income in Tokyo-to (Percent changes from previous fiscal year),1.6,1,4.3,1.4,-0.7,3,4.4,3.9,2,0.4,-6.8,-4.9
実質（固定基準年方式）,Real (Fixed-based),23,国民総所得（実数）,Gross national income (A real number) ,500428.6,501719.6,512348.7,510601.4,514661.9,527360.3,537921.2,550357.5,562173.8,576258.5,554850.8,563471
実質（固定基準年方式）,Real (Fixed-based),24,国民総所得 (増加率),Gross national income  (Percent changes from previous fiscal year),-1.2,0.3,2.1,-0.3,0.8,2.5,2,2.3,2.1,2.5,-3.7,1.6
実質（固定基準年方式）,Real (Fixed-based),25,国に対する都の構成比,Tokyo's percentage,14.3,14.4,14.8,15,14.8,14.9,15.2,15.5,15.4,15.1,14.6,13.7
名目,At current prices,26,都民所得 （実数）,Prefectural income(A real number),53290.7,54205.1,55730,54278.3,53026.8,54090.3,55423.2,57401,58660.9,58006.9,52437.9,50282.3
名目,At current prices,27,都民所得 (増加率),Prefectural income (Percent changes from previous fiscal year),1.2,1.7,2.8,-2.6,-2.3,2,2.5,3.6,2.2,-1.1,-9.6,-4.1
名目,At current prices,28,国民所得（実数）,National income(A real number),368975.7,364340.9,371803.9,361333.5,355761,358079.2,363897.6,365878.3,375225.8,378729,351883.4,339223.4
名目,At current prices,29,国民所得 (増加率),National income (Percent changes from previous fiscal year),-3.5,-1.3,2,-2.8,-1.5,0.7,1.6,0.5,2.6,0.9,-7.1,-3.6
名目,At current prices,30,国に対する都の構成比,Tokyo's percentage,14.4,14.9,15,15,14.9,15.1,15.2,15.7,15.6,15.3,14.9,14.8
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,,,,,,,,,
16-4 都内総生産と国内総生産等の時系列比較 (平成10～21年度） 16-4 TIME-SERIES COMPARISON OF GROSS PREFECTURAL DOMESTIC PRODUCT，GROSS DOMESTIC PRODUCT， ETC.( Fiscal Years 1998-2009 ),,,,,,,,,,,,,,,,
資料：都総務局統計部調整課 「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,
（単位  金額 10 億円，%）(Value in billions of yen， %),,,,,,,,,,,,,,,,
