年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending
平成22,2010,0,,総数,Total,72361,5548,66813,65954,62287,385,2292,990,6407
平成23,2011,0,,総数,Total,74130,6407,67723,68456,64433,423,2334,1266,5674
平成23,2011,1,1,家事審判法第9条甲類によるもの,Cases under any item of Class A， Article 9. Law for Adjustment of Domestic Relations ,71292,5494,65798,66555,63469,219,1962,905,4737
平成23,2011,2,1,後見開始の審判及びその取消し,Adjudication and revocation of  guardianship,4171,483,3688,3834,3578,14,201,41,337
平成23,2011,2,2,保佐開始の審判・ 取消し等,Adjudication and revocation of  curatorship,1355,173,1182,1196,1031,6,150,9,159
平成23,2011,2,3,補助開始の審判・ 取消し等,Adjudication and revocation of  assistantship,671,95,576,605,532,3,66,4,66
平成23,2011,2,4,不在者の財産の管理に関する処分,Decision about management of absentee's property,938,171,767,785,404,1,114,266,153
平成23,2011,2,5,失そう宣告及びその取消,Adjudication and revocation of disapperance ,949,400,549,562,441,2,107,12,387
平成23,2011,2,6,嫡出否認の訴についての特別代理人の選任,Appointment of special agent for suit of legitimacy denial,1, -,1,1,1, -, -, -, -
平成23,2011,2,7,子の氏の変更についての許可,Permission of change of children's family names,13026,125,12901,12938,12885,6,31,16,88
平成23,2011,2,8,養子をするについての許可,Permission of adoption of children,199,53,146,151,87,8,54,2,48
平成23,2011,2,9,離縁後に後見人となるべき者の選任…離縁未成年後見人,Appointment of guardians after dissolution of adoption, -, -, -, -, -, -, -, -, -
平成23,2011,2,10,離縁をするについての許可,Permission of dissolution of adoption ,255,11,244,245,233,1,10,1,10
平成23,2011,2,11,特別養子縁組（民法 817-2）,Special adoption of children (Par. 2， Art. 817 of The Civil Law),87,32,55,67,54,4,9, -,20
平成23,2011,2,12,懲戒に関する許可その他の処分,Permission of disciplinary punishment and decision about others , -, -, -, -, -, -, -, -, -
平成23,2011,2,13,利益相反行為についての特別代理人の選任,Appointment of special representative about conflict of interest ,1460,119,1341,1335,1250,7,71,7,125
平成23,2011,2,14,財産管理者の選任その他の財産の管理に関する処分,Appointment of managers of property and dicision of  management of other property, -, -, -, -, -, -, -, -, -
平成23,2011,2,15,親権又は管理権の喪失の宣言及びその取消,Adjudication and revocation of forfeit or parental authority or managing authority,28,11,17,15,3,1,11, -,13
平成23,2011,2,16,親権又は管理権を辞し又は回復についての許可,Permission of resignation and recovery of parental authority or management authority,2, -,2,2, -, -, -,2, -
平成23,2011,2,17,後見人，保佐人又は後見監督人の選任,Appointment of guardians or curators,1130,63,1067,1057,1008,2,36,11,73
平成23,2011,3,,未成年後見人選任,(of which) Appointment of infant guardians,240,36,204,198,175,1,21,1,42
平成23,2011,3,,成年後見人選任,(of which) Appointment of adult guardians,288,14,274,265,249,1,8,7,23
平成23,2011,3,,保佐人選任,(of which) Appointment of curators,31,4,27,27,25, -, -,2,4
平成23,2011,3,,補助人選任,(of which) Appointment of  assistants,15,1,14,14,11, -,3, -,1
平成23,2011,3,,未成年後見監督人選任,(of which) Appointment of supervisor of infant guardians,15, -,15,15,15, -, -, -, -
平成23,2011,3,,成年後見監督人選任,(of which) Appointment of supervisor of adult guardians,498,7,491,495,490, -,4,1,3
平成23,2011,3,,保佐監督人選任,(of which) Appointment of supervisor of curators ,37,1,36,37,37, -, -, -, -
平成23,2011,3,,補助監督人選任,(of which) Appointment of supervisor of assistants,6, -,6,6,6, -, -, -, -
平成23,2011,2,18,後見人，保佐人又は後見監督人の辞任についての許可,Permision of guardians ， curators and supervisior of gardians ,264,18,246,237,212, -,11,14,27
平成23,2011,2,19,後見人，保佐人又は後見監督人の解任,Dismissal of guardians ， curators and supervisior of gardians,56,14,42,38,15,11,8,4,18
平成23,2011,2,20,財産目録の調整の期間の伸長,Extension of the term for making property-lists,1, -,1,1,1, -, -, -, -
平成23,2011,2,21,後見人等権限行使についての定め及びその取消し,Decision  and revocation of authority of guardians and others,66, -,66,66,66, -, -, -, -
平成23,2011,2,22,禁治産者の入院についての許可,Admission of incompetent's hospitalization , -, -, -, -, -, -, -, -, -
平成23,2011,2,23,居住用不動産の処分についての許可,Admission of disporse of dwelling real property,1150,50,1100,1114,1063,1,43,7,36
平成23,2011,2,24,後見人に対する報酬の付与,Giving rewards to guardians,7309,361,6948,6997,6981, -,15,1,312
平成23,2011,2,25,後見等監督処分,Decision of curatorship to guardians and others,5061,902,4159,4398,4326, -,2,70,663
平成23,2011,2,26,管理計算の期間の伸長,Extension of the term for making property-lists,2, -,2,2,2, -, -, -, -
平成23,2011,2,27,臨時保佐人等の選任,Appointment of temporary curators and athers,25,2,23,23,19, -,4, -,2
平成23,2011,2,28,遺産の管理に関する処分,Decision for management of inheritance, -, -, -, -, -, -, -, -, -
平成23,2011,2,29,相続の承認又は放棄の期間の伸長,Extention of the term for recognition or abandonment of succession,1004,80,924,917,661,8,41,207,87
平成23,2011,2,30,相続財産の保存又は管理に関する処分,Decision of preservation or management of succeeded property,11, -,11,10,2, -,8, -,1
平成23,2011,2,31,相続の限定承認又は放棄の取消の申述の受理,Acceptance of statement of cancellation of limited recognition or abandonment of succession,27,9,18,25,11,6,8, -,2
平成23,2011,2,32,相続の限定承認の申述受理,Acceptance of statement of limited recognition of succession,137,21,116,117,110, -,5,2,20
平成23,2011,2,33,鑑定人の選任,Appointment of expert witness,8,2,6,7,6, -,1, -,1
平成23,2011,2,34,相続放棄の申述の受理,Acceptance of statement of succession abandonment ,18136,1368,16768,16919,16386,28,331,174,1217
平成23,2011,2,35,相続財産の分離に関する処分,Decision of separation of succeeded property, -, -, -, -, -, -, -, -, -
平成23,2011,2,36,分離財産管理に関する処分（財産分離）,Decision of management of separated  property, -, -, -, -, -, -, -, -, -
平成23,2011,2,37,相続財産管理人選任等その他財産の財産管理に関する処分,Appointment of managers of succeeded property and dicision of management of succeeded property  ,1819,130,1689,1662,1594,2,36,30,157
平成23,2011,2,38,特別縁故者への相続財産の分与,Distribution of succeeded property to special relations,178,57,121,116,71,5,35,5,62
平成23,2011,2,39,遺言の確認　,Confirmation of will,20,4,16,19,18, -,1, -,1
平成23,2011,2,40,遺言書の検認,Inspection of will,2819,267,2552,2607,2578, -,24,5,212
平成23,2011,2,41,遺言執行者の選任,Appointment of executors of will,393,30,363,370,354, -,16, -,23
平成23,2011,2,42,遺言執行者に対する報酬の付与,Giving rewards for executors of will　,50,7,43,44,42, -,2, -,6
平成23,2011,2,43,遺言執行者の解任及び遺言執行者の辞任についての許可,Permission of dismissal and refusal of executors of will　,53,16,37,42,25,5,11,1,11
平成23,2011,2,44,遺言の取消,Withdrawal of will,1, -,1, -, -, -, -, -,1
平成23,2011,2,45,遺留分放棄についての許可,Permission of abandonment of legal portion  ,205,23,182,175,165,1,9, -,30
平成23,2011,2,46,任意後見人に関する法律関係,The legal sistem  abaut optional guardians,430,44,386,395,366,3,22,4,35
平成23,2011,2,47,戸籍法による氏の変更についての許可,Change of family name under Census Registration Law ,1600,80,1520,1515,1328,39,147,1,85
平成23,2011,2,48,戸籍法による名の変更についての許可,Change of name under Census Registration Law ,1133,77,1056,1067,796,35,236, -,66
平成23,2011,2,49,就籍についての許可　,Entrance in census registration 　　,152,96,56,62,46,7,9, -,90
平成23,2011,2,50,戸籍の訂正についての許可,Correction of census registration ,213,36,177,185,146,8,30,1,28
平成23,2011,2,51,戸籍事件についての市町村長の処分に対する不服,Discontent with decision of heads of shi， machi and mura about registration cases,8, -,8,6, -,5,1, -,2
