年度末,End of fiscal year,地域階層,地区コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数 Number of sewage treatment plants 2),終末処理場数 Number of sewage treatment plants,普及率 (B／A) Sewerage system coverage (%),,,
平成21,2009,0,13000,総数,Tokyo-to,13003816,12922318,109387,104722,12920630,109387,104536,7,27,99,,,
平成22,2010,0,13000,総数,Tokyo-to,13056036,12984930,109258,105137,12984734,109254,104941,7,27,99,,,
平成23,2011,0,13000,総数,Tokyo-to,13079087,13016681,109260,105207,13016528,109256,105063,7,27,100,,,
平成23,2011,1,13100,区部,All ku,8929855,8920483,56375,56218,8920483,56375,56218,-,13,100,,,
平成23,2011,2,13101,千代田区,Chiyoda-ku,51663,51663,1102,1102,51663,1102,1102,-,-,100,,,
平成23,2011,2,13102,中央区,Chuo-ku,126462,126462,903,903,126462,903,903,-,-,100,,,
平成23,2011,2,13103,港区,Minato-ku,230474,230306,1986,1970,230306,1986,1970,-,1,100,,,
平成23,2011,2,13104,新宿区,Shinjuku-ku,318936,318936,1798,1798,318936,1798,1798,-,1,100,,,
平成23,2011,2,13105,文京区,Bunkyo-ku,200791,200791,1138,1138,200791,1138,1138,-,-,100,,,
平成23,2011,2,13106,台東区,Taito-ku,183226,183226,856,856,183226,856,856,-,-,100,,,
平成23,2011,2,13107,墨田区,Sumida-ku,250676,250676,1195,1195,250676,1195,1195,-,-,100,,,
平成23,2011,2,13108,江東区,Koto-ku,477816,476320,3432,3396,476320,3432,3396,-,2,100,,,
平成23,2011,2,13109,品川区,Shinagawa-ku,365682,365335,2051,2045,365335,2051,2045,-,-,100,,,
平成23,2011,2,13110,目黒区,Meguro-ku,263130,263130,1440,1440,263130,1440,1440,-,-,100,,,
平成23,2011,2,13111,大田区,Ota-ku,695795,695482,4804,4795,695482,4804,4795,-,1,100,,,
平成23,2011,2,13112,世田谷区,Setagaya-ku,857737,857263,5726,5708,857263,5726,5708,-,-,100,,,
平成23,2011,2,13113,渋谷区,Shibuya-ku,210279,210279,1511,1511,210279,1511,1511,-,-,100,,,
平成23,2011,2,13114,中野区,Nakano-ku,311172,311172,1566,1566,311172,1566,1566,-,1,100,,,
平成23,2011,2,13115,杉並区,Suginami-ku,539482,539166,3338,3332,539166,3338,3332,-,-,100,,,
平成23,2011,2,13116,豊島区,Toshima-ku,267951,267951,1299,1299,267951,1299,1299,-,-,100,,,
平成23,2011,2,13117,北区,Kita-ku,332758,332758,1836,1836,332758,1836,1836,-,1,100,,,
平成23,2011,2,13118,荒川区,Arakawa-ku,205947,205947,887,887,205947,887,887,-,1,100,,,
平成23,2011,2,13119,板橋区,Itabashi-ku,536335,536266,2997,2994,536266,2997,2994,-,1,100,,,
平成23,2011,2,13120,練馬区,Nerima-ku,708500,708268,4684,4677,708268,4684,4677,-,-,100,,,
平成23,2011,2,13121,足立区,Adachi-ku,669097,665442,4787,4772,665442,4787,4772,-,2,99,,,
平成23,2011,2,13122,葛飾区,Katsushika-ku,448313,447122,2996,2961,447122,2996,2961,-,1,100,,,
平成23,2011,2,13123,江戸川区,Edogawa-ku,677633,676522,4043,4037,676522,4043,4037,-,1,100,,,
平成23,2011,1,13200,市部,All shi,4086862,4040486,51050,47462,4040333,51046,47318,7,12,99,,,
平成23,2011,2,13201,八王子市,Hachioji-shi,563053,559153,8739,8376,559072,8739,8374,1,2,99,,,
平成23,2011,2,13202,立川市,Tachikawa-shi,178280,178280,2278,2172,178280,2278,2172,-,1,100,,,
平成23,2011,2,13203,武蔵野市,Musashino-shi,138301,138301,1073,1073,138301,1073,1073,-,-,100,,,
平成23,2011,2,13204,三鷹市,Mitaka-shi,179644,179644,1650,1644,179644,1650,1644,-,1,100,,,
