年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成19,2007,平均,Average,101.7,95.3,100.7,100.6,100.5,103.5,103.3,102.2,102.1,-,-,-,-,101.5,106,96.3,-
平成20,2008,平均,Average,103,103.6,101.2,101.6,105.1,104.6,109.2,106.5,106.9,-,-,-,-,99.2,104.1,116.7,-
平成21,2009,平均,Average,97.8,103.7,103.9,95.5,104.8,106.5,104.1,99.6,95.5,-,-,-,-,94,99.3,120.9,-
平成22,2010,平均,Average,98.5,102.7,100.8,99.5,101.3,107.5,104.1,101.1,98.4,-,-,-,-,95.9,98.9,121.7,-
平成23,2011,平均,Average,98.7,100.7,103.9,103.1,96.9,109.3,101.7,100,97.8,-,-,-,-,94.8,99.1,114.4,-
平成23,2011,1,Jan.,81.4,93.1,86.6,78.7,77,99.9,87.3,80.7,77.5,-,-,-,-,69,82,90.3,-
平成23,2011,2,Feb.,79.3,70,82.6,77.4,77.2,85.8,85.1,77.3,92.7,-,-,-,-,70.6,80.8,88.6,-
平成23,2011,3,Mar.,85.2,73.7,85.8,86.9,92.6,91.5,95.4,81.9,88.8,-,-,-,-,85.7,90.5,91.6,-
平成23,2011,4,Apr.,82.7,71.7,89.6,82.7,89,91.7,89.3,81.2,79.9,-,-,-,-,76.2,84.3,103.6,-
平成23,2011,5,May,85,67.7,93.6,77,86.3,91.1,87.3,83.3,111.4,-,-,-,-,72.2,80.1,89.7,-
平成23,2011,6,June,155.8,197.4,156.5,160.4,190.3,173.5,143.3,156.9,166.5,-,-,-,-,161,155.1,217.2,-
平成23,2011,7,July,107.2,122.2,110,136.7,75.2,117.3,106.2,121.7,83.5,-,-,-,-,100.1,102.5,96.1,-
平成23,2011,8,Aug.,78.8,70.1,89.5,78.2,73,85.7,92.2,76.8,73.6,-,-,-,-,69.6,80,91.3,-
平成23,2011,9,Sept.,79.7,73,84.3,79.1,73.5,86.6,85.1,79.4,78.4,-,-,-,-,71.7,81.9,89.5,-
平成23,2011,10,Oct.,80.4,69.4,84.3,80.3,76.6,87.1,88.3,80.5,75.7,-,-,-,-,76.2,79.2,103.4,-
平成23,2011,11,Nov.,84.1,68.6,94.9,88.5,74.5,92.1,95.8,81.4,82.6,-,-,-,-,72.2,82.9,90.7,-
平成23,2011,12,Dec.,185.1,231.4,188.5,211.6,177.2,209.5,164.8,199.4,163.5,-,-,-,-,213.5,189.8,220.4,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-9  産業別常用労働者名目賃金指数 (現金給与総額) (平成19～23年) 7-9  NOMINAL WAGE INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL CASH EARNINGS ) ( 2007-2011 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。なお、平成22年1月分から平成19年11月改定の日本標準産業分類による表章に変更しているが、平成21年以前の指数(旧産業分類)と接続しない産業の指数、前年比等については算出できないため、「-」と表記している。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
（平成17年平均＝100） (2005 average＝100)  ,,,,,,,,,,,,,,,,,,,,
