年次,Year,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of  employees,総数 Total／従業者数 Number of  employees／男 Male,総数 Total／従業者数 Number of  employees／女 Female,農業 Agriculture／事業所数 Number of establishments,農業 Agriculture／従業者数 Number of employees,農業 Agriculture／従業者数 Number of  employees ／男 Male,農業 Agriculture／従業者数 Number of  employees／女 Female,林業 Forestry／事業所数 Number of establishments,林業 Forestry／従業者数 Number of employees,林業 Forestry／従業者数 Number of  employees ／男 Male,林業 Forestry／従業者数 Number of  employees／女 Female,漁業 Fisheries／事業所数 Number of establishments,漁業 Fisheries／従業者数 Number of employees,漁業 Fisheries／従業者数 Number of  employees ／男 Male,漁業 Fisheries／従業者数 Number of  employees／女 Female,鉱業 Mining／事業所数 Number of establishments,鉱業 Mining／従業者数 Number of employees,鉱業 Mining／従業者数 Number of  employees ／男 Male,鉱業 Mining／従業者数 Number of  employees／女 Female,建設業 Construction／事業所数 Number of establishments,建設業 Construction／従業者数 Number of employees,建設業 Construction／従業者数 Number of  employees ／男 Male,建設業 Construction／従業者数 Number of  employees／女 Female,製造業 Manufacturing／事業所数 Number of establishments,製造業 Manufacturing／従業者数 Number of employees,製造業 Manufacturing／従業者数 Number of  employees ／男 Male,製造業 Manufacturing／従業者数 Number of  employees／女 Female,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／事業所数 Number of establishments,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of  employees ／男 Male,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of  employees／女 Female,情報通信業 Information and communications／事業所数 Number of establishments,情報通信業 Information and communications／従業者数 Number of employees,情報通信業 Information and communications／従業者数 Number of  employees ／男 Male,情報通信業 Information and communications／従業者数 Number of  employees／女 Female,運輸業 Transport／事業所数 Number of establishments,運輸業 Transport／従業者数 Number of employees,運輸業 Transport／従業者数 Number of  employees ／男 Male,運輸業 Transport／従業者数 Number of  employees／女 Female,卸売・小売業 Wholesale and retail trade／事業所数 Number of establishments,卸売・小売業 Wholesale and retail trade／従業者数 Number of employees,卸売・小売業 Wholesale and retail trade／従業者数 Number of  employees ／男 Male,卸売・小売業 Wholesale and retail trade／従業者数 Number of  employees／女 Female,金融・保険業 Finance and insurance／事業所数 Number of establishments,金融・保険業 Finance and insurance／従業者数 Number of employees,金融・保険業 Finance and insurance／従業者数 Number of  employees ／男 Male,金融・保険業 Finance and insurance／従業者数 Number of  employees／女 Female,不動産業 Real estate／事業所数 Number of establishments,不動産業 Real estate／従業者数 Number of employees,不動産業 Real estate／従業者数 Number of  employees ／男 Male,不動産業 Real estate／従業者数 Number of  employees／女 Female,飲食店，宿泊業 Eating and drinking places， accommodations／事業所数 Number of establishments,飲食店，宿泊業 Eating and drinking places， accommodations／従業者数 Number of employees,飲食店，宿泊業 Eating and drinking places， accommodations／従業者数 Number of  employees ／男 Male,飲食店，宿泊業 Eating and drinking places， accommodations／従業者数 Number of  employees／女 Female,医療，福祉 Medical， health care and welfare／事業所数 Number of establishments,医療，福祉 Medical， health care and welfare／従業者数 Number of employees,医療，福祉 Medical， health care and welfare／従業者数 Number of  employees ／男 Male,医療，福祉 Medical， health care and welfare／従業者数 Number of  employees／女 Female,教育，学習支援業 Education，learning support ／事業所数 Number of establishments,教育，学習支援業 Education，learning support／従業者数 Number of employees,教育，学習支援業 Education，learning support／従業者数 Number of  employees ／男 Male,教育，学習支援業 Education，learning support／従業者数 Number of  employees／女 Female,複合サービス事業 Compound services／事業所数 Number of establishments,複合サービス事業 Compound services／従業者数 Number of employees,複合サービス事業 Compound services／従業者数 Number of  employees ／男 Male,複合サービス事業 Compound services／従業者数 Number of  employees／女 Female,サービス業（他に分類されないもの） Services，n.e.c.／事業所数 Number of establishments,サービス業（他に分類されないもの） Services，n.e.c.／従業者数 Number of employees,サービス業（他に分類されないもの） Services，n.e.c.／従業者数 Number of  employees ／男 Male,サービス業（他に分類されないもの） Services，n.e.c.／従業者数 Number of  employees／女 Female,公務（他に分類されないもの） Government，n.e.c. ／事業所数 Number of establishments,公務（他に分類されないもの） Government，n.e.c. ／従業者数 Number of employees,公務（他に分類されないもの） Government，n.e.c. ／従業者数 Number of  employees ／男 Male,公務（他に分類されないもの） Government，n.e.c. ／従業者数 Number of  employees／女 Female
昭和61,1986,797483,7956726,5216817,2739909,206,2206,1611,595,31,739,641,98,32,4266,3458,808,127,5866,4676,1190,48096,532753,459690,73063,119694,1521592,1063794,457798,554,38082,32914,5168,…,…,…,…,27508,538521,464158,74363,361416,2608705,1537531,1071174,12141,407307,220515,186792,44364,174314,111809,62505,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,181193,1901783,1128808,772975,2121,220592,187212,33380
平成3,1991,777470,8777116,5620581,3156535,201,1829,1361,468,27,521,459,62,24,2236,1796,440,128,5937,4882,1055,49466,605460,507973,97487,111690,1535509,1073722,461787,526,34347,29096,5251,…,…,…,…,28212,573281,477245,96036,329763,2671269,1518362,1152907,14261,511878,275400,236478,48487,229472,145335,84137,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,192552,2373176,1390051,983125,2133,232201,194899,37302
平成8,1996,771655,8982413,5660697,3321716,277,3233,2320,913,30,992,860,132,17,376,312,64,83,3789,3063,726,52357,618868,514102,104766,97470,1325868,932878,392990,515,40528,34111,6417,…,…,…,…,30370,606846,497990,108856,322570,2841936,1630618,1211318,13880,469669,266164,203505,49130,225696,142499,83197,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,202796,2608872,1443222,1165650,2160,235740,192558,43182
平成13,2001,724769,8608794,5353180,3255614,294,3295,2367,928,23,519,446,73,8,96,77,19,80,3070,2576,494,46698,505840,423836,82004,75574,1005772,720497,285275,488,39274,33430,5844,18830,615653,450343,165310,22814,411923,351947,59976,193310,1940941,1152880,788061,11577,388992,221892,167100,51357,236649,147233,89416,106160,779216,383039,396177,34377,465460,136670,328790,19337,373423,195353,178070,2915,59760,42667,17093,138832,1546939,902099,644840,2095,231972,185828,46144
平成18,2006,690556,8704870,5381923,3322947,322,3234,2387,847,27,340,292,48,6,41,32,9,79,2650,2240,410,43157,447963,375134,72829,63104,897472,646727,250745,451,31038,26768,4270,21326,759290,567426,191864,20435,407456,346706,60750,176284,1852456,1086244,766212,9830,357847,204684,153163,51676,248743,158237,90506,100909,776562,392415,384147,40143,583353,175206,408147,20343,405225,207479,197746,2693,60947,41885,19062,137639,1633418,960826,672592,2132,236835,187235,49600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-5 産業 (大分類) 別事業所数及び男女別従業者数 (昭和61～平成18年) 8-5 ESTABLISHMENTS， WORKERS， WORKERS BY GENDER， BY INDUSTRY (DIVISIONS)  (1986-2006) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成18年の調査は産業分類を改訂したため平成8年以前とは接続しない｡平成13年は組替数値である｡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As the industrial classification was revised for the 2006 censuses respectively， the figures are not comparable to those of earlier years. For 2001， however， the figures are adjusted to the classification for the next census， respectively.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：総務省統計局 「事業所・企業統計調査報告」，   都総務局統計部経済統計課 「事業所・企業統計調査報告」 Source : Ministry of Internal Affairs and Communications，Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
