年次,Year,月次,Month,月間有効求職者数 Monthly active applications (A)／総数Total,月間有効求職者数 Monthly active applications (A)／男 Male,月間有効求職者数 Monthly active applications (A)／女 Female,新規求職申込件数 New applications (B)／総数Total,新規求職申込件数 New applications (B)／男Male,新規求職申込件数 New applications (B)／女 Female,月間有効求人数 Monthly active job openings (C),新規求人数 New job openings (D),就職件数 Persons who found employment (E)／総数Total,就職件数 Persons who found employment (E)／男 Male,就職件数 Persons who found employment (E)／女Female,充足数 Sufficiency (F),充足数 Sufficiency (F)／うち他県から of which from other prefectures,有効求人倍率 Active job openings-to-applicants ratio (C／A),就職率 Ratio of persons who found employment  (E／B) (%),充足率 Sufficiency ratio (F／D) (%)
平成19,2007,,,1875099,1056384,806632,454732,257364,193851,2218889,792532,94201,59857,33678,133821,51449,1.18,5,6
平成20,2008,,,1820160,1035376,772960,441792,252829,185656,1960146,695128,85691,54631,30442,121089,46382,1.08,4.7,6.2
平成21,2009,,,2510892,1487433,1008439,581426,345210,231890,1366088,501652,83765,53881,29315,115732,43530,0.54,3.3,8.5
平成22,2010,,,2632290,1575730,1041198,577635,342495,230995,1427301,546445,85994,55613,29864,118835,45520,0.54,3.3,8.3
平成23,2011,,,2429950,1425638,992030,538457,312953,222484,1727748,644116,88132,56333,31346,121500,47602,0.71,3.6,7
平成23,2011,1,Jan.,197328,117213,78979,48265,28114,19819,136685,58068,6481,4221,2228,8569,3036,0.69,3.3,6.3
平成23,2011,2,Feb.,199893,118106,80582,46609,26791,19434,144603,54718,7072,4443,2572,9935,3869,0.72,3.5,6.9
平成23,2011,3,Mar.,208840,123265,84274,48493,28561,19566,144279,48936,7950,4888,2984,11031,4228,0.69,3.8,7.6
平成23,2011,4,Apr.,218508,127870,89229,58555,33252,24865,138639,56402,8602,5272,3270,11601,4173,0.63,3.9,8.4
平成23,2011,5,May,215696,126447,87869,48176,27855,19959,137167,51025,7451,4721,2681,10064,3658,0.64,3.5,7.3
平成23,2011,6,June,214426,125746,87455,47823,28029,19572,139858,49960,7506,4841,2621,10426,4160,0.65,3.5,7.5
平成23,2011,7,July,207529,121440,85090,42592,24614,17797,137980,51606,7241,4659,2546,9842,3854,0.66,3.5,7.1
平成23,2011,8,Aug.,204723,119045,84840,44737,25697,18844,142820,55442,7190,4641,2523,10018,4127,0.7,3.5,7
平成23,2011,9,Sept.,199168,115796,82584,41914,24487,17253,146784,52922,7284,4753,2511,10139,4182,0.74,3.7,6.9
平成23,2011,10,Oct.,198759,115786,82227,43454,25516,17786,153422,59241,7519,4933,2566,10507,4332,0.77,3.8,6.8
平成23,2011,11,Nov.,189719,111319,77715,37513,22039,15333,155260,56467,7035,4593,2424,9999,4200,0.82,3.7,6.4
平成23,2011,12,Dec.,175361,103605,71186,30326,17998,12256,150251,49329,6801,4368,2420,9369,3783,0.86,3.9,6.2
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,
7-1  一般職業紹介状況 (平成19～23年) 7-1  EMPLOYMENT REFERRALS FOR GENERAL WORKERS ( 2007-2011 ),,,,,,,,,,,,,,,,,,,
「一般」とは常用労働者，臨時労働者及び季節労働者の計をいう。 ただし 「新規学卒」と「パートタイム」は除く。,,,,,,,,,,,,,,,,,,,
“General workers”  refer to the regular， casual and seasonal workers， excluding new school graduates and part-timers.,,,,,,,,,,,,,,,,,,,
注) 求職申込書における「性別」欄の記載が任意になったことに伴い，男女別の合計は総数と必ずしも一致しない。,,,,,,,,,,,,,,,,,,,
Note: Total figures may not always equal the combined number of men and women because specification of gender on the application has become voluntary.,,,,,,,,,,,,,,,,,,,
資料：東京労働局 Source: Tokyo Labor Bureau,,,,,,,,,,,,,,,,,,,
