年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January) ／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January) ／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipient of community based LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipient of community based LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipient of LTC services in facilities (as of the end of January)／第2号 Secondary
平成21,2009,0,13000,東京都,Tokyo-to,2581321,405178,13123,253564,8366,16396,306,61954,1105
平成22,2010,0,13000,東京都,Tokyo-to,2611245,427241,13332,270913,8696,18289,329,62890,1105
平成23,2011,0,13000,東京都,Tokyo-to,2663049,449968,13602,289060,8921,19823,364,63469,1052
平成23,2011,1,13100,区部,All ku,1790970,310011,9039,203868,5957,13884,250,40318,667
平成23,2011,2,13101,千代田区,Chiyoda-ku,9726,1897,54,1236,34,136,3,234,1
平成23,2011,2,13102,中央区,Chuo-ku,20055,3733,127,2288,84,190,2,521,8
平成23,2011,2,13103,港区,Minato-ku,38014,7030,185,4362,127,199,3,1062,12
平成23,2011,2,13104,新宿区,Shinjuku-ku,61306,11236,232,7659,157,634,11,1593,20
平成23,2011,2,13105,文京区,Bunkyo-ku,38729,6774,163,4622,119,338,6,900,12
平成23,2011,2,13106,台東区,Taito-ku,41985,7721,213,4861,145,265,6,1079,13
平成23,2011,2,13107,墨田区,Sumida-ku,53972,9186,286,6205,201,391,8,1285,16
平成23,2011,2,13108,江東区,Koto-ku,92198,13673,503,8739,307,581,4,2089,63
平成23,2011,2,13109,品川区,Shinagawa-ku,72166,11420,388,7564,241,530,8,1769,36
平成23,2011,2,13110,目黒区,Meguro-ku,50135,9265,203,6135,141,228,8,1303,9
平成23,2011,2,13111,大田区,Ota-ku,144353,24633,796,16740,522,1191,25,2931,60
平成23,2011,2,13112,世田谷区,Setagaya-ku,159907,31225,746,20934,512,1346,36,3460,43
平成23,2011,2,13113,渋谷区,Shibuya-ku,38736,7708,200,4759,119,248,-,959,12
平成23,2011,2,13114,中野区,Nakano-ku,62009,11651,300,7703,197,625,5,1424,19
平成23,2011,2,13115,杉並区,Suginami-ku,106778,20559,484,13477,314,768,19,2490,35
平成23,2011,2,13116,豊島区,Toshima-ku,52421,9805,233,6288,156,367,7,1240,8
平成23,2011,2,13117,北区,Kita-ku,80097,13757,403,9157,265,741,7,1873,29
平成23,2011,2,13118,荒川区,Arakawa-ku,44644,7641,248,5439,183,339,7,983,20
