項番 Item number,観測地,Observatory,平成19年 2007 平均 Average,平成20年 2008 平均 Average,平成21年 2009 平均 Average,平成22年 2010 平均 Average,平成23年 2011 平均 Average,平成23年 2011 平均 Average／1月 Jan.,平成23年 2011 平均 Average／2月 Feb.,平成23年 2011 平均 Average／3月 Mar.,平成23年 2011 平均 Average／4月 Apr.,平成23年 2011 平均 Average／5月 May,平成23年 2011 平均 Average／6月 June,平成23年 2011 平均 Average／7月 July,平成23年 2011 平均 Average／8月 Aug.,平成23年 2011 平均 Average／9月 Sept.,平成23年 2011 平均 Average／10月 Oct.,平成23年 2011 平均 Average／11月 Nov.,平成23年 2011 平均 Average／12月 Dec.
1,東京,Tokyo,17,16.4,16.7,16.9,16.5,5.1,7,8.1,14.5,18.5,22.8,27.3,27.5,25.1,19.5,14.9,7.5
2,江戸川臨海,Edogawarinkai,16.4,15.9,10.7,16.2,15.9,5,6.7,7.8,13.8,17.8,21.8,26.2,26.8,24.6,18.9,14.4,7.1
3,練馬,Nerima,16.3,15.7,16.1,16.3,15.9,3.9,6.1,7.5,14.2,18.3,22.9,27.6,27.4,24.8,18.6,13.4,5.9
4,府中,Fuchu,15.8,15.4,15.6,15.8,15.3,3.3,5.8,6.9,13.5,17.7,22.2,26.8,26.8,24.1,18.1,13,5.6
5,八王子,Hachioji,15.1,14.7,14.9,15.2,14.6,2.3,4.9,6.1,12.9,17.2,21.9,26.4,26.3,23.4,17.4,12.3,4.5
6,青梅,Ome,14.6,14.3,14.6,14.8,14.3,2.2,4.8,6,12.6,16.8,21.6,25.9,25.7,22.9,17,11.9,4.5
7,小河内,Ogochi,12.3,11.9,12.5,12.6,12.1,0.3,2.8,3.3,10.3,14.9,19.3,23.5,23.1,20.3,14.4,10.2,2.7
8,羽田,Haneda,16.6,16.2,16.4,16.7,16.4,5.4,7.2,8,14.3,18.2,22.2,26.8,27.3,25,19.3,15,7.8
9,大島,Oshima,16.6,16.3,16.3,16.6,16.3,5.9,8.3,8.8,13.9,17.3,21.6,25.4,25.9,24.2,19,15.8,9
10,新島,Niijima,17.6,17.4,17.3,17.7,17.4,7.1,10,9.9,15.1,18.5,22.1,25.9,26.5,25.1,20.2,17.1,10.8
11,三宅島,Miyakejima,18.1,17.8,17.8,18.2,17.8,8.1,10.8,10.4,15.3,18.9,22.3,25.7,26.7,25,20.7,17.8,12
12,八丈島,Hachijojima,18,17.7,17.7,18.3,17.7,7.8,11.3,10.7,15.1,18.8,22,25.3,26.3,24.6,20.9,17.9,12
13,父島,Chichijima,23.3,23.3,23.4,23.5,23.2,17,18.3,18.3,19.7,23.9,27.1,27.8,27.7,27.2,26.5,24.2,20.1
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑 （平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,
1-6  観測地別平均気温 （平成19～23年） 1-6  AVERAGE TEMPERATURE BY OBSERVATORY ( 2007-2011 ),,,,,,,,,,,,,,,,,,,
この表の観測地のうち，東京とは東京管区気象台をいい，その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,,,,,,
注1) 記号）: 欠測等により資料の一部が欠けていてその割合が20％以下の値。     ,,,,,,,,,,,,,,,,,,,
2) 記号］：欠測等により資料の一部が欠けていてその割合が20％以上の値。,,,,,,,,,,,,,,,,,,,
3) 新島地域気象観測所廃止のため，平成20年以降は新島空港の観測データを掲載。,,,,,,,,,,,,,,,,,,,
Note: 1) Mark ）:  Figures derived from a source with incomplete data due to lack of observation etc.， and for which this rate is 20% or less.,,,,,,,,,,,,,,,,,,,
2) Mark ］： Figures derived from a source with incomplete data due to lack of observation， etc.， and for which this rate is 20% or more.,,,,,,,,,,,,,,,,,,,
3) Data from 2008 were monitored at Niijima Airport  due to closure of the Niijima meterological station.,,,,,,,,,,,,,,,,,,,
資料：東京管区気象台 Source: Tokyo District Meteorological Observatory,,,,,,,,,,,,,,,,,,,
（単位　℃）(In ℃),,,,,,,,,,,,,,,,,,,
