年度,Fiscal year,月次,Month,離職票提出件数 Separation notices filed,受給者実人員 Beneficiaries／総数 Total,受給者実人員 Beneficiaries／男 Male,受給者実人員 Beneficiaries／女 Female,雇用保険支給金額 Benefits paid／総数Total,雇用保険支給金額 Benefits paid／男Male,雇用保険支給金額 Benefits paid／女Female,1人1か月当たり平均支給金額 (円) Average monthly benefits per person (yen)
平成19,2007,,,166546,47109,20497,26612,75380895,36371346,39009548,134921
平成20,2008,,,189232,50812,23358,27454,82796334,41792813,41003521,135789
平成21,2009,,,227187,76405,38199,38206,128116678,70046162,58070516,139734
平成22,2010,,,192013,65911,31742,34168,107249804,56463614,50786189,135599
平成23,2011,,,182566,58937,27442,31495,94926502,48434175,46492327,134218
平成23,2011,4,Apr.,26011,56059,27269,28790,7437539,3900346,3537193,132673
平成23,2011,5,May,18630,59474,28147,31327,7680446,4021495,3658951,129139
平成23,2011,6,June,15617,63718,29838,33880,8365510,4299773,4065737,131289
平成23,2011,7,July,14845,63741,29446,34295,7960404,4027537,3932868,124886
平成23,2011,8,Aug.,15004,67866,30667,37199,9559431,4794574,4764857,140857
平成23,2011,9,Sept.,14038,62998,28659,34339,8554549,4259598,4294951,135790
平成23,2011,10,Oct.,16023,61603,28057,33546,8458812,4205376,4253436,137311
平成23,2011,11,Nov.,12831,57695,26513,31182,7922605,3985545,3937060,137318
平成23,2011,12,Dec.,10192,55599,25929,29670,6990065,3555081,3434985,125722
平成24,2012,1,Jan.,13995,55012,25840,29172,8134292,4202566,3931726,147863
平成24,2012,2,Feb.,12746,52962,25002,27960,6946209,3607596,3338613,131154
平成24,2012,3,Mar.,12634,50524,23937,26587,6916640,3574690,3341951,136898
,,,,,,,,,,,
7-4  雇用保険 （一般） 支給状況 （平成19～23年度）,,,,,,,,,,,
PAYMENT OF （ GENERAL ） EMPLOYMENT INSURANCE BENEFITS ( Fiscal Years 2007-2011 ) ,,,,,,,,,,,
（単位　金額　千円）   (In thousands of yen),,,,,,,,,,,
,,,,,,,,,,,
  注) 年度別「受給者実人員」 は月平均である。,,,,,,,,,,,
Ｎote: Fiscal year “Beneficiaries” are monthly averages. ,,,,,,,,,,,
資料：東京労働局          Source: Tokyo Labor Bureau ,,,,,,,,,,,
