地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職海事職 Firefighting and maritime services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13300,郡部,All gun,547,444,43,6,8,30,-,-,-,14,2,-
1,13303,瑞穂町,Mizuho-machi,213,186,18,-,-,5,-,-,-,2,2,-
1,13305,日の出町,Hinode-machi,151,134,15,-,-,-,-,-,-,2,-,-
1,13307,檜原村,Hinohara-mura,57,40,3,2,2,6,-,-,-,4,-,-
1,13308,奥多摩町,Okutama-machi,126,84,7,4,6,19,-,-,-,6,-,-
0,13350,島部,All islands,925,507,34,11,16,58,93,63,88,50,-,5
1,13361,大島町,Oshima-machi,191,105,9,-,2,8,22,23,8,14,-,-
1,13362,利島村,Toshima-mura,25,18,-,1,-,1,5,-,-,-,-,-
1,13363,新島村,Niijima-mura,123,74,3,2,5,14,14,5,-,6,-,-
1,13364,神津島村,Kozushima-mura,70,50,4,1,2,7,4,-,-,2,-,-
1,13381,三宅村,Miyake-mura,124,67,6,2,3,9,7,12,15,3,-,-
1,13382,御蔵島村,Mikurajima-mura,28,17,1,1,-,1,2,-,-,6,-,-
1,13401,八丈町,Hachijo-machi,236,96,8,-,2,4,27,23,65,11,-,-
1,13402,青ヶ島村,Aogashima-mura,19,11,-,1,-,-,-,-,-,7,-,-
1,13421,小笠原村,Ogasawara-mura,109,69,3,3,2,14,12,-,-,1,-,5
,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (4) 町村 (平成23年4月1日) 22-5  GOVERNMENT EMPLOYEES (4) MACHI AND MURA ( Apr. 1， 2011 ),,,,,,,,,,,,,,,
注) 教育職には、教育長、小・中学校教員は含まない。,,,,,,,,,,,,,,,
Note: Education services figures do not include the Director General ( Office of Education ) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部振興企画課「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:郡部・島部　1:区市町村）,,,,,,,,,,,,,,,
