区分階層,区分,Section,総数 Total,事務 Administrative employees,技術 Technically skilled employees,医療福祉 Health and welfare employees,技能労務 Public field worker
0,総数,Total,38607,15383,8450,8192,6582
1,議会局,Secretariat to the Metropolitan Assembly,148,126,-,-,22
1,知事部局,Governor's Bureaus and Offices,24251,11588,3885,8165,613
2,知事本局,Headquarters of the Governor of Tokyo ,134,131,3,-,-
2,総務局,Bureau of General Affairs,3137,2919,172,-,46
2,財務局,Bureau of Finance,406,257,143,-,6
2,主税局,Bureau of Taxation,3056,3056,-,-,-
2,生活文化局　　　　　,Bureau of Citizens and Cultural affairs      ,394,320,69,-,5
2,スポーツ振興局,Bureau of Sports  ,119,110,9,-,-
2,都市整備局,Bureau of Urban Development          ,1142,494,647,-,1
2,環境局,Bureau of Environment,457,227,224,-,6
2,福祉保健局,Bureau of Social Welfare and Public Health,4186,1536,464,2094,92
2,産業労働局,Bureau of Industrial and Labor Affairs ,1212,689,483,8,32
2,建設局,Bureau of Construction,2126,775,1300,-,51
2,港湾局,Bureau of Port and Harbor,579,246,268,-,65
2,会計管理局,Bureau of Accounting,108,108,-,-,-
2,青少年・治安対策本部,Office for Youth Affairs and Public Safety,44,43,1,-,-
2,病院経営本部,Office of Metropolitan Hospital Management,6494,398,6,6063,27
2,中央卸売市場,Central Wholesale Market,598,221,95,-,282
2,収用委員会,Secretariat to Expropriation Commission,21,20,1,-,-
2,労働委員会,Secretariat to Labor Relations Commission,38,38,-,-,-
1,公営企業体,Public Enterprises,13346,2881,4513,5,5947
2,交通局,Bureau of Transportation,6654,686,535,5,5428
2,水道局,Bureau of Waterworks,4053,1638,2027,-,388
2,下水道局,Bureau of Sewerage,2639,557,1951,-,131
1,行政委員会事務局,Executive Offices of Administrative Commission ,862,788,52,22,-
2,教育委員会,Board of Education ,680,632,26,22,-
2,選挙管理委員会,Election Administration Commission,25,25,-,-,-
2,人事委員会,Personnel Commission,63,56,7,-,-
2,監査事務局,Audit and Inspection Commissioners,89,73,16,-,-
2,海区漁業調整委員会,Sea Area Fisheries Adjustment Commission,5,2,3,-,-
,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,
22-5  職員数 (1) 都 (平成23年4月1日) 22-5  GOVERNMENT EMPLOYEES (1) TOKYO METROPOLITAN GOVERNMENT ( Apr. 1， 2011 ),,,,,,,
この表の職員数は定数である。,,,,,,,
Number of employees refers to the personnel quota.,,,,,,,
資料：都総務局人事部調査課 Source: Bureau of General Affairs， TMG,,,,,,,
区分階層（0:総数　1:議会局・知事部局・公営企業体・行政委員会事務局　2:区分）,,,,,,,
