年度,Fiscal year,火災保険 Fire Insurance 1)／新契約 Contracts／件数 No. of Policies,火災保険 Fire Insurance 1)／新契約 Contracts／保険金額 (百万円) Insured Amounts (million yen),火災保険 Fire Insurance 1)／新契約 Contracts／保険料 (千円) Premiums Written (thousand yen),火災保険 Fire Insurance 1)／支払 Claims／件数 No. of Claims,火災保険 Fire Insurance 1)／支払 Claims／保険金 (千円) Claims Paid (thousand yen),地震保険 Earthquake Insurance／新契約 Contracts／件数 No. of Policies,地震保険 Earthquake Insurance／新契約 Contracts／保険金額 (百万円) Insured Amounts (million yen),地震保険 Earthquake Insurance／新契約 Contracts／保険料 (千円) Premiums Written (thousand yen),地震保険 Earthquake Insurance／保有 Policies in Force／件数 No. of Policies ,地震保険 Earthquake Insurance／保有 Policies in Force／保険金額 (百万円) Insured Amounts (million yen)
平成18,2006,885678,61273284,40910096,10953,12454356,1235093,10058929,31245825,1729675,13736649
平成19,2007,1259742,99323878,64818024,24420,25242314,1243951,10296148,30209085,1772830,14310746
平成20,2008,1262353,95479034,64120932,27602,22796199,1294242,10852643,30903197,1842009,15063800
平成21,2009,1198685,96220754,60151158,27880,19797430,1318869,11189142,32283918,1888891,15573438
平成22,2010,1102072,94765168,56339587,28453,18896712,1314589,11139006,32170382,1933705,16030219
,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　15  金融 15  FINANCE,,,,,,,,,,,
15-5  火災及び自動車保険等状況 (1) 火災及び地震保険 (平成18～22年度) 15-5  FIRE AND AUTOMOBILE INSURANCE (1) FIRE AND EARTHQUAKE INSURANCE ( Fiscal Years 2006-2010 ),,,,,,,,,,,
注) 月掛， 積立及び外国保険会社扱契約を含まない。,,,,,,,,,,,
Note: The contracts of monthly premium payment installments， maturity-refund insurance and foreign insurance company's dealing are not included.,,,,,,,,,,,
資料：損害保険料率算出機構 「損害保険料率算出機構統計集」 Source: General Insurance Rating Organization of Japan,,,,,,,,,,,
