項目階層,項目,Item,平成20年度 Fiscal year 2008／実数 Value,平成20年度 Fiscal year 2008／構成比 Percentage Distribution (%),平成20年度 Fiscal year 2008／対前年度増加率 Percent changes from previous fiscal year (%),平成21年度 Fiscal year 2009／実数 Value,平成21年度 Fiscal year 2009／構成比 Percentage Distribution (%),平成21年度 Fiscal year 2009／対前年度増加率 Percent changes from previous fiscal year (%)
0,雇用者報酬,Compensation of employees,35399.1,67.5,2.3,34479.8,68.6,-2.6
1,賃金・俸給,Wages and salaries,29166.6,55.6,2.5,28110.4,55.9,-3.6
1,雇主の社会負担,Employers' social contributions,6232.5,11.9,1.3,6369.3,12.7,2.2
3,雇主の現実社会負担,Employers' actual social contributions,3585.1,6.8,4.2,3435.1,6.8,-4.2
3,雇主の帰属社会負担,Employers' imputed social contributions,2647.4,5,-2.4,2934.3,5.8,10.8
0,財産所得 (非企業部門）,Property income (unincorporated enterprises),604,1.2,-62.5,377.9,0.8,-37.4
3,受取,Receivable,5722.4,10.9,-16.4,5207.4,10.4,-9
3,支払,Payable,5118.4,9.8,-2.2,4829.4,9.6,-5.6
1,一般政府,General government,-1824.2,-3.5,-17.9,-1930.4,-3.8,-5.8
3,受取,Receivable,1570.8,3,-14.5,1311.5,2.6,-16.5
3,支払,Payable,3394.9,6.5,0.3,3242,6.4,-4.5
1,家計,Households,2379.1,4.5,-23.4,2262.7,4.5,-4.9
2,利子,Interest,-905.1,-1.7,-44.6,-840.1,-1.7,7.2
3,受取,Receivable,779.4,1.5,-34.1,711,1.4,-8.8
3,支払 ,Payable,1684.5,3.2,-6.8,1551.1,3.1,-7.9
2,配当 (受取）,Dividends， receivable,1433.9,2.7,-18.6,1211.1,2.4,-15.5
2,保険契約者に帰属する財産所得 ,Properties income attributed to insurance policy holders，receivable,1239.1,2.4,-8.7,1262.1,2.5,1.9
2,賃貸料 (受取),Rent， receivable,611.1,1.2,-0.2,629.6,1.3,3
1,対家計民間非営利団体,Private non-profit institutions serving households,49.1,0.1,-4.1,45.6,0.1,-7.2
3,受取,Receivable,88.1,0.2,-4.8,82,0.2,-7
3,支払,Payable,39,0.1,-5.7,36.3,0.1,-6.8
0,企業所得 (法人企業の分配所得受払後）,Entrepreneurial income (after receivable and payable of distributed income of corporations),16434.8,31.3,-24.5,15424.6,30.7,-6.1
1,民間法人企業,Private corporations,8423.6,16.1,-34.6,7947.3,15.8,-5.7
1,公的企業,Public corporations,2898.5,5.5,-19.7,2440.3,4.9,-15.8
1,個人企業,Private unincorporated enterprises ,5112.7,9.8,-3.4,5037.1,10,-1.5
3,農林水産業,Agriculture， forestry and fishing,20.5,0,1.6,17.2,0,-16
3,その他の産業 (非農林水・非金融),Others,1496.3,2.9,-14.3,1398.3,2.8,-6.5
3,持ち家,Imputed service of owner-occupied dwellings,3595.9,6.9,2,3621.5,7.2,0.7
0,都民所得（要素費用表示）,Prefectural income(at factor cost),52437.9,100,-9.6,50282.3,100,-4.1
0,生産・輸入品に課される税 (控除) 補助金,Taxes on production and imports less subsidies,5509.4,10.5,-2.6,4850.4,9.6,-12
0,都民所得 (市場価格表示),Prefectural income (at market prices),57947.3,110.5,-9,55132.8,109.6,-4.9
0,（参考）民間法人企業所得（受払前）,(Reference)Entrepreneurial income of private corporations (before receivable and payable of distributed income of corporations),8111.4,15.5,-35.2,7376.5,14.7,-9.1
,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,
16-3  都民所得の分配 (名目) (平成20，21年度) 16-3  DISTRIBUTION OF PREFECTURAL INCOME (AT CURRENT PRICES) ( Fiscal Years 2008 and 2009),,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」Source: Bureau of General Affairs， TMG,,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,,
項目階層（0:大項目　1:中項目　2:小項目　3:項目）,,,,,,,,
