会計,Account,会計階層,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
特別区財政調整,Financial adjustments for ku,0,歳入,Revenue,898314,886527,886527
特別区財政調整,Financial adjustments for ku,1,繰入金,Funds transferred,898314,886527,886527
特別区財政調整,Financial adjustments for ku,1,諸収入,Miscellaneous,0,0,-
特別区財政調整,Financial adjustments for ku,1,繰越金,Balance brought forward,0,0,-
特別区財政調整,Financial adjustments for ku,0,歳出,Expenditure,898314,886527,886527
特別区財政調整,Financial adjustments for ku,1,特別区交付金,Grants for ku,898314,886527,886527
地方消費税清算,Local consumption tax adjustment,0,歳入,Revenue,1081215,1123218,1104715
地方消費税清算,Local consumption tax adjustment,1,地方消費税,Local consumption tax,745752,778265,759169
地方消費税清算,Local consumption tax adjustment,1,諸収入,Miscellaneous,234141,243631,245979
地方消費税清算,Local consumption tax adjustment,1,繰越金,Balance brought forward,101322,101322,99567
地方消費税清算,Local consumption tax adjustment,0,歳出,Expenditure,981423,1017707,1004802
地方消費税清算,Local consumption tax adjustment,1,地方消費税清算費,Local consumption tax adjustment,981423,1017707,1004802
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳入,Revenue,432,432,682
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,事業収入,Operations,23,23,20
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,諸収入,Miscellaneous,0,0,2
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,繰越金,Balance brought forward,409,409,661
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳出,Expenditure,432,432,-
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,貸付費,Loans,432,432,-
母子福祉貸付資金,Funds for families without father,0,歳入,Revenue,5220,5220,6109
母子福祉貸付資金,Funds for families without father,1,事業収入,Operations,2184,2184,2612
母子福祉貸付資金,Funds for families without father,1,繰入金,Funds transferred,1012,1012,1008
母子福祉貸付資金,Funds for families without father,1,諸収入,Miscellaneous,1,1,3
母子福祉貸付資金,Funds for families without father,1,都債,Metropolitan debt,1732,1732,1732
母子福祉貸付資金,Funds for families without father,1,繰越金,Balance brought forward,290,290,754
母子福祉貸付資金,Funds for families without father,0,歳出,Expenditure,5220,5220,4202
母子福祉貸付資金,Funds for families without father,1,貸付費,Loans,5220,5220,4202
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳入,Revenue,7065,7065,6812
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,事業収入,Enterprises,0,0,-
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,財産収入,Revenue from property,368,368,297
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰入金,Funds transferred,6697,6697,6512
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,諸収入,Miscellaneous,0,0,3
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰越金,Balance brought forward,0,0,-
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳出,Expenditure,7065,7065,6812
