年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B／A) Coverage rate (%) 
平成19,2007,0,13000,,東京都,Tokyo-to,,12839737,153,12690038,12839534,1648265,7,12606000,12772611,1644990,15,25690,18946,3275,131,58348,47977,100
平成20,2008,0,13000,,東京都,Tokyo-to,,12905886,100,12839661,12910106,1621990,7,12725000,12861379,1618945,14,25690,18621,3045,79,88971,30106,100
平成21,2009,0,13000,,東京都,Tokyo-to,,13011344,150,13045914,13011475,1608921,7,12932830,12965376,1606045,13,23550,18102,2876,130,89534,27997,100
平成22,2010,0,13000,,東京都,Tokyo-to,,13175533,136,13030152,13175456,1609097,6,12923750,13133325,1606296,13,23550,17821,2801,117,82852,24310,100
平成23,2011,0,13000,,東京都,Tokyo-to,,13197992,137,13166874,13197807,1576663,6,12991750,13152982,1573809,13,23650,17725,2854,118,151474,27100,100
平成23,2011,1,13100,,区部,All ku,,8980768,12,12683391,8980768,1534045,1,12662000,8971329,1534045,-,-,-,-,11,21391,9439,100
平成23,2011,1,13200,,市部,All shi,,4131062,107,444083,4131188,37386,3,314000,4113527,37386,-,-,-,-,104,130083,17661,100
平成23,2011,2,13201,1,八王子市,Hachioji-shi,※,579853,17,6270,579767,-,-,-,574031,-,-,-,-,-,17,6270,5736,99.99
平成23,2011,2,13202,2,立川市,Tachikawa-shi,※,179387,3,1180,179387,-,-,-,179310,-,-,-,-,-,3,1180,77,100
平成23,2011,2,13203,3,武蔵野市,Musashino-shi,,138301,7,159863,138481,17747,1,139000,138301,17747,-,-,-,-,6,20863,180,100.13
平成23,2011,2,13204,4,三鷹市,Mitaka-shi,※,185916,4,5504,185916,-,-,-,184588,-,-,-,-,-,4,5504,1328,100
平成23,2011,2,13205,5,青梅市,Ome-shi,※,138817,4,725,138771,-,-,-,138255,-,-,-,-,-,4,725,516,99.97
平成23,2011,2,13206,6,府中市,Fuchu-shi,※,255459,8,25099,255459,-,-,-,253884,-,-,-,-,-,8,25099,1575,100
平成23,2011,2,13207,7,昭島市,Akishima-shi,,113510,5,117990,113780,12808,1,115000,113508,12808,-,-,-,-,4,2990,272,100.24
平成23,2011,2,13208,8,調布市,Chofu-shi,※,224670,5,7400,224670,-,-,-,222843,-,-,-,-,-,5,7400,1827,100
平成23,2011,2,13209,9,町田市,Machida-shi,※,427617,4,453,427541,-,-,-,427088,-,-,-,-,-,4,453,453,99.98
平成23,2011,2,13210,10,小金井市,Koganei-shi,※,119472,3,13016,119472,-,-,-,119391,-,-,-,-,-,3,13016,81,100
平成23,2011,2,13211,11,小平市,Kodaira-shi,※,187526,8,8690,187526,-,-,-,185396,-,-,-,-,-,8,8690,2130,100
平成23,2011,2,13212,12,日野市,Hino-shi,※,180711,9,599,180711,-,-,-,180343,-,-,-,-,-,9,599,368,100
平成23,2011,2,13213,13,東村山市,Higashimurayama-shi,※,153251,5,1948,153251,-,-,-,152671,-,-,-,-,-,5,1948,580,100
平成23,2011,2,13214,14,国分寺市,Kokubunji-shi,※,120084,3,10050,120084,-,-,-,120084,-,-,-,-,-,3,10050,-,100
