年次,Year,原因,Cause,区分,Classification,発生件数 Accidents／総数 Total,発生件数 Accidents／死亡事故 Killed,発生件数 Accidents／重傷事故 Serious injury,発生件数 Accidents／軽傷事故 Minor injury,死傷者数 Killed or injured／総数 Total,死傷者数 Killed or injured／死者 Killed,死傷者数 Killed or injured／重傷者 Serious injury,死傷者数 Killed or injured／軽傷者 Minor injury
平成19,2007,総数,Total,,,483,35,38,410,519,35,41,443
平成20,2008,総数,Total,,,287,18,24,245,308,18,27,263
平成21,2009,総数,Total,,,202,23,22,157,226,23,24,179
平成22,2010,総数,Total,,,204,31,21,152,224,31,22,171
平成23,2011,総数,Total,,,166,28,24,114,176,28,25,123
平成23,2011,信号無視,Ignoring traffic light signals,,,71,11,15,45,76,11,15,50
平成23,2011,通行区分,Lane violation,左側通行,Walking on the left side of the road,-,-,-,-,-,-,-,-
平成23,2011,通行区分,Lane violation,車道通行,Walking on roadways,-,-,-,-,-,-,-,-
平成23,2011,通行区分,Lane violation,その他,Others,-,-,-,-,-,-,-,-
平成23,2011,横断,Crossing,横断歩道外横断,Crossing outside pedestrian crossings,18,2,1,15,19,2,1,16
平成23,2011,横断,Crossing,斜め横断,Diagonal crossing,1,-,-,1,2,-,-,2
平成23,2011,横断,Crossing,駐停車車両の直前直後,Crossing immediately in front of or behind a parked vehicle,3,-,-,3,3,-,-,3
平成23,2011,横断,Crossing,走行車両の直前直後,Crossing immediately in front of or behind a vehicle in motion,5,1,-,4,5,1,-,4
平成23,2011,横断,Crossing,横断禁止場所横断,Crossing at prohibited places,32,5,6,21,35,5,7,23
平成23,2011,幼児のひとり歩き,Toddlers walking alone,,,2,-,-,2,2,-,-,2
平成23,2011,踏切不注意,Lack of caution at railroad crossings,,,7,7,-,-,7,7,-,-
平成23,2011,道路における禁止行為,Prohibited acts on roads,めいていはいかい，ねそべり等,Drunk， wandering， lying on the road， etc.,2,1,1,-,2,1,1,-
平成23,2011,道路における禁止行為,Prohibited acts on roads,路上遊戯,Playing on road,3,-,-,3,3,-,-,3
平成23,2011,無許可道路使用,Use of roads without permission,路上作業,Working on roads,-,-,-,-,-,-,-,-
平成23,2011,飛び出し,Rushing out into the street　,,,18,1,1,16,18,1,1,16
平成23,2011,その他の違反,Others,,,4,-,-,4,4,-,-,4
平成23,2011,調査不能,Cause undetermined,,,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,
20-14  歩行者がわの事故原因による人身事故発生件数及び死傷者数 （平成19～23年） 20-14 TRAFFIC ACCIDENTS CAUSED BY PEDESTRIANS RESULTING IN INJURY OR DEATH AND PERSONS KILLED OR INJURED IN THE ACCIDENTS ( 2007-2011 ),,,,,,,,,,,,,
資料：警視庁総務部文書課 「警視庁の統計」 Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,
