年,月,日,Month,Day,Year,回数 N-th time,人口 Population,選挙当日有権者数 Eligible voters as of election day,投票者数 Voters,議員定数 Number of seats,議員1人当たり人口 Population per representative,議員1人当たり有権者数 Eligible voters per representative,投票率 Voter turnout (%)
平成 7,7,23,July,23,1995,17,11866511,9419153,3988389,4,2966628,2354788,42.34
平成10,7,12,July,12,1998,18,11875131,9581207,5542372,4,2968783,2395302,57.85
平成13,7,29,July,29,2001,19,12147866,9867813,5256655,4,3036966.5,2466953,53.27
平成16,7,11,July,11,2004,20,12508172,10113424,5671788,4,3127043,2528356,56.08
平成19,7,29,July,29,2007,21,12794307,10437556,6040557,5,2558861,2087511,57.87
平成22,7,11,July,11,2010,22,13061958,10620508,6234137,5,2612392,2124102,58.7
,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,
22-2  選挙別人口，有権者数及び投票率 (2) 参議院 (東京都選出) 議員選挙 (平成7～22年) 22-2  POPULATION， ELECTORATE， AND VOTER TURNOUT BY ELECTION (2) ELECTION OF MEMBERS OF THE HOUSE OF COUNCILLORS (TOKYO CONSTITUENCY)  ( 1995-2010 ),,,,,,,,,,,,,
資料：都選挙管理委員会事務局選挙課 Source: Tokyo Metropolitan Election Administration Commission,,,,,,,,,,,,,
