年度,Fiscal year,種類 ,Kind,発生量 Generated,有償物量 Valuables recovered,排出量 Discharged,直接再生利用量 Direct recycle use 1,直接最終処分量 Direct final disposal 2,中間処理 Intermediate processing ／処理量 Processed 3,中間処理 Intermediate processing／処理残さ量 Residues 4,中間処理 Intermediate processing／処理後再生利用量 Recycled after processing 5,中間処理 Intermediate processing／最終処分量 Final disposal 6,再生利用量 Recycled 1＋5,減量化量 Reduced disposal 3-4,最終処分量 Final disposal 2＋6
平成18,2006,総数 ,Total,24570,122,24448,106,555,23787,8582,7731,851,7836,15206,1405
平成19,2007,総数 ,Total,24193,86,24107,52,297,23758,8380,7514,866,7566,15378,1164
平成20,2008,総数 ,Total,22073,161,21912,86,140,21749,6674,5721,890,5807,15075,1030
平成21,2009,総数 ,Total,23405,216,23189,39,123,23271,7195,6235,716,6274,16076,839
平成22,2010,総数 ,Total,22755,190,22565,92,120,22499,7273,6461,666,6553,15226,786
平成22,2010,燃えがら ,Cinder,7,-,7,-,-,7,6,-,6,-,1,6
平成22,2010,汚でい ,Sludge,16369,-,16369,7,7,16467,1690,1363,215,1370,14777,222
平成22,2010,廃油 ,Waste oil,43,1,42,-,-,42,18,17,1,17,24,1
平成22,2010,廃酸 ,Waste acid,4,-,4,-,-,4,1,1,-,1,3,-
平成22,2010,廃アルカリ ,Waste alkaline,11,-,11,-,-,11,4,3,1,3,7,1
平成22,2010,廃プラスチック類 ,Waste plastics,279,14,265,-,1,266,182,138,42,138,84,43
平成22,2010,紙くず ,Paper scrap,74,37,37,-,-,37,27,27,-,27,10,-
平成22,2010,木くず ,Wood scrap,224,-,224,1,1,222,205,194,11,195,17,12
平成22,2010,繊維くず ,Textile scrap,4,-,4,-,-,4,4,4,-,4,-,-
平成22,2010,動植物性残さ ,Plant and animal scraps,54,25,29,-,-,29,9,9,-,9,20,-
平成22,2010,ゴムくず ,Rubber scrap,-,-,-,-,-,-,-,-,-,-,-,-
平成22,2010,金属くず ,Metal scrap,255,105,150,1,-,149,144,143,1,144,5,1
平成22,2010,ガラス・コンクリート・陶磁器くず ,Glass， concrete， and porcelain scrap,425,7,418,1,37,411,367,170,166,171,44,203
平成22,2010,鉱さい ,Slag,14,-,14,-,-,14,12,11,1,11,2,1
平成22,2010,がれき類 ,Rubble,4516,-,4516,52,50,4415,4306,4204,101,4256,109,151
平成22,2010,ばいじん ,Dust,8,-,8,-,-,8,8,-,8,-,-,8
平成22,2010,動物の糞尿 ,Animal excretions,59,-,59,29,-,30,5,4,1,33,25,1
平成22,2010,動物の死体 ,Animal carcasses,-,-,-,-,-,-,-,-,-,-,-,-
平成22,2010,混合廃棄物 ,Mixed waste,261,-,261,-,7,254,243,147,96,147,11,103
平成22,2010,その他の廃棄物 ,Other waste,42,1,41,-,13,28,24,18,6,18,4,19
平成22,2010,政令13号物 ,Wastes described in Art. 2-13， Cabinet Order on Waste Management & Public Cleansing Act ,-,-,-,-,-,-,-,-,-,-,-,-
平成22,2010,特別管理産業廃棄物 ,Specially controlled industrial waste,106,-,106,1,4,101,18,8,10,9,83,14
,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-10  産業廃棄物処理・処分状況 (平成18～平成22年度) 19-10  PROCESSING AND DISPOSAL OF INDUSTRIAL WASTES ( Fiscal Years 2006-2010 ),,,,,,,,,,,,,,,
この表は， 推計である。　,,,,,,,,,,,,,,,
Figures are estimates.,,,,,,,,,,,,,,,
資料：都環境局廃棄物対策部 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,
（単位 千トン）(In thousands of tons),,,,,,,,,,,,,,,
