年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成19,2007,平均,Average,105,97.1,96.9,99.7,91.9,109.6,103.2,104.5,105,-,-,-,-,104.9,110,107,-
平成20,2008,平均,Average,108.2,94.4,97.1,101.9,86.9,116.6,104.9,105.9,105,-,-,-,-,110.9,117.4,101.5,-
平成21,2009,平均,Average,110.2,98.1,97.8,99.5,95.1,121.6,107.2,111.1,106,-,-,-,-,111.1,124.1,101.4,-
平成22,2010,平均,Average,109.3,101.7,98.2,97,95.6,120.5,107.2,111.1,108.9,-,-,-,-,110.3,125.4,95.2,-
平成23,2011,平均,Average,109,107.4,96.4,96.3,96.4,121.5,108.3,110.2,108.9,-,-,-,-,109.7,128.8,96.2,-
平成23,2011,1,Jan.,108.8,102.8,96.4,96,95.5,120.4,106.1,109.3,108.2,-,-,-,-,112,126.2,97.7,-
平成23,2011,2,Feb.,108.7,102.8,96,96,95.6,120.3,106.3,108.7,108,-,-,-,-,111.6,125.7,97.4,-
平成23,2011,3,Mar.,108.2,102.6,95.8,95.7,96,120.3,106.4,109.3,107.5,-,-,-,-,109.4,127,95.1,-
平成23,2011,4,Apr.,109.4,109.2,97.7,98,95.3,123.2,109.5,110.8,109.7,-,-,-,-,106.3,129.6,98.2,-
平成23,2011,5,May,109.4,109.7,98.4,97.9,98.1,122.8,108.7,110.9,109.2,-,-,-,-,108,129.3,97,-
平成23,2011,6,June,109.8,109.4,98.1,96.8,100.4,122.8,109.5,110.8,110.6,-,-,-,-,109.4,129.5,96.9,-
平成23,2011,7,July,109.6,109,97.1,96.6,98.9,122.5,108.9,111,109.5,-,-,-,-,109.6,129.5,96.4,-
平成23,2011,8,Aug.,109.1,108.9,96.5,96.2,98.4,122.1,108.4,110.8,109.8,-,-,-,-,109.3,129.2,96.5,-
平成23,2011,9,Sept.,108.9,109.1,95.5,95.8,96.9,121.6,109.1,110.9,109.1,-,-,-,-,109.2,129,95.8,-
平成23,2011,10,Oct.,108.7,109.4,95,95.5,94,121.1,108,110.1,108.6,-,-,-,-,109.9,130.4,96.3,-
平成23,2011,11,Nov.,108.8,108.6,94.9,95.5,95,120.9,109.3,110.2,108.3,-,-,-,-,110.4,130,93.5,-
平成23,2011,12,Dec.,108.7,107.5,95.2,95.4,93.1,120.5,109.3,110,107.9,-,-,-,-,110.7,129.6,93.5,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-12  産業別常用労働者雇用指数 (平成19～23年) 7-12  EMPLOYMENT INDICES OF REGULAR WORKERS BY INDUSTRY ( 2007-2011 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。なお、平成22年1月分から平成19年11月改定の日本標準産業分類による表章に変更しているが、平成21年以前の指数(旧産業分類)と接続しない産業の指数、前年比等については算出できないため、「-」と表記している。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
（平成17年平均＝100） (2005 average＝100),,,,,,,,,,,,,,,,,,,,
