年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成19,2007,平均,Average,101.6,95.2,100.6,100.5,100.4,103.4,103.2,102.1,102,-,-,-,-,101.4,105.9,96.2,-
平成20,2008,平均,Average,101.8,102.4,100,100.4,103.9,103.4,107.9,105.2,105.6,-,-,-,-,98,102.9,115.3,-
平成21,2009,平均,Average,97.8,103.7,103.9,95.5,104.8,106.5,104.1,99.6,95.5,-,-,-,-,94,99.3,120.9,-
平成22,2010,平均,Average,99.5,103.7,101.8,100.5,102.3,108.6,105.2,102.1,99.4,-,-,-,-,96.9,99.9,122.9,-
平成23,2011,平均,Average,99.7,101.7,104.9,104.1,97.9,110.4,102.7,101,98.8,-,-,-,-,95.8,100.1,115.6,-
平成23,2011,1,Jan.,82.6,94.5,87.9,79.9,78.2,101.4,88.6,81.9,78.7,-,-,-,-,70.1,83.2,91.7,-
平成23,2011,2,Feb.,80.6,71.1,83.9,78.7,78.5,87.2,86.5,78.6,94.2,-,-,-,-,71.7,82.1,90,-
平成23,2011,3,Mar.,86.2,74.6,86.8,88,93.7,92.6,96.6,82.9,89.9,-,-,-,-,86.7,91.6,92.7,-
平成23,2011,4,Apr.,83.5,72.4,90.4,83.5,89.8,92.5,90.1,81.9,80.6,-,-,-,-,76.9,85.1,104.5,-
平成23,2011,5,May,85.9,68.4,94.5,77.8,87.2,92,88.2,84.1,112.5,-,-,-,-,72.9,80.9,90.6,-
平成23,2011,6,June,157.4,199.4,158.1,162,192.2,175.3,144.7,158.5,168.2,-,-,-,-,162.6,156.7,219.4,-
平成23,2011,7,July,108.5,123.7,111.3,138.4,76.1,118.7,107.5,123.2,84.5,-,-,-,-,101.3,103.7,97.3,-
平成23,2011,8,Aug.,79.5,70.7,90.3,78.9,73.7,86.5,93,77.5,74.3,-,-,-,-,70.2,80.7,92.1,-
平成23,2011,9,Sept.,80.4,73.7,85.1,79.8,74.2,87.4,85.9,80.1,79.1,-,-,-,-,72.4,82.6,90.3,-
平成23,2011,10,Oct.,80.9,69.8,84.8,80.8,77.1,87.6,88.8,81,76.2,-,-,-,-,76.7,79.7,104,-
平成23,2011,11,Nov.,84.9,69.2,95.8,89.3,75.2,92.9,96.7,82.1,83.4,-,-,-,-,72.9,83.7,91.5,-
平成23,2011,12,Dec.,186.4,233,189.8,213.1,178.4,211,166,200.8,164.7,-,-,-,-,215,191.1,222,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-10  産業別常用労働者実質賃金指数 (現金給与総額)  (平成19～23年) 7-10  REAL WAGE INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL CASH EARNINGS ) ( 2007-2011 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。なお、平成22年1月分から平成19年11月改定の日本標準産業分類による表章に変更しているが、平成21年以前の指数(旧産業分類)と接続しない産業の指数、前年比等については算出できないため、「-」と表記している。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
 （平成17年平均＝100）   (2005 average＝100)  ,,,,,,,,,,,,,,,,,,,,
