地域階層,地域コード,項番 Item number,地域,District,マーク Mark,総数 Total,交通事故 Traffic accidents,火災事故 Fire accidents,運動競技事故 Sports accidents,自然災害事故 Natural disasters accidents,水難事故 Drowning accidents,労働災害事故 Labor accidents,一般負傷 Injuries in general,自損行為 Self - immolations,加害 Crimes,急病 Acute illness,転院搬送 Change hospital,医師搬送 with Doctor,資器材等輸送 Materials， implements,その他 Other responses
0,13000,,総数,Tokyo-to,,724436,66001,3698,5050,205,753,4463,118433,6519,7837,461048,40219,284,589,9337
1,13100,,区部,All ku,,533504,46798,2828,3289,173,593,3390,87250,4732,6230,342085,28613,210,328,6985
2,13101,1,千代田区,Chiyoda-ku,,12527,1202,57,84,26,3,156,2433,44,128,7716,496,2,4,176
2,13102,2,中央区,Chuo-ku,,12024,1372,46,54,6,17,193,1955,64,112,7532,488,-,-,185
2,13103,3,港区,Minato-ku,,21647,2143,115,111,16,9,219,3580,130,391,13631,1009,2,1,290
2,13104,4,新宿区,Shinjuku-ku,,32374,2347,194,217,9,12,213,5301,284,726,20305,2203,-,6,557
2,13105,5,文京区,Bunkyo-ku,,11511,900,51,87,1,7,68,1852,87,84,6484,1708,2,11,169
2,13106,6,台東区,Taito-ku,,17508,1312,110,59,5,20,101,3208,135,365,11227,586,-,1,379
2,13107,7,墨田区,Sumida-ku,,16304,1338,80,73,8,20,87,2380,123,180,10154,1638,1,16,206
2,13108,8,江東区,Koto-ku,,26855,2380,132,273,18,48,278,4106,250,285,17299,1323,146,18,299
2,13109,9,品川区,Shinagawa-ku ,,20525,1691,107,149,5,52,161,3432,188,193,13463,840,4,6,234
2,13110,10,目黒区,Meguro-ku,,12404,1216,76,84,-,7,55,2105,115,89,7814,662,11,23,147
2,13111,11,大田区,Ota-ku ,,37371,3205,202,206,11,71,274,6113,284,386,24348,1910,2,8,351
2,13112,12,世田谷区,Setagaya-ku,,38692,3729,188,384,5,16,205,6599,335,357,24599,1730,10,65,470
2,13113,13,渋谷区,Shibuya-ku,,18578,1862,105,142,6,7,166,3082,140,283,11624,821,24,10,306
2,13114,14,中野区,Nakano-ku,,16125,1135,107,46,4,14,68,2685,191,177,10622,861,-,15,200
2,13115,15,杉並区,Suginami-ku,,25340,2456,124,161,5,14,102,4307,251,193,16130,1126,2,46,423
2,13116,16,豊島区,Toshima-ku,,19606,1338,97,87,5,9,94,3532,191,321,12778,792,-,4,358
2,13117,17,北区,Kita-ku,,20003,1308,107,115,2,28,93,3471,180,189,13356,850,-,1,303
2,13118,18,荒川区,Arakawa-ku ,,12161,784,90,61,4,19,60,1873,92,139,7833,1027,-,17,162
2,13119,19,板橋区,Itabashi-ku,,28890,2570,157,127,3,23,146,4471,272,234,18538,1978,1,29,341
2,13120,20,練馬区,Nerima-ku,,32447,3027,140,175,4,25,139,5085,342,252,21214,1718,1,9,316
2,13121,21,足立区,Adachi-ku,,40365,3915,237,247,17,50,192,6037,395,448,25930,2384,-,17,496
2,13122,22,葛飾区,Katsushika-ku,,25458,2394,115,123,4,49,120,4125,239,264,16501,1243,1,10,270
2,13123,23,江戸川区,Edogawa-ku ,,34789,3174,191,224,9,73,200,5518,400,434,22987,1220,1,11,347
3,,,消防事務受託地区,Suburban fire service entrusted districts,,190628,19112,868,1761,32,159,1073,31177,1784,1607,118946,11428,70,261,2350
3,,,その他,Others,※,304,91,2,-,-,1,-,6,3,-,17,178,4,-,2
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-19  地域別種類別救急件数 （平成23年） 20-19  EMERGENCY CASES BY DISTRICT AND KIND ( 2011 ),,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.,,,,,,,,,,,,,,,,,,,,
注) ※東京消防庁管轄区域以外の地域をいう。,,,,,,,,,,,,,,,,,,,,
Note: ※Districts outside the jurisdiction of the Tokyo Fire Department.,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 「東京消防庁統計書」 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部　2:区市町村　3:消防事務受託地区・その他),,,,,,,,,,,,,,,,,,,,
