年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／ホテル hotels,旅館等 Hotels and inns／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興行場 Entertainment places／総数 Total,常設興行場 Entertainment places／映画館 Cinemas,常設興行場 Entertainment places／スポーツ施設 Sports center,常設興行場 Entertainment places／その他 Others,プール Swimming pool
平成19,2007,0,13000,,東京都,Tokyo-to,9448,17819,12158,2638,914,1724,210,3044,694,1305,1023,22,806,324,33,449,3087
平成20,2008,0,13000,,東京都,Tokyo-to,9298,17958,11914,2529,871,1658,216,3003,691,1290,1001,21,811,325,33,453,3097
平成21,2009,0,13000,,東京都,Tokyo-to,9112,18212,11689,2441,838,1603,212,2949,694,1265,973,17,814,310,33,471,3076
平成22,2010,0,13000,,東京都,Tokyo-to,9019,18751,11481,2380,800,1580,219,2966,687,1285,977,17,820,306,33,481,2925
平成23,2011,0,13000,,東京都,Tokyo-to,8880,19311,11370,2308,761,1547,222,2925,683,1259,966,17,834,303,35,496,2861
平成23,2011,1,13100,,区部,All ku,6482,14691,8711,1875,694,1181,82,1874,544,951,362,17,654,220,24,410,1972
平成23,2011,2,13101,1,千代田区,Chiyoda-ku,159,157,153,34,5,29,-,80,48,24,8,-,55,18,1,36,33
平成23,2011,2,13102,2,中央区,Chuo-ku,167,466,209,50,10,40,1,95,60,30,5,-,33,9,-,24,34
平成23,2011,2,13103,3,港区,Minato-ku,209,852,362,141,6,135,4,123,64,48,11,-,75,30,1,44,87
平成23,2011,2,13104,4,新宿区,Shinjuku-ku,286,747,467,115,28,87,2,248,40,162,37,9,85,37,3,45,96
平成23,2011,2,13105,5,文京区,Bunkyo-ku,125,257,251,26,12,14,2,45,17,24,2,2,16,1,1,14,81
