年度平均,Average of fiscal year,大気汚染物質, Air pollutants,都平均 Average of Tokyo-to,区部平均 Average of All ku,一般環境大気測定局 Ambient air quality monitoring stations ／千代田区 神田司町 Kandatsukasa-machi， Chiyoda-ku,一般環境大気測定局 Ambient air quality monitoring stations／港区 台場 Daiba， Minato-ku ,一般環境大気測定局 Ambient air quality monitoring stations／国設東京(新宿区内藤町)  Naito-machi， Shinjuku-ku,一般環境大気測定局 Ambient air quality monitoring stations／文京区 本駒込 Honkomagome， Bunkyo-ku ,一般環境大気測定局 Ambient air quality monitoring stations／江東区 大島 Ojima， Koto-ku ,一般環境大気測定局 Ambient air quality monitoring stations／品川区 豊町 Yutaka-cho， Shinagawa-ku ,一般環境大気測定局 Ambient air quality monitoring stations／大田区 東糀谷 Higashikojiya， Ota-ku ,一般環境大気測定局 Ambient air quality monitoring stations／世田谷区 世田谷 Setagaya， Setagaya-ku ,一般環境大気測定局 Ambient air quality monitoring stations／中野区 若宮 Wakamiya， Nakano-ku ,一般環境大気測定局 Ambient air quality monitoring stations／杉並区 久我山 Kugayama， Suginami-ku ,一般環境大気測定局 Ambient air quality monitoring stations／荒川区 南千住 Minamisenju， Arakawa-ku ,一般環境大気測定局 Ambient air quality monitoring stations／板橋区 本町 Hon-cho， Itabashi-ku,一般環境大気測定局 Ambient air quality monitoring stations／練馬区 石神井町 Shakujii-machi， Nerima-ku ,一般環境大気測定局 Ambient air quality monitoring stations／足立区 西新井 Nishiarai， Adachi-ku ,一般環境大気測定局 Ambient air quality monitoring stations／江戸川区 鹿骨 Shishibone， Edogawa-ku ,市・ 郡部平均 Average of All shi & gun,一般環境大気測定局 Ambient air quality monitoring stations／八王子市 片倉 Katakura Hachioji-shi ,一般環境大気測定局 Ambient air quality monitoring stations／立川市 泉町 Izumi-cho， Tachikawa-shi ,一般環境大気測定局 Ambient air quality monitoring stations／青梅市 東青梅 Higashiome， Ome-shi ,一般環境大気測定局 Ambient air quality monitoring stations／町田市 中町 Naka-machi， Machida-shi ,一般環境大気測定局 Ambient air quality monitoring stations／東大和市 奈良橋 Narahashi， Higashiyamato-shi ,一般環境大気測定局 Ambient air quality monitoring stations／清瀬市 上清戸 Kamikiyoto， Kiyose-shi ,一般環境大気測定局 Ambient air quality monitoring stations／多摩市 愛宕 Atago， Tama-shi 
平成19,2007,1) オキシダント(ppm),1) Oxidant， Ox (ppm),0.029,0.027,0.023,0.021,0.024,…,0.024,0.031,0.024,0.031,0.032,0.03,0.028,0.025,0.031,0.028,0.028,0.031,0.029,0.031,0.031,0.032,0.032,0.028,0.031
平成20,2008,1) オキシダント(ppm),1) Oxidant， Ox (ppm),0.03,0.028,0.024,0.022,0.026,…,0.025,0.03,0.025,0.032,0.032,0.031,0.027,0.026,0.031,0.028,0.029,0.033,0.032,0.033,0.033,0.035,0.034,0.033,0.032
平成21,2009,1) オキシダント(ppm),1) Oxidant， Ox (ppm),0.03,0.028,0.025,0.023,0.025,0.022,0.027,0.03,0.025,0.032,0.033,0.031,0.03,0.026,0.029,0.029,0.029,0.032,0.028,0.035,0.033,0.034,0.033,0.032,0.032
平成22,2010,1) オキシダント(ppm),1) Oxidant， Ox (ppm),0.032,0.03,0.026,0.025,0.027,0.023,0.028,0.032,0.026,0.034,0.035,0.033,0.032,0.029,0.032,0.03,0.031,0.035,0.03,0.034,0.036,0.036,0.035,0.035,0.034
平成23,2011,1) オキシダント(ppm),1) Oxidant， Ox (ppm),0.028,0.026,0.023,0.02,0.024,0.021,0.024,0.027,0.023,0.029,0.029,0.03,0.028,0.027,0.029,0.026,0.027,0.03,0.026,0.029,0.031,0.031,0.031,0.029,0.03
平成19,2007,2) 浮遊粒子状物質 (mg／m3),2) Suspended particulate matter， SPM (mg／m3),0.025,0.026,0.025,0.029,0.021,…,0.024,0.034,0.026,0.022,0.024,0.035,0.025,0.022,0.036,0.025,0.021,0.025,0.021,0.036,0.022,0.024,0.023,0.024,0.024
平成20,2008,2) 浮遊粒子状物質 (mg／m3),2) Suspended particulate matter， SPM (mg／m3),0.024,0.024,0.022,0.03,0.021,…,0.021,0.033,0.028,0.021,0.023,0.031,0.024,0.019,0.035,0.024,0.021,0.023,0.021,0.032,0.022,0.023,0.021,0.022,0.021
平成21,2009,2) 浮遊粒子状物質 (mg／m3),2) Suspended particulate matter， SPM (mg／m3),0.023,0.024,0.02,0.028,0.021,0.033,0.018,0.031,0.026,0.019,0.023,0.031,0.023,0.018,0.033,0.025,0.021,0.022,0.017,0.031,0.022,0.02,0.02,0.023,0.019
平成22,2010,2) 浮遊粒子状物質 (mg／m3),2) Suspended particulate matter， SPM (mg／m3),0.021,0.022,0.02,0.025,0.02,0.031,0.019,0.022,0.023,0.018,0.022,0.025,0.024,0.016,0.027,0.02,0.02,0.02,0.016,0.026,0.019,0.02,0.019,0.022,0.018
平成23,2011,2) 浮遊粒子状物質 (mg／m3),2) Suspended particulate matter， SPM (mg／m3),0.021,0.022,0.02,0.025,0.019,0.025,0.02,0.024,0.024,0.02,0.021,0.024,0.021,0.018,0.024,0.023,0.019,0.02,0.016,0.022,0.018,0.02,0.019,0.023,0.019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-14 大気汚染物質測定平均値（平成19～23年度） 19-14 AIR POLLUTANT MEASUREMENT AVERAGES ( Fiscal Years 2007-2011 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,
注.1)  光化学オキシダントの測定時間は5時～20時である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2)  浮遊粒子状物質の単位はmg／? である。　,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) 「練馬区石神井町局」の欄の測定値は，平成19年度までは「練馬区石神井台局」の測定値である。また，「板橋区本町局」・「立川市泉町局」の欄の測定値は平成21年度までは「板橋区氷川町局」・「立川市錦町局」の測定値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note. 1) Ox measurements are from 5:00 a.m. to 8:00 p.m. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) SPM figures are in mg ／?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) Figures up to FY2007 for the Nerimaku Shakujiimachi station are from Nerimaku Shakujiidai station， and figures up to FY 2009 for Itabashiku Honcho and Tachikawashi Izumicho stations are from Itabashiku Hikawacho and Tachikawashi Nishikicho stations.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都環境局環境改善部大気保全課  Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
