年度,Fiscal year,区分,Classification,款,Item,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
平成19,2007,歳入,Revenue,総数,Total,6602000,7037532,6840348
平成20,2008,歳入,Revenue,総数,Total,6856000,7007089,6791028
平成21,2009,歳入,Revenue,総数,Total,6598000,6687407,6417085
平成22,2010,歳入,Revenue,総数,Total,6264000,6254444,5892680
平成23,2011,歳入,Revenue,総数,Total,6236000,6320233,5970153
平成23,2011,歳入,Revenue,都税,Metropolitan taxes,4220543,4132924,4146577
平成23,2011,歳入,Revenue,地方譲与税,Local transfer tax,173206,201640,202350
平成23,2011,歳入,Revenue,助成交付金,Subsidies and grants,24,24,29
平成23,2011,歳入,Revenue,地方特例交付金,Special local grants,26966,26966,21199
平成23,2011,歳入,Revenue,特別交付金,Special grants,3945,3945,3724
平成23,2011,歳入,Revenue,分担金及負担金,Beneficiary contribution,14010,17941,15517
平成23,2011,歳入,Revenue,使用料及手数料,Charges and fees,76328,76326,69682
平成23,2011,歳入,Revenue,国庫支出金,National treasury disbursements,406875,453286,415251
平成23,2011,歳入,Revenue,財産収入,Revenue from property,88737,88737,31970
平成23,2011,歳入,Revenue,寄附金,Contributions,211,311,161
平成23,2011,歳入,Revenue,繰入金,Funds transferred,347956,294109,212432
平成23,2011,歳入,Revenue,諸収入,Miscellaneous,419118,429853,394968
平成23,2011,歳入,Revenue,都債,Metropolitan bonds,458080,567916,430035
平成23,2011,歳入,Revenue,繰越金,Balance brought forward,1,22739,22739
平成23,2011,歳入,Revenue,地方交付税,Local allocation taxes,-,3518,3518
平成19,2007,歳出,Expenditure,総数,Total,6602000,7037532,6719533
平成20,2008,歳出,Expenditure,総数,Total,6856000,7007089,6750078
平成21,2009,歳出,Expenditure,総数,Total,6598000,6687407,6395642
平成22,2010,歳出,Expenditure,総数,Total,6264000,6254444,5869941
平成23,2011,歳出,Expenditure,総数,Total,6236000,6320233,5934573
平成23,2011,歳出,Expenditure,議会費,Metropolitan assembly,5944,5983,5749
平成23,2011,歳出,Expenditure,総務費,General services,189995,190238,170263
平成23,2011,歳出,Expenditure,徴税費,Tax collection,66832,62830,61636
平成23,2011,歳出,Expenditure,生活文化費,Citizens and cultural affairs,34584,33734,30685
平成23,2011,歳出,Expenditure,スポーツ振興費,Sports promotion,19054,18178,16258
平成23,2011,歳出,Expenditure,都市整備費,Urban development,208284,199554,184640
平成23,2011,歳出,Expenditure,環境費,Environmental protection,36347,56275,50137
平成23,2011,歳出,Expenditure,福祉保健費,Welfare and public health,908646,939138,893939
平成23,2011,歳出,Expenditure,産業労働費,Industry and labor ,439269,504948,408132
平成23,2011,歳出,Expenditure,土木費,Civil engineering works,480253,475376,385800
平成23,2011,歳出,Expenditure,港湾費,Port and harbor,72602,72672,65237
平成23,2011,歳出,Expenditure,教育費,Education,763070,749042,731743
平成23,2011,歳出,Expenditure,学務費,School affairs,196168,210132,198169
平成23,2011,歳出,Expenditure,警察費,Police,630150,635206,607778
平成23,2011,歳出,Expenditure,消防費,Fire fighting,243982,251893,240294
平成23,2011,歳出,Expenditure,公債費,Debt services,479976,466176,465782
平成23,2011,歳出,Expenditure,諸支出金,Miscellaneous,1455844,1446103,1418332
平成23,2011,歳出,Expenditure,予備費,Reserve funds,5000,2755,-
,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　21  財政 21  PUBLIC FINANCE,,,,,,,,
21-2  一般会計款別予算，決算額 (平成19～23年度) 21-2  BUDGET AND SETTLEMENT BY GENERAL ACCOUNT ITEM ( Fiscal Years 2007-2011 ),,,,,,,,
注．1) 最終予算額は， 前年度からの繰越額を含む。,,,,,,,,
Note.1) The final budget includes the account brought from the previous fiscal year.,,,,,,,,
注．2) 歳出における予備費の決算額は各款への充当額の合計であり， 再掲である。,,,,,,,,
Note.2) Number in parenthesis refer to appropriation for other items.　　,,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,
