年次,Year,月次 ,Month,件数 Total,負債額 (百万円) Liabilities (million yen),業種別件数 Number of cases  by industry／建設業 Construction,業種別件数 Number of cases by industry／製造業 Manufacturing,業種別件数 Number of cases by industry／情報通信業 Information and communications,業種別件数 Number of cases by industry／運輸業，郵便業 Transport and postal services,業種別件数 Number of cases by industry／卸売業 Wholesale,業種別件数 Number of cases by industry／小売業 Retail,業種別件数 Number of cases by industry／不動産業 Real estate,業種別件数 Number of cases by industry／宿泊業，飲食サービス業 Accommodations， eating and drinking services,業種別件数 Number of cases by industry／教育，学習支援業・医療，福祉 Education， learning support， medical， health care and welfare,業種別件数 Number of cases by industry／サービス業 Services,業種別件数 Number of cases by industry／その他 Others,原因別件数 Number of cases by cause／販売不振 Sluggish sales,原因別件数 Number of cases by cause／既往のしわ寄せ (赤字累積) Accumulating deficits,原因別件数 Number of cases by cause／売掛金等回収難 Trouble with account receivable collection,原因別件数 Number of cases by cause／放漫経営 Lax management,原因別件数 Number of cases by cause／過小資本 Insufficient capital,原因別件数 Number of cases by cause／他社倒産の余波 Impact of another company's bankruptcy,原因別件数 Number of cases by cause／信用性低下 Declining credibility,原因別件数 Number of cases by cause／在庫状態悪化 Poor inventory control,原因別件数 Number of cases by cause／設備投資過大 Excessive capital investment,原因別件数 Number of cases by cause／その他 Others
平成23,2011,総数,Total,2506,589592,418,356,279,45,421,192,106,161,33,465,30,1998,195,12,73,20,168,7,1,1,31
平成23,2011,1,Jan.,232,65151,25,35,26,8,31,23,10,24,3,44,3,185,19,1,3,2,16,-,1,-,5
平成23,2011,2,Feb.,231,37240,46,30,25,2,39,26,7,14,-,40,2,189,18,-,8,1,12,-,-,-,3
平成23,2011,3,Mar.,207,70624,34,30,19,1,42,11,9,11,6,41,3,163,20,3,4,3,7,2,-,-,5
平成23,2011,4,Apr.,225,49137,26,36,32,7,42,14,10,12,3,40,3,172,18,-,10,1,23,-,-,-,1
平成23,2011,5,May,201,43317,34,24,21,9,32,11,10,16,1,40,3,166,10,1,4,1,16,-,-,-,3
平成23,2011,6,June,202,39934,44,29,22,4,23,20,5,15,2,37,1,166,14,2,4,1,12,-,-,-,3
平成23,2011,7,July,199,39782,35,33,18,1,37,12,8,8,2,42,3,162,11,1,9,-,15,-,-,-,1
平成23,2011,8,Aug.,200,41801,38,24,18,3,33,17,8,16,3,38,2,166,16,1,6,2,8,1,-,-,-
平成23,2011,9,Sept.,193,46437,34,27,28,1,39,15,9,7,1,29,3,151,19,1,5,3,9,-,-,-,5
平成23,2011,10,Oct.,166,37537,33,33,16,3,21,11,5,8,3,32,1,137,6,1,6,2,11,1,-,-,2
平成23,2011,11,Nov.,229,46280,34,28,23,3,39,14,11,18,6,49,4,177,20,-,9,3,16,2,-,1,1
平成23,2011,12,Dec.,221,72352,35,27,31,3,43,18,14,12,3,33,2,164,24,1,5,1,23,1,-,-,2
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-10  企業倒産状況 （平成23年） 15-10  COMPANY BANKRUPTCIES ( 2011 ),,,,,,,,,,,,,,,,,,,,,,,,,,
倒産した企業のうち負債額1000万円以上のもの。,,,,,,,,,,,,,,,,,,,,,,,,,,
Bankrupt companies with liabilities of 10 million yen or more.,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都産業労働局総務部企画計理課 「東京の企業倒産状況」 ( (株) 東京商工リサーチ調べ) Source: Bureau of Industrial and Labor Affairs， TMG ( Tokyo Shoko Research， Ltd. survey ),,,,,,,,,,,,,,,,,,,,,,,,,,
