No,観測地点 1),Location of observatory 1),水準基標番号 Bench mark number,測量開始年,Year of start of measurement,平成9年 1997,平成10年 1998,平成11年 1999,平成12年 2000,平成13年 2001,平成14年 2002,平成15年 2003,平成16年 2004,平成17年 2005,平成18年 2006,平成19年 2007,平成20年 2008,平成21年 2009,平成22年 2010,平成23年 2011,(参考) 測量開始年からの変動量累計 (単位 ｍ) (Reference) Accumulated total since the beginning of observation (in meters) 5) 
1,港区 芝,Shiba， Minato-ku,芝(6),昭和5,1930,-0.25,0.23,0.04,0.31,-0.15,-0.09,0.21,-0.15,-0.19,0.39,-0.44,0.09,0.1,-0.35,4),-0.0364
2,新宿区 西新宿,Nishishinjuku， Shinjuku-ku,(II),昭和8,1933,0.44,0.32,-0.15,0.41,0.1,-0.88,… ,… ,… ,… ,… ,0.62,… ,… ,… ,-0.0291
3,文京区 本駒込,Honkomagome， Bunkyo-ku,郷(6),昭和5,1930,0.06,0.07,-0.16,0.35,-0.15,-0.02,0.57,… ,… ,… ,-0.34,… ,… ,… ,… ,-0.2514
4,墨田区 立花,Tachibana， Sumida-ku,向(5),昭和10,1935,-0.09,0.54,-0.17,… ,… ,0.89,0.9,-0.1,0.3,1.02,-0.38,0.35,0.31,-0.17,4),-3.3957
5,江東区 南砂,Minamisuna， Koto-ku,9832,大正7,1918,0.26,0.41,-0.11,-0.18,0.57,-0.28,1.02,0.02,0.34,0.92,-0.27,0.28,0.32,-0.16,4),-4.4868
6,大田区 羽田,Haneda， Ota-ku,蒲(12),昭和19,1944,0.58,1.02,-0.44,0.76,-0.66,-0.26,0.03,-0.55,0.47,-0.11,-0.48,0.3,0.03,0.58,4),-0.0085
7,世田谷区 千歳台,Chitosedai， Setagaya-ku,世(8),昭和47,1972,-0.43,0.56,-0.59,0.2,-0.07,0.03,-0.25,0.36,-0.45,0,-0.45,0.22,0.26,-0.52,4),-0.0263
8,板橋区 新河岸,Shingashi， Itabashi-ku,板(7),昭和33,1958,0.14,1.22,-0.35,0.36,-0.66,-0.02,0.55,-0.28,-0.29,0.43,-0.55,0.46,0.12,-0.72,4),-1.2129
9,練馬区光が丘,Hikarigaoka， Nerima-ku,練(9),昭和41,1966,-0.01,1.11,-0.58,-0.14,-0.02,-0.29,… ,… ,… ,… ,… ,… ,0.76,… ,… ,-0.4915
10,足立区 千住仲町,Senjuonaka-cho， Adachi-ku,3365,明治25,1892,-0.12,0.22,-0.06,-0.23,0.42,0.37,0.62,-0.22,… ,-0.02,-0.56,0.41,-0.05,-0.08,4),-1.4881
11,足立区 谷在家,Yazaike， Adachi-ku,足(7),昭和8,1933,-0.19,0.31,0.4,0.01,-0.08,-0.19,0.46,-0.42,0.4,0.05,-0.53,0.44,-0.06,-0.67,4),-0.8749
12,葛飾区 西亀有,Nishikameari， Katsushika-ku,3367,明治25,1892,1)  -3.52,-0.04,-0.02,-0.31,0.34,-0.27,… ,… ,… ,… ,… ,… ,… ,… ,… ,-0.0318
13,江戸川区 中葛西,Nakakasai， Edogawa-ku,9836,大正7,1918,0.03,-0.04,0.23,0.33,0.2,-0.2,0.47,0.03,0.32,0.71,-0.41,0.47,0.07,-0.07,4),-2.343
14,江戸川区 大杉,Osugi， Edogawa-ku,江(6),昭和10,1935,0.05,0.33,0.24,-0.04,-0.06,0.18,0.57,-0.11,… ,… ,… ,… ,1.29,… ,4),-1.039
15,八王子市 小宮町,Komiya-machi， Hachioji-shi,八王(1),昭和50,1975,0.14,0.39,-0.2,0.72,0.12,-0.89,-0.31,0.08,0.1,-0.02,0.07,0.24,0.22,-0.36,4),0.0098
16,三鷹市 深大寺,Jindaiji， Mitaka-shi,三鷹(3),昭和47,1972,-0.05,0.77,-0.57,0.25,0.14,-0.32,0.01,-0.2,0.56,-0.41,-0.18,0.45,-0.29,-0.33,4),-0.0621
17,清瀬市 旭が丘,Asahigaoka， Kiyose-shi,清瀬(1),昭和47,1972,0.07,0.54,-1,0.12,-0.57,-0.54,-0.34,-0.44,-0.99,0.37,0.06,0.34,-0.56,-0.75,4),-0.6916
18,清瀬市 下清戸,Shimokiyoto， Kiyose-shi,清瀬(2),昭和48,1973,-0.08,0.5,-0.76,0.11,-0.11,-0.5,-0.25,… ,2),0.01,-0.73,0.67,-0.19,… ,4),3)-0.0089
19,武蔵村山市 本町,Honmachi， Musashimurayama-shi,武村(2),昭和50,1975,-0.13,0.25,-0.22,0.57,-0.6,-0.05,-0.25,0.15,-0.59,-0.04,-0.17,0.75,0.1,-0.86,4),-0.0434
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,
19-12 地盤沈下量 (平成9～平成23年) 19-12  ANNUAL GROUND SUBSIDENCE ( 1997-2011 ),,,,,,,,,,,,,,,,,,,,,
負の値（－）は沈下，正の値は隆起を表わす。,,,,,,,,,,,,,,,,,,,,,
Negative numbers (-) indicate subsidence， positive numbers indicate uplift.,,,,,,,,,,,,,,,,,,,,,
注 1)　変動量は、工事影響を含む。  ,,,,,,,,,,,,,,,,,,,,,
2)　平成18年2月再設置。  ,,,,,,,,,,,,,,,,,,,,,
3) 変動量累計は、平成18年2月以降の累計である。また、平成15年までの変動量累計は、-0.6578ｍである。,,,,,,,,,,,,,,,,,,,,,
4)  東北地方太平洋沖地震の影響で、地殻変動と地盤沈下の区別ができないため、沈下量の算出は行なっていない。,,,,,,,,,,,,,,,,,,,,,
Note: 1) Change includes effects of construction,,,,,,,,,,,,,,,,,,,,,
2) Re-established in Feb. 2006,,,,,,,,,,,,,,,,,,,,,
3) Aggregate change is the aggregate since Feb. 2006. Change aggregate up to 2003 was -0.6578,,,,,,,,,,,,,,,,,,,,,
4) Not calculated from inability to differentiate between diastrophism and land subsidence due to the March 2011 earthquake.,,,,,,,,,,,,,,,,,,,,,
資料: 都土木技術支援・人材育成センター Source: Civil Engineering Support and Training Center， TMG,,,,,,,,,,,,,,,,,,,,,
（単位　cm／年）(In centimeters／year),,,,,,,,,,,,,,,,,,,,,
