年次,Year,区分階層,項番 Item number,裁判所,Court,総数 Total／新受 Newly received,総数 Total／既済 Disposed,総数 Total／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／人事訴訟 Personal litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／人事訴訟 Personal litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／人事訴訟 Personal litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／未済 Pending,控訴審通常訴訟 Ordinary appeal to court of second instance／新受 Newly received,控訴審通常訴訟 Ordinary appeal to court of second instance／既済 Disposed,控訴審通常訴訟 Ordinary appeal to court of second instance／未済 Pending,再審 Retrial procedure／新受 Newly received,再審 Retrial procedure／既済 Disposed,再審 Retrial procedure／未済 Pending,調停事件 Conciliation cases／新受 Newly received,調停事件 Conciliation cases／既済 Disposed,調停事件 Conciliation cases／未済 Pending,和解 Settlement／新受 Newly received,和解 Settlement／既済 Disposed,和解 Settlement／未済 Pending,督促 Demand for payment／新受 Newly received,督促 Demand for payment／既済 Disposed,督促 Demand for payment／未済 Pending,保全命令 Temporary restraining order／新受 Newly received,保全命令 Temporary restraining order／既済 Disposed,保全命令 Temporary restraining order／未済 Pending,その他の事件 Other cases／新受 Newly received／労働審判 Labor tribunal decisions,その他の事件 Other cases／新受 Newly received／借地非訟 Non-contentious tenancy cases,その他の事件 Other cases／新受 Newly received／強制執行 Compulsory execution,その他の事件 Other cases／新受 Newly received／担保権実行 Exercise of security rights,その他の事件 Other cases／新受 Newly received／破産 Bankruptcy,その他の事件 Other cases／新受 Newly received／会社更生 Company rehabilitation,その他の事件 Other cases／新受 Newly received／公示催告 Public notification,その他の事件 Other cases／新受 Newly received／過料 Noncriminal fines,その他の事件 Other cases／新受 Newly received／その他 Others,その他の事件 Other cases／既済 Disposed,その他の事件 Other cases／未済 Pending
平成22,2010,0,,総数,Total,514777,525972,103503,201938,212836,56835,-,-,-,4333,4453,501,84,87,14,87,94,33,768,671,806,2193,1947,624,46,61,11,11974,12512,3014,478,503,53,118227,117660,1480,5482,5485,235,1106,169,16733,4335,24097,15,281,24237,98194,169663,39897
平成23,2011,0,,総数,Total,503903,511633,95764,189945,198488,48292,-,-,-,4089,4008,582,85,90,9,90,103,20,770,771,805,1874,1896,602,55,43,23,11190,11846,2358,545,531,67,124848,123806,2522,5744,5752,227,1100,144,15452,4086,20237,4,284,26554,96807,164299,40257
平成23,2011,1,,地方裁判所, District courts,131904,136432,64563,45839,49950,26688,-,-,-,-,-,-,-,-,-,79,80,20,770,771,805,1874,1896,602,48,37,22,390,419,275,-,-,-,-,-,-,5330,5345,219,1100,144,15019,4086,20237,4,-,5124,31860,77934,35932
平成23,2011,2,1,東京, Tokyo,117625,122079,57509,42065,46117,24695,-,-,-,-,-,-,-,-,-,78,77,19,770,771,805,1874,1896,602,44,36,18,376,403,268,-,-,-,-,-,-,5024,5049,197,1021,132,12259,3022,18512,4,-,4245,28199,67730,30905
平成23,2011,2,2,立川支部, Tachikawa Branch,14279,14353,7054,3774,3833,1993,-,-,-,-,-,-,-,-,-,1,3,1,-,-,-,-,-,-,4,1,4,14,16,7,-,-,-,-,-,-,306,296,22,79,12,2760,1064,1725,-,-,879,3661,10204,5027
平成23,2011,1,,簡易裁判所, Summary courts,371999,375201,31201,144106,148538,21604,-,-,-,4089,4008,582,85,90,9,11,23,-,-,-,-,-,-,-,7,6,1,10800,11427,2083,545,531,67,124848,123806,2522,414,407,8,-,-,433,-,-,-,284,21430,64947,86365,4325
平成23,2011,2,1,東京, Tokyo,348914,352089,29312,137698,142148,20190,-,-,-,3613,3543,479,75,78,8,11,23,-,-,-,-,-,-,-,7,6,1,10051,10641,1860,458,455,50,118706,117645,2483,364,357,8,-,-,414,-,-,-,269,15539,61709,77193,4233
平成23,2011,2,2,八丈島, Hachijojima ,79,77,2,7,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,-,-,-,10,10,-,-,-,-,-,-,-,-,-,-,-,54,5,59,-
平成23,2011,2,3,伊豆大島, Izu-oshima ,45,45,1,3,3,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,35,-,35,-
平成23,2011,2,4,新島, Niijima,11,10,3,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,4,-,2,2
平成23,2011,2,5,八王子, Hachioji ,4851,4889,433,1418,1444,337,-,-,-,63,64,18,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,124,121,53,6,6,-,1290,1300,13,12,12,-,-,-,-,-,-,-,1,1302,635,1941,12
平成23,2011,2,6,立川, Tachikawa,6192,6251,498,1891,1917,344,-,-,-,162,158,33,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,211,246,62,21,19,7,1804,1810,19,11,11,-,-,-,3,-,-,-,3,1090,992,2087,32
