年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成19,2007,総数,Total,,,406.8,371,32262057,20104141,12157916
平成20,2008,総数,Total,,,406.8,371,32297196,20149410,12147786.79
平成21,2009,総数,Total,,,406.8,371,32020304,20044368,11975936
平成22,2010,総数,Total,,,406.8,373,31666982,19941610,11725371
平成23,2011,総数,Total,,,406.8,373,31384753,19741355,11643398
平成23,2011,小田急電鉄,Odakyu Electric Railway,,,26.5,23,4671533,3001474,1670059
平成23,2011,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,21.3,20,4557576,2922049,1635527
平成23,2011,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,5.2,3,113957,79425,34532
平成23,2011,西武鉄道,Seibu Railway,,,93.4,71,6628455,4391608,2236847
平成23,2011,西武鉄道,Seibu Railway,池袋線,Ikebukuro Line,21.8,16,3106360,2057191,1049169
平成23,2011,西武鉄道,Seibu Railway,西武有楽町線,Seibu Yurakucho Line,2.6,3,91470,59705,31765
平成23,2011,西武鉄道,Seibu Railway,豊島線,Toshima Line,1,2,4651,2380,2271
平成23,2011,西武鉄道,Seibu Railway,山口線,Yamaguchi Line,0.3,1,249,60,189
平成23,2011,西武鉄道,Seibu Railway,新宿線,Shinjuku Line,26,21,2805355,1872296,933059
平成23,2011,西武鉄道,Seibu Railway,拝島線,Haijima Line,14.3,8,306182,196965,109217
平成23,2011,西武鉄道,Seibu Railway,西武園線,Seibuen Line,2.4,2,3512,1578,1934
平成23,2011,西武鉄道,Seibu Railway,国分寺線,Kokubunji Line,7.8,5,184620,126958,57662
平成23,2011,西武鉄道,Seibu Railway,多摩湖線,Tamako Line,9.2,7,70987,39473,31514
平成23,2011,西武鉄道,Seibu Railway,多摩川線,Tamagawa Line,8,6,55069,35002,20067
平成23,2011,東京急行電鉄,Tokyu Corporation,,,60,75,5392888,3417711,1975177
平成23,2011,東京急行電鉄,Tokyu Corporation,東横線,Toyoko Line,9,9,1631004,971494,659510
平成23,2011,東京急行電鉄,Tokyu Corporation,目黒線,Meguro Line,7.3,9,471390,295995,175395
平成23,2011,東京急行電鉄,Tokyu Corporation,田園都市線,Den-En-Toshi Line,11.8,10,2055208,1390851,664357
平成23,2011,東京急行電鉄,Tokyu Corporation,大井町線,Oimachi Line,10.4,15,694266,423689,270577
平成23,2011,東京急行電鉄,Tokyu Corporation,池上線,Ikegami Line,10.9,15,325030,203490,121540
平成23,2011,東京急行電鉄,Tokyu Corporation,東急多摩川線,Tokyu Tamagawa Line,5.6,7,168997,107788,61209
平成23,2011,東京急行電鉄,Tokyu Corporation,世田谷線,Setagaya Line,5,10,46993,24404,22589
平成23,2011,京浜急行電鉄,Keikyu Corporation,,,18.3,20,1550964,846342,704622
平成23,2011,京浜急行電鉄,Keikyu Corporation,本線,Main Line,11.8,14,1324583,782786,541797
平成23,2011,京浜急行電鉄,Keikyu Corporation,空港線,Airport Line,6.5,6,226381,63556,162825
平成23,2011,京王電鉄,Keio Corporation,,,77.6,66,6874350,4271554,2602796
平成23,2011,京王電鉄,Keio Corporation,京王線,Keio Line,64.9,50,5806616,3656251,2150365
平成23,2011,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,12.7,17,1067734,615303,452431
平成23,2011,京成電鉄,Keisei Electric Railway,,,23.9,19,1132512,688731,443781
平成23,2011,京成電鉄,Keisei Electric Railway,本線,Main Line,15.7,12,754690,426366,328324
平成23,2011,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,5.7,6,354183,247621,106562
平成23,2011,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,2.5,3,23639,14744,8895
平成23,2011,東武鉄道,Tobu Railway ,,,28.2,28,2952983,1994152,958831
平成23,2011,東武鉄道,Tobu Railway ,東武スカイツリーライン,Tobu Skytree Line,13.4,13,1379574,940521,439053
平成23,2011,東武鉄道,Tobu Railway ,大師線,Daishi Line,1,2,4847,3150,1697
平成23,2011,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,3.4,5,31005,18754,12251
平成23,2011,東武鉄道,Tobu Railway ,東上線,Tojo Line,10.4,10,1537557,1031727,505830
平成23,2011,北総鉄道,Hokuso Railway,,,2,2,30880,22271,8609
平成23,2011,北総鉄道,Hokuso Railway,北総線,Hokuso Line,2,2,30880,22271,8609
平成23,2011,高尾登山電鉄,Takao Tozan Railway,,,1.9,4,1919,12,1907
平成23,2011,高尾登山電鉄,Takao Tozan Railway,清滝高尾山,Kiyotaki-Takaosan,1,2,1283,12,1271
平成23,2011,高尾登山電鉄,Takao Tozan Railway,リフト,Chair Lift,0.9,2,636,-,636
平成23,2011,東京モノレール,Tokyo Monorail,,,17.8,11,512638,151405,361233
平成23,2011,御岳登山鉄道,Mitake Tozan Railway,,,1.1,4,616,1,615
平成23,2011,御岳登山鉄道,Mitake Tozan Railway,滝本御岳山,Takimoto-Mitakesan,1,2,549,1,548
平成23,2011,御岳登山鉄道,Mitake Tozan Railway,リフト,Chair Lift,0.1,2,67,-,67
平成23,2011,ゆりかもめ,Yurikamome Inc. ,,,14.7,16,204243,49131,155112
平成23,2011,東京臨海高速鉄道,Tokyo Waterfront Area Rapid TransitInc.,,,12.2,8,403218,207513,195705
平成23,2011,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,16,19,239003,155060,83943
平成23,2011,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,,,13.2,7,788551,544390,244161
,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,
4-12　私鉄の運輸成績 (平成19～23年度) 4-12 TRANSPORTATION BY PRIVATE RAILWAYS ( Fiscal Years 2007-2011 ),,,,,,,,,,
この表は東京都内分である。,,,,,,,,,,
Figures refer only to Tokyo Metropolis.,,,,,,,,,,
注) 乗換駅を重複して数えているので， 会社別の駅数と路線別の駅の合計とは必ずしも一致しない。,,,,,,,,,,
Note: Since transit stations are counted in duplicate， the total number of stations by company and by line are not always the same.,,,,,,,,,,
資料：私鉄各社 Source: Private railway companies,,,,,,,,,,
