年度,Fiscal year,地域階層,地域コード,地域,District,病院病床  Beds／総数 Total,病院病床  Beds／精神科病床 Psychiatric ,病院病床  Beds／結核病床 Tuberculosis,病院病床  Beds／感染症病床 Infectious diseases beds,病院病床  Beds ／療養病床 Long-term care,病院病床  Beds／一般病床 General,患者延数 Total number of patients／在院患者 Inpatients,患者延数 Total number of patients／新入院患者数 New inpatients,患者延数 Total number of patients／外来患者数 Outpatients
平成18,2006,0,13000,東京都,Tokyo-to,129939,24973,962,153,20773,83078,38504590,1419898,56711982
平成19,2007,0,13000,東京都,Tokyo-to,129611,24775,837,153,20576,83270,37687870,1427419,55223129
平成20,2008,0,13000,東京都,Tokyo-to,128243,24585,741,153,20368,82396,37292785,1435597,53749852
平成21,2009,0,13000,東京都,Tokyo-to,128211,24434,712,125,20559,82381,37011126,1451233,53428736
平成22,2010,0,13000,東京都,Tokyo-to,127803,24265,644,145,20444,82305,37321644,1495978,53488025
平成22,2010,1,13100,区部,All ku,78829,7877,303,99,10687,59863,22536347,1116644,40929870
平成22,2010,2,13101,千代田区,Chiyoda-ku,2409,54,-,-,50,2305,588811,51261,2088714
平成22,2010,2,13102,中央区,Chuo-ku,1260,-,-,-,52,1208,366791,29582,927961
平成22,2010,2,13103,港区,Minato-ku,4036,49,8,-,68,3911,1094620,82304,3302820
平成22,2010,2,13104,新宿区,Shinjuku-ku,6412,341,42,4,45,5980,1801820,125561,4425417
平成22,2010,2,13105,文京区,Bunkyo-ku,5528,148,47,30,106,5197,1577064,103492,4150242
平成22,2010,2,13106,台東区,Taito-ku,1079,86,-,-,303,690,312875,10892,491852
平成22,2010,2,13107,墨田区,Sumida-ku,2551,36,-,10,173,2332,654255,41443,1262631
平成22,2010,2,13108,江東区,Koto-ku,2738,129,-,-,238,2371,779841,41173,1502286
平成22,2010,2,13109,品川区,Shinagawa-ku,2906,50,-,-,492,2364,783281,47192,1607747
平成22,2010,2,13110,目黒区,Meguro-ku,2524,50,-,-,173,2301,756043,45174,1355463
平成22,2010,2,13111,大田区,Ota-ku,4853,128,46,20,641,4018,1399888,69667,2907601
平成22,2010,2,13112,世田谷区,Setagaya-ku,5982,1685,60,10,677,3550,1540117,54930,2055802
平成22,2010,2,13113,渋谷区,Shibuya-ku,2798,55,2,-,603,2138,819324,47557,1669686
平成22,2010,2,13114,中野区,Nakano-ku,1870,-,-,-,505,1365,535343,23056,907993
平成22,2010,2,13115,杉並区,Suginami-ku,2272,-,-,-,971,1301,731669,27513,762275
平成22,2010,2,13116,豊島区,Toshima-ku,1790,-,-,-,265,1525,530454,21812,708578
平成22,2010,2,13117,北区,Kita-ku,2247,203,-,-,359,1685,690417,26219,1101557
平成22,2010,2,13118,荒川区,Arakawa-ku,1565,-,-,-,434,1131,471342,19578,760948
