男女別階層,男女,Gender,年齢別階層,年齢(歳),Age(years old),総数 Total,脳血管疾患 Cerebro-vascular disease,悪性新生物Malignant neoplasm,心疾患 Heart disease,肺炎 Pneumonia ,肝疾患 Liver disease,老衰 Senility,不慮の事故 Unforeseen accident,自殺 Suicide,その他の全死因 All other causes of death
0,総数 ,Total,0,総数,Total,105723,10295,32131,15872,9885,1813,4188,2797,2919,25823
0,総数 ,Total,1,0～14,0-14,368,2,30,9,11,1,-,18,4,293
0,総数 ,Total,1,15～19,15-19,118,1,11,5,1,-,-,20,49,31
0,総数 ,Total,1,20～24,20-24,279,2,10,11,1,-,-,41,176,38
0,総数 ,Total,1,25～29,25-29,389,9,37,16,2,-,-,27,228,70
0,総数 ,Total,1,30～34,30-34,493,21,75,30,7,8,-,36,219,97
0,総数 ,Total,1,35～39,35-39,739,45,141,40,4,18,-,57,271,163
0,総数 ,Total,1,40～44,40-44,1182,96,328,103,15,64,-,65,278,233
0,総数 ,Total,1,45～49,45-49,1581,144,516,135,21,98,-,73,285,309
0,総数 ,Total,1,50～54,50-54,2025,178,756,218,43,116,-,88,241,385
0,総数 ,Total,1,55～59,55-59,3309,249,1474,347,88,177,-,115,243,616
0,総数 ,Total,1,60～64,60-64,6541,497,3123,715,212,247,-,191,286,1270
0,総数 ,Total,1,65～69,65-69,7880,665,3745,888,318,238,6,205,221,1594
0,総数 ,Total,1,70～74,70-74,10276,885,4521,1306,622,223,24,258,133,2304
0,総数 ,Total,1,75～79,75-79,14749,1388,5671,2072,1153,220,106,397,134,3608
0,総数 ,Total,1,80～,80 and over,55792,6113,11693,9976,7387,403,4052,1206,151,14811
0,総数 ,Total,1,不詳,Unreported,2,-,-,1,-,-,-,-,-,1
1,男 ,Male,0,総数,Total,56613,5138,18865,7737,5417,1238,1011,1676,1917,13614
1,男 ,Male,1,0～14,0-14,194,1,17,2,4,1,-,10,2,157
1,男 ,Male,1,15～19,15-19,79,-,4,3,-,-,-,17,34,21
1,男 ,Male,1,20～24,20-24,175,1,3,9,-,-,-,31,115,16
1,男 ,Male,1,25～29,25-29,234,3,20,13,2,-,-,21,134,41
1,男 ,Male,1,30～34,30-34,292,9,37,25,3,6,-,20,136,56
1,男 ,Male,1,35～39,35-39,449,30,54,33,4,12,-,44,174,98
1,男 ,Male,1,40～44,40-44,743,69,137,82,13,49,-,48,183,162
1,男 ,Male,1,45～49,45-49,1003,101,227,121,15,77,-,56,188,218
1,男 ,Male,1,50～54,50-54,1323,119,373,179,36,94,-,63,168,291
1,男 ,Male,1,55～59,55-59,2288,180,851,295,72,153,-,89,188,460
1,男 ,Male,1,60～64,60-64,4571,347,2002,573,168,205,-,144,194,938
1,男 ,Male,1,65～69,65-69,5586,474,2548,673,261,202,4,134,146,1144
1,男 ,Male,1,70～74,70-74,6784,566,2950,860,464,152,15,169,91,1517
1,男 ,Male,1,75～79,75-79,9076,851,3574,1214,784,123,52,247,77,2154
1,男 ,Male,1,80～,80 and over,23814,2387,6068,3654,3591,164,940,583,87,6340
1,男 ,Male,1,不詳,Unreported,2,-,-,1,-,-,-,-,-,1
1,女 ,Female,0,総数,Total,49110,5157,13266,8135,4468,575,3177,1121,1002,12209
1,女 ,Female,1,0～14,0-14,174,1,13,7,7,-,-,8,2,136
1,女 ,Female,1,15～19,15-19,39,1,7,2,1,-,-,3,15,10
1,女 ,Female,1,20～24,20-24,104,1,7,2,1,-,-,10,61,22
1,女 ,Female,1,25～29,25-29,155,6,17,3,-,-,-,6,94,29
1,女 ,Female,1,30～34,30-34,201,12,38,5,4,2,-,16,83,41
1,女 ,Female,1,35～39,35-39,290,15,87,7,-,6,-,13,97,65
1,女 ,Female,1,40～44,40-44,439,27,191,21,2,15,-,17,95,71
1,女 ,Female,1,45～49,45-49,578,43,289,14,6,21,-,17,97,91
1,女 ,Female,1,50～54,50-54,702,59,383,39,7,22,-,25,73,94
1,女 ,Female,1,55～59,55-59,1021,69,623,52,16,24,-,26,55,156
1,女 ,Female,1,60～64,60-64,1970,150,1121,142,44,42,-,47,92,332
1,女 ,Female,1,65～69,65-69,2294,191,1197,215,57,36,2,71,75,450
1,女 ,Female,1,70～74,70-74,3492,319,1571,446,158,71,9,89,42,787
1,女 ,Female,1,75～79,75-79,5673,537,2097,858,369,97,54,150,57,1454
1,女 ,Female,1,80～,80 and over,31978,3726,5625,6322,3796,239,3112,623,64,8471
1,女 ,Female,1,不詳,Unreported,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-4  年齢(5歳階級)，主要死因別死亡数 (平成23年) 19-4  DEATHS BY AGE ( FIVE-YEAR GROUPS ) AND PRINCIPAL CAUSES ( 2011 ),,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,
男女別階層（0:総数　1:男・女）,,,,,,,,,,,,,,,
年齢階層（0:総数　1:各年齢）,,,,,,,,,,,,,,,
