事業階層,事業,Program,施設総数 Total facilities,公立 Public／施設数 Facilities,公立 Public／定員 Capacity,公立 Public／在所者数 Service users,私立 Private／施設数 Facilities,私立 Private／定員 Capacity,私立 Private／在所者数 Service users
0,平成20,2008,4558,2623,110550,108360,1935,119731,116295
0,平成21,2009,4239,2429,107767,104518,1810,118300,114938
0,平成22,2010,3745,2029,105097,101277,1716,118955,115466
1,保護施設,Public assistance facilities,36,12,1096,792,24,1234,1235
2,救護施設,Relief facilities,10,-,-,-,10,948,937
2,更生施設,Rehabilitation facilities,9,7,696,543,2,226,236
2,医療保護施設,Medical facilities for persons requiring public assistance,11,-,…,…,11,…,…
2,宿泊提供施設（生活保護法）,Lodging ( Public Assistance Act ),6,5,400,249,1,60,62
1,老人福祉施設,Welfare facilities for the elderly,252,181,1035,750,71,5332,5211
2,養護老人ホーム(一般）,Nursing homes (general),29,1,663,460,28,3031,2996
2,養護老人ホーム(盲),Nursing homes (visually impaired),1,-,-,-,1,100,100
2,軽費老人ホーム（A型),Low-cost homes (type A),9,-,-,-,9,660,657
2,軽費老人ホーム（B型),Low-cost homes (type B),4,2,150,86,2,70,56
2,軽費老人ホーム （ケアハウス）,Low-cost homes (care house),34,5,222,204,29,1471,1402
2,老人福祉センター（A型),Welfare centers (type A),70,69,-,-,1,-,-
2,老人福祉センター（B型),Welfare centers (type B),105,104,-,-,1,-,-
2,老人(在宅）介護支援センター,Inform care support centers,-,-,-,-,-,-,-
1,障害者支援施設等,Support facilities for persons with impairments， etc.,152,64,1736,659,88,3185,2429
2,障害者支援施設,Support facilities  ,46,9,670,647,37,2236,2326
2,地域活動支援センター,Local activity support centers,95,53,1054,-,42,829,-
2,福祉ホーム,Group homes ,11,2,12,12,9,120,103
1,旧法指定による身体障害者更生援護施設,Rehabilitation homes for the physically disabled under the former law,44,10,510,242,34,897,908
2,肢体不自由者更生施設,Facilities for the crippled,2,1,50,22,1,50,47
2,視覚障害者更生施設,Facilities for the visually disabled,-,-,-,-,-,-,-
2,聴覚・言語障害者更生施設,Facilities for auricular or speech deficiency,-,-,-,-,-,-,-
2,内部障害者更生施設,Facilities for cardiac or pulmonary function insufficiency,2,1,140,27,1,62,63
2,身体障害者療護施設,Facilities for the physically disabled,5,-,-,-,5,116,115
2,身体障害者入所授産施設 a),VTF for the physically disabled (inmates)  a),8,2,100,67,6,248,217
