年度,Fiscal year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
平成19,2007,0,13000,東京都 1),Tokyo-to,7824,1950,107,20,3047,500,1,1150,1049
平成20,2008,0,13000,東京都 1),Tokyo-to,7241,1623,100,13,2922,426,2,923,1232
平成21,2009,0,13000,東京都 1),Tokyo-to,7165,1445,95,17,2992,365,3,1019,1229
平成22,2010,0,13000,東京都 1),Tokyo-to,7243,1474,91,9,3105,483,3,983,1095
平成23,2011,0,13000,東京都,Tokyo-to,7131,1458,59,16,3160,519,1,940,978
平成23,2011,1,13100,区部,All ku,4573,605,10,7,2454,460,1,610,426
平成23,2011,2,13101,千代田区,Chiyoda-ku,159,8,1,-,71,11,-,35,33
平成23,2011,2,13102,中央区,Chuo-ku,137,8,-,-,90,9,-,28,2
平成23,2011,2,13103,港区,Minato-ku,280,18,-,-,175,23,-,52,12
平成23,2011,2,13104,新宿区,Shinjuku-ku,158,11,-,-,105,13,-,21,8
平成23,2011,2,13105,文京区,Bunkyo-ku,99,3,-,-,61,11,-,10,14
平成23,2011,2,13106,台東区,Taito-ku,186,23,1,-,72,7,-,9,74
平成23,2011,2,13107,墨田区,Sumida-ku,291,17,-,-,139,27,-,39,69
平成23,2011,2,13108,江東区,Koto-ku,240,37,4,-,113,17,-,39,30
平成23,2011,2,13109,品川区,Shinagawa-ku,208,15,-,-,129,20,-,23,21
平成23,2011,2,13110,目黒区,Meguro-ku,215,19,-,-,97,27,1,27,44
平成23,2011,2,13111,大田区,Ota-ku,316,36,2,1,146,39,-,54,38
平成23,2011,2,13112,世田谷区,Setagaya-ku,204,39,1,1,107,30,-,19,7
平成23,2011,2,13113,渋谷区,Shibuya-ku,109,1,-,-,85,13,-,9,1
平成23,2011,2,13114,中野区,Nakano-ku,113,17,-,-,71,13,-,12,-
平成23,2011,2,13115,杉並区,Suginami-ku,227,54,-,1,110,29,-,29,4
平成23,2011,2,13116,豊島区,Toshima-ku,128,15,-,-,83,10,-,20,-
平成23,2011,2,13117,北区,Kita-ku,151,23,-,-,92,15,-,18,3
平成23,2011,2,13118,荒川区,Arakawa-ku,93,5,-,1,38,11,-,9,29
平成23,2011,2,13119,板橋区,Itabashi-ku,244,39,-,-,140,21,-,32,12
平成23,2011,2,13120,練馬区,Nerima-ku,221,73,-,-,96,24,-,26,2
平成23,2011,2,13121,足立区,Adachi-ku,229,49,-,-,111,23,-,43,3
平成23,2011,2,13122,葛飾区,Katsushika-ku,206,37,-,2,102,33,-,20,12
平成23,2011,2,13123,江戸川区,Edogawa-ku,359,58,1,1,221,34,-,36,8
平成23,2011,1,13200,市部,All shi,2388,847,49,9,701,59,-,326,397
平成23,2011,2,13201,八王子市,Hachioji-shi,296,189,2,4,73,8,-,19,1
平成23,2011,2,13202,立川市,Tachikawa-shi,108,28,-,-,42,1,-,27,10
平成23,2011,2,13203,武蔵野市,Musashino-shi,37,4,-,-,22,7,-,4,-
平成23,2011,2,13204,三鷹市,Mitaka-shi,114,32,-,-,39,8,-,35,-
