男女 ,Gender,就業状態,Labour force status,項番 Item number,就業状態，就業希望意識，就業希望の有無，求職活動の有無,Labour force status， wish for work，  whether wishing to work ， whether seeking a job,項番 Item number,就業状態，就業希望の有無,Labour force status， whether wishing to work,項番 Item number,休職活動の有無,Whether seeking a job,総数 Total,総数 Total／平均年齢 Average age,15～19歳 15-19 years old,20～24歳 20-24 years old,25～29歳 25-29 years old,30～34歳 30-34 years old,35～39歳 35-39 years old,40～44歳 40-44 years old,45～49歳 45-49 years old,50～54歳 50-54 years old,55～59歳 55-59 years old,60～64歳 60-64 years old,65～69歳 65-69 years old,70～74歳 70-74 years old,75～79歳 75-79 years old,80～84歳 80-84 years old,85歳以上 85 years old and over
総数,Total,,,,,,,,,,,,11254200,47.6,558000,814900,943100,1094200,1115900,957100,790100,727400,933200,811300,750800,661800,493500,328500,274400
総数,Total,有業者 ,Engaged in work,,,,,,,,,,7148900,43.5,112600,542400,802900,879800,891400,784100,653500,591000,718600,500300,325100,191100,93800,45000,17300
総数,Total,有業者 ,Engaged in work,1,仕事が主な者 ,Mainly engaged in work,,,,,,,5945700,43.3,31700,398100,745800,792500,788400,657200,536900,479900,601600,410900,248200,145000,66500,30600,12600
総数,Total,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,,,,,,,1193600,44.7,79100,143600,54900,86200,102400,126900,116400,110300,116100,89100,76700,45800,26800,14400,4700
総数,Total,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,3,家事が主な者 ,Mainly keeping house,,,,897800,50.5,800,5000,30400,75100,96000,124200,114600,106200,112600,81800,69000,42600,24000,11400,4200
総数,Total,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,4,通学が主な者 ,Mainly attending school,,,,231800,21.3,77800,127500,16000,5900,2800,1600,-,-,-,300,-,-,-,-,-
総数,Total,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,5,家事・通学以外が主な者 ,Mainly doing something else,,,,63900,47.3,600,11100,8500,5200,3600,1200,1800,4100,3500,7100,7700,3200,2800,3000,500
総数,Total,有業者 ,Engaged in work,,（就業希望意識）,（Wish for work）,6,継続就業希望者 ,Wishing to continue the present job,,,,5417900,45.1,67300,319100,515000,614400,665200,610800,540300,494000,611200,418300,275400,156700,75000,38900,16400
総数,Total,有業者 ,Engaged in work,,（就業希望意識）,（Wish for work）,7,追加就業希望者 ,Wishing to have an additional job,,,,475000,36.3,15900,70900,75400,78000,62800,58100,38300,28900,26500,12600,5600,2100,-,-,-
総数,Total,有業者 ,Engaged in work,,（就業希望意識）,（Wish for work）,8,転職希望者 ,Wishing to switch to another job,,,,912700,35.8,21700,129200,185500,157100,134300,90000,57300,46000,47200,29100,8700,4500,2000,-,-
総数,Total,有業者 ,Engaged in work,,（就業希望意識）,（Wish for work）,9,就業休止希望者 ,Wishing to stop working,,,,241500,52.1,4600,15900,13500,19100,18300,16200,10500,15100,26800,30200,28700,23400,13900,4500,900
総数,Total,無業者 ,Not engaged in work,,,,,,,,,,4105300,54.6,445300,272500,140200,214400,224500,173000,136600,136300,214600,311100,425700,470700,399800,283500,257100
総数,Total,無業者 ,Not engaged in work,10,家事をしている者 ,Keeping house　　,,,,,,,1963400,57.9,3400,17300,65300,150600,185600,138000,102900,101900,157200,203600,238200,225500,195300,117500,61000
総数,Total,無業者 ,Not engaged in work,11,通学している者 ,Attending school　,,,,,,,696600,19.3,427300,222200,32400,7300,1900,3300,1400,-,-,400,-,-,500,-,-
総数,Total,無業者 ,Not engaged in work,12,その他 ,Other,,,,,,,1435900,67.1,14600,33000,42500,56200,36700,31400,32300,34200,56900,105800,186000,242800,202200,165000,196100
総数,Total,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,,,,1087100,42.5,92400,106300,93100,130800,128000,102100,68500,58200,67600,74400,78100,46600,28300,9500,3200
総数,Total,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,14,求職者 ,Seeking a job,461600,39.1,47800,61700,52900,52000,48300,38200,31100,28900,29700,32900,21100,11300,3800,1500,400
総数,Total,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,15,非求職者 ,Not seeking a job,619800,45,44600,44600,38500,78000,78800,64000,37100,29300,37900,40900,56400,35100,23900,8000,2800
総数,Total,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,16,非就業希望者,Not wishing to work,,,,2969300,58.8,352500,165800,46400,81800,93900,69600,66800,75400,142100,229100,342800,417300,366800,271100,247900
男 ,Male,総数,Total,,,,,,,,,,5577700,46.3,287100,423700,487500,562000,571400,498600,409900,372500,472600,398900,357000,306800,215800,130300,83600
男 ,Male,有業者 ,Engaged in work,,,,,,,,,,4205700,44.1,55500,282100,442600,519500,546100,473600,386200,344800,428100,311200,200600,120600,58100,27100,9600
