地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,技能労務職 Vocational labor,教育職 Educational services,その他教育職 Other Educational services,臨時職員 Temporary employees
0,13100,総数,All ku,62778,32941,1968,109,778,1675,14643,9590,953,115,6
1,13101,千代田区,Chiyoda-ku,1044,666,33,3,14,21,105,118,82,2,-
1,13102,中央区,Chuo-ku,1447,732,51,4,29,30,267,258,73,3,-
1,13103,港区,Minato-ku,2151,1234,70,3,22,43,381,330,62,6,-
1,13104,新宿区,Shinjuku-ku,2761,1379,93,7,21,89,671,421,71,9,-
1,13105,文京区,Bunkyo-ku,1785,908,59,4,38,47,413,248,65,3,-
1,13106,台東区,Taito-ku,1663,1179,41,4,13,47,193,126,57,3,-
1,13107,墨田区,Sumida-ku,1988,1169,76,4,22,50,412,231,21,3,-
1,13108,江東区,Koto-ku,2815,1299,96,6,23,72,741,470,104,4,-
1,13109,品川区,Shinagawa-ku,2622,1291,88,4,36,71,684,395,43,10,-
1,13110,目黒区,Meguro-ku,2240,1141,75,3,51,56,613,279,16,6,-
1,13111,大田区,Ota-ku,4541,2452,135,5,67,111,965,801,-,5,-
1,13112,世田谷区,Setagaya-ku,5106,2773,151,6,53,125,1095,850,44,9,-
1,13113,渋谷区,Shibuya-ku,1978,1002,70,4,21,48,367,436,21,9,-
1,13114,中野区,Nakano-ku,2214,1120,77,5,30,55,572,343,9,3,-
1,13115,杉並区,Suginami-ku,3632,1679,110,8,44,103,999,544,142,3,-
1,13116,豊島区,Toshima-ku,2023,1122,82,4,18,62,496,226,9,4,-
1,13117,北区,Kita-ku,2472,1285,84,4,16,86,696,277,21,3,-
1,13118,荒川区,Arakawa-ku,1585,944,53,3,21,53,299,175,34,3,-
1,13119,板橋区,Itabashi-ku,3604,1901,120,6,39,114,916,498,8,2,-
1,13120,練馬区,Nerima-ku,4710,2036,111,6,66,131,1408,917,31,3,1
1,13121,足立区,Adachi-ku,3600,2215,111,6,42,110,832,260,9,15,-
1,13122,葛飾区,Katsushika-ku,3041,1433,68,6,18,78,807,613,11,7,-
1,13123,江戸川区,Edogawa-ku,3756,1981,114,4,74,73,711,774,20,-,5
,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,
22-5  職員数 (2) 区 (平成23年4月1日)  22-5  GOVERNMENT EMPLOYEES (2) KU ( Apr. 1， 2011 ),,,,,,,,,,,,,,
注) 教育職には，教育長，小・中学校教員は含まない。 ,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General (Office of Education) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,
資料：都総務局行政部振興企画課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,
