年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted,生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成18,2006,0,13000,東京都,Tokyo-to,148146,127691,124234,9236,20645,128825,4,2746,399,196991
平成19,2007,0,13000,東京都,Tokyo-to,151840,131055,128029,9293,21891,131623,4,3225,417,201173
平成20,2008,0,13000,東京都,Tokyo-to,158077,136577,133688,9378,23180,136651,4,3511,437,207720
平成21,2009,0,13000,東京都,Tokyo-to,175836,153768,150379,10158,24930,150409,7,4438,455,230662
平成22,2010,0,13000,東京都,Tokyo-to,195110,172500,169481,11206,27361,166493,7,5216,526,256841
平成22,2010,1,13100,区部,All ku,147988,131127,128863,7623,20656,126457,6,3663,415,190609
平成22,2010,2,13101,千代田区,Chiyoda-ku,560,383,358,17,67,501,-,3,1,621
平成22,2010,2,13102,中央区,Chuo-ku,753,589,533,13,104,631,-,8,2,862
平成22,2010,2,13103,港区,Minato-ku,1626,1378,1319,70,268,1347,0,33,5,1960
平成22,2010,2,13104,新宿区,Shinjuku-ku,7934,6828,6464,174,900,6362,1,98,22,9093
平成22,2010,2,13105,文京区,Bunkyo-ku,1853,1610,1560,48,289,1549,0,23,6,2178
平成22,2010,2,13106,台東区,Taito-ku,7322,6234,5649,70,597,6034,0,39,35,7895
平成22,2010,2,13107,墨田区,Sumida-ku,5985,5560,5334,294,928,5577,0,125,19,7486
平成22,2010,2,13108,江東区,Koto-ku,6146,5410,5339,298,1036,5307,0,180,24,8151
平成22,2010,2,13109,品川区,Shinagawa-ku,4071,3505,3465,121,632,3472,0,67,13,4880
平成22,2010,2,13110,目黒区,Meguro-ku,2137,1848,1783,66,346,1854,-,30,4,2550
平成22,2010,2,13111,大田区,Ota-ku,11607,10091,10231,603,1687,10258,1,231,34,14801
平成22,2010,2,13112,世田谷区,Setagaya-ku,6864,6052,5904,273,955,5262,0,157,14,8477
平成22,2010,2,13113,渋谷区,Shibuya-ku,2406,1996,1911,42,374,1859,-,26,9,2724
平成22,2010,2,13114,中野区,Nakano-ku,5429,4881,4815,159,770,5049,0,92,8,6318
