年末,End of year,地域階層,地域コード,項番 Item number,地域,District,医師数 Physicians／総数 Total,医師数 Physicians／医療施設の従事者 Medical institution personnel,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院の開設者又は法人の代表者 Hospital founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院(医育機関附属の病院を除く)の勤務者 Hospital employees (excluding university hospitals),医師数 Physicians／医療施設の従事者 Medical institution personnel／医育機関附属の病院の勤務者 University hospital employees,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の開設者又は法人の代表者 Clinic founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の勤務者 Clinic employee,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の開設者又は法人の代表者 Long-term care health facility founder or president,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の勤務者 Long-term care health facility employee,医師数 Physicians／医療施設・介護老人保健施設以外の従事者 Personnel other than those in medical institutions， long-term care health facilities.,医師数 Physicians／その他 Others,医師数 Physicians／不詳／Unknown,歯科医師 Dentist,看護師 Nurse,准看護師 Assistant nurses,薬剤師 Pharmacist,人口10万人あたりの医師数 The number of physicians per population of 100000
平成12,2000,0,13000,,東京都,Tokyo-to,32157,30565,435,9768,9088,8325,2949,71,12,59,1237,280,4,14759,61012,19508,32761,266.6
平成14,2002,0,13000,,東京都,Tokyo-to,32696,30995,409,10058,8956,8332,3240,77,14,63,1367,256,1,15055,63495,19062,35766,267.6
平成16,2004,0,13000,,東京都,Tokyo-to,34463,32698,400,10957,9359,8462,3520,79,16,63,1418,268,-,15331,67995,17576,37704,278.4
平成18,2006,0,13000,,東京都,Tokyo-to,35695,33604,384,11537,9244,8511,3928,101,16,85,1579,409,2,15260,73123,17346,39323,282
平成20,2008,0,13000,,東京都,Tokyo-to,38079,35616,352,12024,10388,8653,4199,138,18,120,1893,432,-,15620,77897,16825,42535,296.6
平成22,2010,0,13000,,東京都,Tokyo-to,39965,37552,355,13004,10741,8894,4558,141,14,127,1875,397,-,16054,86033,16822,44356,303.7
平成22,2010,1,13100,,区部,All ku,31848,29803,226,9509,9587,6792,3689,68,8,60,1636,341,-,12994,60265,10027,35066,356
平成22,2010,2,13101,1,千代田区,Chiyoda-ku,1654,1355,7,580,178,221,369,-,-,-,292,7,-,1502,2947,199,3699,3510.6
平成22,2010,2,13102,2,中央区,Chuo-ku,1153,1053,4,615,9,254,171,1,-,1,85,14,-,618,1956,137,3886,939.2
平成22,2010,2,13103,3,港区,Minato-ku,2455,2240,5,844,739,356,296,4,-,4,188,23,-,774,4380,180,2838,1196.8
