年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳  Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳  Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳  Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数 Intellectual impairment certificates issued  1)
平成18,2006,0,13000,東京都,Tokyo-to,421340,25450,16729,2488,1491,11309,11308,59866
平成19,2007,0,13000,東京都,Tokyo-to,429635,25678,18390,2558,1551,11597,11597,62261
平成20,2008,0,13000,東京都,Tokyo-to,439500,26868,17951,2082,1134,8885,8885,64700
平成21,2009,0,13000,東京都,Tokyo-to,452109,27366,13977,804,1584,11725,11725,67292
平成22,2010,0,13000,東京都,Tokyo-to,459200,27777,19870,570,1386,12333,12333,69807
平成22,2010,1,13100,区部,All ku,317284,19199,13984,426,1032,8238,8491,44573
平成22,2010,2,13101,千代田区,Chiyoda-ku,2178,99,36,5,8,49,42,177
平成22,2010,2,13102,中央区,Chuo-ku,2948,246,93,8,17,109,115,373
平成22,2010,2,13103,港区,Minato-ku,6652,438,290,16,19,204,204,734
平成22,2010,2,13104,新宿区,Shinjuku-ku,12851,769,454,34,36,425,421,1335
平成22,2010,2,13105,文京区,Bunkyo-ku,5991,371,296,18,18,130,166,815
平成22,2010,2,13106,台東区,Taito-ku,9423,504,342,16,21,213,231,838
平成22,2010,2,13107,墨田区,Sumida-ku,9000,563,464,11,30,258,251,1372
平成22,2010,2,13108,江東区,Koto-ku,17684,1027,655,19,62,497,459,2531
平成22,2010,2,13109,品川区,Shinagawa-ku,13683,795,504,10,44,293,295,1662
平成22,2010,2,13110,目黒区,Meguro-ku,7394,446,502,9,30,202,237,1078
平成22,2010,2,13111,大田区,Ota-ku,26311,1633,1034,22,62,517,550,3537
平成22,2010,2,13112,世田谷区,Setagaya-ku,23212,1589,1181,27,77,579,613,3626
平成22,2010,2,13113,渋谷区,Shibuya-ku,6318,413,282,6,20,188,220,729
平成22,2010,2,13114,中野区,Nakano-ku,9489,669,595,12,38,292,343,1283
平成22,2010,2,13115,杉並区,Suginami-ku,15599,1080,744,11,47,336,396,2129
平成22,2010,2,13116,豊島区,Toshima-ku,9599,590,460,18,33,252,295,1062
平成22,2010,2,13117,北区,Kita-ku,17193,816,674,16,50,444,442,1974
平成22,2010,2,13118,荒川区,Arakawa-ku,9473,493,607,6,23,206,213,1054
平成22,2010,2,13119,板橋区,Itabashi-ku,20280,1147,705,25,79,522,526,3119
平成22,2010,2,13120,練馬区,Nerima-ku,22606,1332,962,42,82,584,576,3955
平成22,2010,2,13121,足立区,Adachi-ku,28721,1721,1393,40,82,840,820,4522
平成22,2010,2,13122,葛飾区,Katsushika-ku,17349,1045,1044,26,61,408,406,2754
平成22,2010,2,13123,江戸川区,Edogawa-ku,23330,1413,667,29,93,690,670,3914
平成22,2010,1,13200,市部,All shi,137595,8364,5705,143,351,3969,3755,24559
平成22,2010,2,13201,八王子市,Hachioji-shi,17611,1181,886,14,47,463,406,3425
平成22,2010,2,13202,立川市,Tachikawa-shi,6886,408,135,5,14,186,185,1197
平成22,2010,2,13203,武蔵野市,Musashino-shi,4077,285,203,3,15,137,123,923
平成22,2010,2,13204,三鷹市,Mitaka-shi,5347,345,281,3,17,142,159,951
平成22,2010,2,13205,青梅市,Ome-shi,5463,301,212,2,12,233,164,848
平成22,2010,2,13206,府中市,Fuchu-shi,8151,497,365,17,19,204,204,1469
平成22,2010,2,13207,昭島市,Akishima-shi,3846,226,205,1,14,99,88,750
平成22,2010,2,13208,調布市,Chofu-shi,7520,412,205,12,17,171,165,1190
平成22,2010,2,13209,町田市,Machida-shi,14596,862,614,13,17,660,640,2834
平成22,2010,2,13210,小金井市,Koganei-shi,3070,212,154,2,6,84,72,553
平成22,2010,2,13211,小平市,Kodaira-shi,6037,352,228,7,17,129,133,1145
平成22,2010,2,13212,日野市,Hino-shi,5544,381,188,10,16,146,153,984
平成22,2010,2,13213,東村山市,Higashimurayama-shi,6778,342,297,8,20,159,148,1014
平成22,2010,2,13214,国分寺市,Kokubunji-shi,3328,237,142,-,13,57,63,625
平成22,2010,2,13215,国立市,Kunitachi-shi,2400,146,91,1,7,67,77,438
