年度,Fiscal year,会計階層,会計,Account,当初予算額 Original budget,最終予算額 Final budget 1) ,決算額 Settlement
平成19,2007,0,総数,Total,13071910,13629128,12982769
平成20,2008,0,総数,Total,13385548,13638056,12815964
平成21,2009,0,総数,Total,12833848,12907268,12273312
平成22,2010,0,総数,Total,12422290,12516872,11871986
平成23,2011,0,総数,Total,11764184,11947440,11246029
平成23,2011,1,一般会計,General account,6236000,6320233,5934573
平成23,2011,1,特別会計,Special accounts,3638972,3667716,3577366
平成23,2011,2,特別区財政調整,Financial adjustments for ku,898314,886527,886527
平成23,2011,2,地方消費税清算,Local consumption tax adjustment,981423,1017707,1004802
平成23,2011,2,小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,432,432,-
平成23,2011,2,母子福祉貸付資金,Funds for families without father,5220,5220,4202
平成23,2011,2,心身障害者扶養年金,Annuity for the mentally or physically impaired,7065,7065,6812
平成23,2011,2,中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.， funds,4202,4202,1375
平成23,2011,2,林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,52,52,0
平成23,2011,2,沿岸漁業改善資金助成,Coastal fishery improvement subsidies,48,48,38
平成23,2011,2,と場,Slaughter house,6615,6615,5838
平成23,2011,2,都営住宅等事業,Metropolitan public housing， etc.,156885,160005,147446
平成23,2011,2,都営住宅等保証金,Metropolitan public housing， etc.， security deposits,610,610,576
平成23,2011,2,都市開発資金,Urban development funds,1367,1367,703
平成23,2011,2,用地,Land acquisition,34234,34483,16578
平成23,2011,2,公債費,Debt services,1516352,1516352,1484866
平成23,2011,2,多摩ニュータウン事業,Tama-New town development,12428,12428,12187
平成23,2011,2,臨海都市基盤整備事業,Waterfront urban infrastructure development,13725,14603,5416
平成23,2011,1,公営企業会計,Public enterprise accounts,1889212,1959491,1734091
平成23,2011,2,病院,Hospital,188985,189450,179760
平成23,2011,2,中央卸売市場,Central Wholesale Market,28827,40211,27073
平成23,2011,2,都市再開発事業,Urban redevelopment,94951,97508,83473
平成23,2011,2,臨海地域開発事業,Waterfront area development ,42324,44162,30874
平成23,2011,2,港湾事業,Port and harbor,7794,8344,5722
平成23,2011,2,交通事業,Transportation,67620,68201,60251
平成23,2011,2,高速電車事業,Railway,270204,272815,237301
平成23,2011,2,電気事業,Electric power,1359,1359,1071
平成23,2011,2,水道事業,Waterworks,458635,478724,424033
平成23,2011,2,工業用水道事業,Industrial waterworks,1899,1899,1309
平成23,2011,2,下水道事業,Sewerage,726614,756819,683225
,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-1 会計別予算，決算額 (平成19～23年度) (歳出) 21-1  BUDGET AND SETTLEMENT BY ACCOUNT ( Fiscal Years 2007-2011 ) ( EXPENDITURE ),,,,,,,
注1) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
2) 公営企業会計は，収益的支出額及び資本的支出額の合算額である。 ,,,,,,,
Note:1) The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,
2) The Public enterprise accounts are the sum of revenue expenditure and capital expenditure.,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:総数　1:一般会計・特別会計・公営企業会計　2:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
