年次,Year,月次,Month,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲）乳児死亡  (relisted) Infant deaths／計 Total,(再掲)乳児死亡  (relisted) Infant deaths／男 Male,(再掲)乳児死亡  (relisted) Infant deaths／女 Female,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡  (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,婚姻 Marriages,離婚 Divorces
昭和56,1981,総数,Total,136753,70331,66422,58747,32102,26645,78006,38229,39777,836,448,388,569,311,258,6880,4641,2239,87401,17396
昭和57,1982,総数,Total,133777,68682,65095,58351,32373,25978,75426,36309,39117,792,461,331,513,293,220,6783,4348,2435,87699,18077
昭和58,1983,総数,Total,132052,67739,64313,60768,33690,27078,71284,34049,37235,718,402,316,445,249,196,6209,3970,2239,86121,19548
昭和59,1984,総数,Total,131151,67090,64061,61399,33984,27415,69752,33106,36646,671,377,294,395,226,169,6232,3732,2500,83139,19239
昭和60,1985,総数,Total,126178,64822,61356,62499,34265,28234,63679,30557,33122,622,339,283,378,207,171,5885,3213,2672,83021,17955
昭和61,1986,総数,Total,121745,62502,59243,62935,34722,28213,58810,27780,31030,591,303,288,338,178,160,5435,3017,2418,79960,18271
昭和62,1987,総数,Total,118509,60988,57521,63879,35108,28771,54630,25880,28750,559,315,244,295,167,128,5474,2893,2581,78532,17152
昭和63,1988,総数,Total,114422,58777,55645,67078,36735,30343,47344,22042,25302,474,258,216,276,141,135,4968,2546,2422,79276,16884
昭和64・平成元,1989,総数,Total,106480,54829,51651,67629,37160,30469,38851,17669,21182,474,247,227,270,130,140,4562,2321,2241,80883,17593
平成2,1990,総数,Total,103983,53330,50653,70370,38743,31627,33613,14587,19026,438,255,183,245,141,104,4543,2248,2295,81920,17935
