項目,Item,平成20年度 Fiscal year 2008／実数 Value,平成20年度 Fiscal year 2008／構成比 Percentage Distribution (%),平成20年度 Fiscal year 2008／対前年度増加率 Percent changes from previous fiscal year (%),平成21年度 Fiscal year 2009／実数 Value,平成21年度 Fiscal year 2009／構成比 Percentage Distribution (%),平成21年度 Fiscal year 2009／対前年度増加率 Percent changes from previous fiscal year (%)
雇用者報酬（都内活動による）,Compensation of employees (from activities in Tokyo),52307.9,59,2.1,50812.2,59.6,-2.9
営業余剰・混合所得,Operating surplus and mixed income,14133,16,-27.8,13491.1,15.8,-4.5
固定資本減耗,Consumption of fixed capital,16653.7,18.8,-4.1,16047.8,18.8,-3.6
生産・輸入品に課される税,Taxes on production and imports,5843.5,6.6,-3.2,5358.5,6.3,-8.3
（控除）補助金,(less) Subsidies,334.1,0.4,-11.6,508.1,0.6,52.1
都内総生産 (市場価格),Gross prefectural domestic product (at market prices),88604,100,-5.6,85201.6,100,-3.8
民間最終消費支出,Private final consumption expenditure,32458.7,36.6,-0.2,32786.6,38.5,1
政府最終消費支出,Government final consumption expenditure,11772.4,13.3,3,11898.4,14,1.1
都内総固定資本形成,Gross prefectural domestic fixed capital formation,15219.1,17.2,-7.4,14144.1,16.6,-7.1
在庫品増加,Changes in inventries,355,0.4,-,-551.6,-0.6,-
財貨・サービスの移出,Transfers of goods and services,69667.7,78.6,-6.3,64218.2,75.4,-7.8
（控除）財貨・サービスの移入,(less)Transfers of goods and services,42028.9,47.4,-2.9,37214.8,43.7,-11.5
統計上の不突合,Statistical discrepancy,1159.8,1.3,-,-79.3,-0.1,-
都内総生産 (支出側)（市場価格）,Gross prefectural domestic product (expenditure approach) (at market prices),88604,100,-5.6,85201.6,100,-3.8
,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,
16-1  都内総生産勘定 (生産側及び支出側) (平成20，21年度) 16-1  GROSS PREFECTURAL DOMESTIC PRODUCT ACCOUNT (PRODUCTION AND EXPENDITURE APPROACH) ( Fiscal Years 2008 and 2009),,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,
