年度末,End of fiscal year,地域階層,地域コード,地域,District,合計 Total／計 Total,合計 Total／計 Total／全部支給 Full payment,合計 Total／計 Total／一部支給 Partial payment,合計 Total／停止 Discontinued,都道府県知事支給対象者 Covered by Prefecture／計 Total,都道府県知事支給対象者 Covered by Prefecture／計 Total／全部支給 Full payment,都道府県知事支給対象者 Covered by Prefecture／計 Total／一部支給 Partial payment,都道府県知事支給対象者 Covered by Prefecture／停止 Discontinued,国支給対象者 Covered by the State／計 Total,国支給対象者 Covered by the State／計 Total／全部支給 Full payment,国支給対象者 Covered by the State／計 Total／一部支給 Partial payment,国支給対象者 Covered by the State／停止 Discontinued
平成19,2007,0,13000,東京都,Tokyo-to,76138,44118,32020,12981,76109,44096,32013,12977,29,22,7,4
平成20,2008,0,13000,東京都,Tokyo-to,76271,42868,33403,13784,76249,42854,33395,13780,22,14,8,4
平成21,2009,0,13000,東京都,Tokyo-to,77428,42920,34508,14345,77411,42910,34501,14344,17,10,7,1
平成22,2010,0,13000,東京都,Tokyo-to,82894,46435,36459,14438,82882,46427,36455,14436,12,8,4,2
平成23,2011,0,13000,東京都,Tokyo-to,83793,47667,36126,14679,83783,47661,36122,14678,10,6,4,1
平成23,2011,1,13100,区部,All ku,55286,31550,23736,9819,55278,31546,23732,9818,8,4,4,1
平成23,2011,2,13101,千代田区,Chiyoda-ku,261,133,128,94,261,133,128,93,-,-,-,1
平成23,2011,2,13102,中央区,Chuo-ku,566,290,276,141,566,290,276,141,-,-,-,-
平成23,2011,2,13103,港区,Minato-ku,1123,678,445,317,1123,678,445,317,-,-,-,-
平成23,2011,2,13104,新宿区,Shinjuku-ku,1640,1030,610,300,1639,1030,609,300,1,-,1,-
平成23,2011,2,13105,文京区,Bunkyo-ku,667,359,308,252,667,359,308,252,-,-,-,-
平成23,2011,2,13106,台東区,Taito-ku,1148,647,501,176,1148,647,501,176,-,-,-,-
平成23,2011,2,13107,墨田区,Sumida-ku,1902,1078,824,297,1902,1078,824,297,-,-,-,-
平成23,2011,2,13108,江東区,Koto-ku,3299,1887,1412,530,3298,1886,1412,530,1,1,-,-
平成23,2011,2,13109,品川区,Shinagawa-ku,1825,903,922,528,1824,903,921,528,1,-,1,-
平成23,2011,2,13110,目黒区,Meguro-ku,928,518,410,280,928,518,410,280,-,-,-,-
平成23,2011,2,13111,大田区,Ota-ku,3981,2098,1883,779,3980,2098,1882,779,1,-,1,-
平成23,2011,2,13112,世田谷区,Setagaya-ku,3446,1840,1606,927,3446,1840,1606,927,-,-,-,-
平成23,2011,2,13113,渋谷区,Shibuya-ku,741,408,333,162,741,408,333,162,-,-,-,-
平成23,2011,2,13114,中野区,Nakano-ku,1381,713,668,324,1381,713,668,324,-,-,-,-
平成23,2011,2,13115,杉並区,Suginami-ku,1979,1020,959,515,1979,1020,959,515,-,-,-,-
平成23,2011,2,13116,豊島区,Toshima-ku,1238,681,557,238,1238,681,557,238,-,-,-,-
平成23,2011,2,13117,北区,Kita-ku,2115,1233,882,288,2115,1233,882,288,-,-,-,-
平成23,2011,2,13118,荒川区,Arakawa-ku,1476,839,637,253,1475,838,637,253,1,1,-,-
平成23,2011,2,13119,板橋区,Itabashi-ku,4093,2457,1636,567,4092,2456,1636,567,1,1,-,-
平成23,2011,2,13120,練馬区,Nerima-ku,4591,2603,1988,866,4591,2603,1988,866,-,-,-,-
平成23,2011,2,13121,足立区,Adachi-ku,6932,4315,2617,708,6931,4315,2616,708,1,-,1,-
平成23,2011,2,13122,葛飾区,Katsushika-ku,3922,2236,1686,546,3922,2236,1686,546,-,-,-,-
平成23,2011,2,13123,江戸川区,Edogawa-ku,6032,3584,2448,731,6031,3583,2448,731,1,1,-,-
平成23,2011,1,13200,市部,All shi,27698,15663,12035,4727,27696,15661,12035,4727,2,2,-,-
平成23,2011,2,13201,八王子市,Hachioji-shi,4368,2629,1739,719,4367,2628,1739,719,1,1,-,-
平成23,2011,2,13202,立川市,Tachikawa-shi,1431,835,596,221,1430,834,596,221,1,1,-,-
平成23,2011,2,13203,武蔵野市,Musashino-shi,460,222,238,123,460,222,238,123,-,-,-,-
平成23,2011,2,13204,三鷹市,Mitaka-shi,903,487,416,144,903,487,416,144,-,-,-,-
平成23,2011,2,13205,青梅市,Ome-shi,1183,668,515,220,1183,668,515,220,-,-,-,-
平成23,2011,2,13206,府中市,Fuchu-shi,1606,882,724,332,1606,882,724,332,-,-,-,-
平成23,2011,2,13207,昭島市,Akishima-shi,1038,587,451,121,1038,587,451,121,-,-,-,-
平成23,2011,2,13208,調布市,Chofu-shi,1169,597,572,195,1169,597,572,195,-,-,-,-
平成23,2011,2,13209,町田市,Machida-shi,3026,1756,1270,505,3026,1756,1270,505,-,-,-,-
平成23,2011,2,13210,小金井市,Koganei-shi,383,184,199,92,383,184,199,92,-,-,-,-
平成23,2011,2,13211,小平市,Kodaira-shi,1105,647,458,171,1105,647,458,171,-,-,-,-
平成23,2011,2,13212,日野市,Hino-shi,1073,579,494,200,1073,579,494,200,-,-,-,-
平成23,2011,2,13213,東村山市,Higashimurayama-shi,1164,710,454,165,1164,710,454,165,-,-,-,-
平成23,2011,2,13214,国分寺市,Kokubunji-shi,455,242,213,83,455,242,213,83,-,-,-,-
平成23,2011,2,13215,国立市,Kunitachi-shi,456,259,197,83,456,259,197,83,-,-,-,-
平成23,2011,2,13218,福生市,Fussa-shi,647,387,260,80,647,387,260,80,-,-,-,-
平成23,2011,2,13219,狛江市,Komae-shi,348,184,164,76,348,184,164,76,-,-,-,-
平成23,2011,2,13220,東大和市,Higashiyamato-shi,617,350,267,161,617,350,267,161,-,-,-,-
平成23,2011,2,13221,清瀬市,Kiyose-shi,652,370,282,96,652,370,282,96,-,-,-,-
平成23,2011,2,13222,東久留米市,Higashikurume-shi,909,520,389,153,909,520,389,153,-,-,-,-
平成23,2011,2,13223,武蔵村山市,Musashimurayama-shi,825,497,328,67,825,497,328,67,-,-,-,-
平成23,2011,2,13224,多摩市,Tama-shi,1073,587,486,204,1073,587,486,204,-,-,-,-
平成23,2011,2,13225,稲城市,Inagi-shi,466,247,219,111,466,247,219,111,-,-,-,-
平成23,2011,2,13227,羽村市,Hamura-shi,515,267,248,106,515,267,248,106,-,-,-,-
平成23,2011,2,13228,あきる野市,Akiruno-shi,675,351,324,94,675,351,324,94,-,-,-,-
平成23,2011,2,13229,西東京市,Nishitokyo-shi,1151,619,532,205,1151,619,532,205,-,-,-,-
平成23,2011,1,13300,郡部,All gun,559,313,246,101,559,313,246,101,-,-,-,-
平成23,2011,1,13350,島部,All islands,250,141,109,32,250,141,109,32,-,-,-,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,
18-5  児童扶養手当受給状況（平成19～23年度末） 18-5  RECIPIENTS OF CHILD CARE ALLOWANCES ( End of Fiscal Years 2007-2011 ),,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,
