年度,Fiscal year,系統,Line,旅客営業キロ Passenger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成19,2007,総数,Total,173.2,161,16986439,10662418,6324021
平成20,2008,総数,Total,185.1,172,17361553,10834041,6527512
平成21,2009,総数,Total,185.1,172,17459803,10935189,6524614
平成22,2010,総数,Total,185.1,172,17473565,11046524,6427041
平成23,2011,総数,Total,185.1,172,17332492,11036922,6295570
平成23,2011,銀座線,Ginza Line,14.3,19,1306620,644960,661660
平成23,2011,丸ノ内線,Marunouchi Line,27.4,28,1962070,1149208,812862
平成23,2011,日比谷線,Hibiya Line,20.3,21,2099877,1317460,782417
平成23,2011,東西線,Tozai Line,22.2,17,3279117,2218952,1060165
平成23,2011,千代田線,Chiyoda Line,24,20,2870938,1998331,872607
平成23,2011,有楽町線,Yurakucho Line,26.9,23,2463144,1642636,820508
平成23,2011,半蔵門線,Hanzomon Line,16.8,14,1598683,959884,638799
平成23,2011,南北線 ,Namboku Line,21.3,19,1003620,655337,348283
平成23,2011,副都心線,Fukutoshin Line,11.9,11,748423,450154,298269
,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-14  地下鉄の運輸成績 (1)  東京地下鉄株式会社 (平成19～23年度）4-14 OPERATIONS OF SUBWAYS  (1)  TOKYO METRO CO.， LTD. ( Fiscal Years 2007-2011 ),,,,,,,,
資料：東京地下鉄株式会社 Source: Tokyo Metro Co.， Ltd.　,,,,,,,,
