年次,Year,地域階層,地域コード,地域,District,病院 Hospital／総数 Total,病院 Hospital／精神科病院 Psychiatric hospital,病院 Hospital／結核療養所 Tuberculosis sanatorium,病院 Hospital／一般病院 General hospital,病院 Hospital／(再掲 Relisted)／救急告示病院 Designated emergency hospital,病院 Hospital／(再掲 Relisted)／療養病床を有するもの Hospital with long-term care beds,一般診療所 General  clinic,歯科診療所 Dental clinic
平成18,2006,0,13000,東京都,Tokyo-to,658,53,-,605,315,245,12458,10536
平成19,2007,0,13000,東京都,Tokyo-to,650,54,-,596,307,237,12641,10551
平成20,2008,0,13000,東京都,Tokyo-to,648,54,-,594,314,235,12572,10529
平成21,2009,0,13000,東京都,Tokyo-to,649,55,-,594,311,237,12629,10540
平成22,2010,0,13000,東京都,Tokyo-to,647,54,-,593,307,235,12684,10603
平成22,2010,1,13100,区部,All ku,423,15,-,408,226,147,9668,8308
平成22,2010,2,13101,千代田区,Chiyoda-ku,16,-,-,16,4,1,465,352
平成22,2010,2,13102,中央区,Chuo-ku,5,-,-,5,1,1,444,448
平成22,2010,2,13103,港区,Minato-ku,15,-,-,15,7,1,660,597
平成22,2010,2,13104,新宿区,Shinjuku-ku,17,1,-,16,12,2,590,427
平成22,2010,2,13105,文京区,Bunkyo-ku,11,-,-,11,7,2,250,237
平成22,2010,2,13106,台東区,Taito-ku,8,1,-,7,5,6,243,247
平成22,2010,2,13107,墨田区,Sumida-ku,14,-,-,14,9,5,212,188
平成22,2010,2,13108,江東区,Koto-ku,17,-,-,17,11,4,365,296
平成22,2010,2,13109,品川区,Shinagawa-ku,13,-,-,13,5,5,441,349
平成22,2010,2,13110,目黒区,Meguro-ku,10,-,-,10,10,5,318,275
平成22,2010,2,13111,大田区,Ota-ku,28,1,-,27,19,12,578,550
平成22,2010,2,13112,世田谷区,Setagaya-ku,27,2,-,25,15,7,822,732
平成22,2010,2,13113,渋谷区,Shibuya-ku,15,-,-,15,7,5,499,417
平成22,2010,2,13114,中野区,Nakano-ku,10,-,-,10,5,7,330,259
平成22,2010,2,13115,杉並区,Suginami-ku,17,-,-,17,8,8,508,432
平成22,2010,2,13116,豊島区,Toshima-ku,16,-,-,16,14,2,411,302
平成22,2010,2,13117,北区,Kita-ku,20,2,-,18,9,7,271,251
平成22,2010,2,13118,荒川区,Arakawa-ku,15,-,-,15,6,8,166,145
平成22,2010,2,13119,板橋区,Itabashi-ku,38,-,-,38,21,19,386,340
平成22,2010,2,13120,練馬区,Nerima-ku,19,2,-,17,7,8,538,457
平成22,2010,2,13121,足立区,Adachi-ku,50,4,-,46,24,15,418,375
平成22,2010,2,13122,葛飾区,Katsushika-ku,20,1,-,19,8,8,350,267
平成22,2010,2,13123,江戸川区,Edogawa-ku,22,1,-,21,12,9,403,365
平成22,2010,1,13200,市部,All shi,219,39,-,180,79,85,2958,2260
平成22,2010,2,13201,八王子市,Hachioji-shi,41,7,-,34,13,16,375,282
平成22,2010,2,13202,立川市,Tachikawa-shi,7,-,-,7,5,3,154,113
平成22,2010,2,13203,武蔵野市,Musashino-shi,10,-,-,10,6,4,197,146
平成22,2010,2,13204,三鷹市,Mitaka-shi,9,1,-,8,4,4,130,99
平成22,2010,2,13205,青梅市,Ome-shi,16,8,-,8,2,6,91,67
平成22,2010,2,13206,府中市,Fuchu-shi,15,2,-,13,5,4,176,138
平成22,2010,2,13207,昭島市,Akishima-shi,7,-,-,7,5,3,65,60
平成22,2010,2,13208,調布市,Chofu-shi,8,2,-,6,2,3,193,155
平成22,2010,2,13209,町田市,Machida-shi,20,6,-,14,6,7,297,223
平成22,2010,2,13210,小金井市,Koganei-shi,4,1,-,3,1,3,79,62
平成22,2010,2,13211,小平市,Kodaira-shi,9,1,-,8,4,3,130,99
平成22,2010,2,13212,日野市,Hino-shi,6,-,-,6,2,4,128,85
平成22,2010,2,13213,東村山市,Higashimurayama-shi,11,3,-,8,4,4,92,63
平成22,2010,2,13214,国分寺市,Kokubunji-shi,3,-,-,3,-,3,110,78
平成22,2010,2,13215,国立市,Kunitachi-shi,2,-,-,2,1,1,81,74
平成22,2010,2,13218,福生市,Fussa-shi,4,-,-,4,3,1,39,33
平成22,2010,2,13219,狛江市,Komae-shi,2,-,-,2,1,1,52,38
平成22,2010,2,13220,東大和市,Higashiyamato-shi,2,-,-,2,1,-,48,39
平成22,2010,2,13221,清瀬市,Kiyose-shi,13,2,-,11,2,6,44,38
平成22,2010,2,13222,東久留米市,Higashikurume-shi,3,1,-,2,2,-,64,57
平成22,2010,2,13223,武蔵村山市,Musashimurayama-shi,4,-,-,4,2,2,26,22
平成22,2010,2,13224,多摩市,Tama-shi,9,3,-,6,2,1,113,66
平成22,2010,2,13225,稲城市,Inagi-shi,3,-,-,3,1,2,46,34
平成22,2010,2,13227,羽村市,Hamura-shi,2,-,-,2,-,2,37,31
平成22,2010,2,13228,あきる野市,Akiruno-shi,4,1,-,3,1,1,50,40
平成22,2010,2,13229,西東京市,Nishitokyo-shi,5,1,-,4,4,1,141,118
平成22,2010,1,13300,郡部,All gun,4,-,-,4,1,3,38,20
平成22,2010,2,13303,瑞穂町,Mizuho-machi,1,-,-,1,-,1,15,11
平成22,2010,2,13305,日の出町,Hinode-machi,2,-,-,2,-,2,12,7
平成22,2010,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,3,-
平成22,2010,2,13308,奥多摩町,Okutama-machi,1,-,-,1,1,-,8,2
平成22,2010,1,13350,島部,All islands,1,-,-,1,1,-,20,15
平成22,2010,2,13361,大島町,Oshima-machi,-,-,-,-,-,-,4,5
平成22,2010,2,13362,利島村,Toshima-mura,-,-,-,-,-,-,1,-
平成22,2010,2,13363,新島村,Niijima-mura,-,-,-,-,-,-,3,-
平成22,2010,2,13364,神津島村,Kozushima-mura,-,-,-,-,-,-,2,1
平成22,2010,2,13381,三宅村,Miyake-mura,-,-,-,-,-,-,2,2
平成22,2010,2,13382,御蔵島村,Mikurajima-mura,-,-,-,-,-,-,1,-
平成22,2010,2,13401,八丈町,Hachijo-machi,1,-,-,1,1,-,3,6
平成22,2010,2,13402,青ヶ島村,Aogashima-mura,-,-,-,-,-,-,1,-
平成22,2010,2,13421,小笠原村,Ogasawara-mura,-,-,-,-,-,-,3,1
,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011)　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,
19-1  地域別医療施設数 (平成18～平成22年) 19-1  MEDICAL FACILITIES BY DISTRICT( 2006-2010 ),,,,,,,,,,,,,
この表は厚生労働省「医療施設調査」による。病院とは患者20人以上の収容施設を有するものをいい，診療所とは患者の収容施設を有しないもの， 又は20人未満のものをいう。,,,,,,,,,,,,,
"The table is based on the “Medical Institutions Survey” conducted by the Ministry of Health， Labour and Welfare. “Hospitals” refer to medical establishments with a capacity to admit 20 or more patients， while ""Clinics"" refer to those with no facilities to admit patients or with a capacity to admit less than 20 patients. ",,,,,,,,,,,,,
各年10月1日現在。 ,,,,,,,,,,,,,
Figures are as of October 1 of the each year.,,,,,,,,,,,,,
注) 「休止中」及び「休診中」のものを除く。          ,,,,,,,,,,,,,
"Note:  Facilities that are ""inactive"" are excluded.",,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「東京都の医療施設」 Source: Bureau of Social Welfare and Public Health， TMG　,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,
