地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職 海技職 Fire services employees,企業職 Public enterprise employees,技能労務職 Vocational labor,各種学校幼稚園等教育職 Educational employees engaged in Miscellaneous schools，Kindergartens and others,臨時職員 Temporary employees
0,13200,総数,All shi,24630,14653,1651,99,567,999,2538,76,1374,2593,77,3
1,13201,八王子市,Hachioji-shi,2898,1765,217,3,91,57,134,-,-,624,7,-
1,13202,立川市,Tachikawa-shi,1174,787,72,-,25,32,142,-,-,110,6,-
1,13203,武蔵野市,Musashino-shi,983,624,68,-,20,42,135,-,38,52,4,-
1,13204,三鷹市,Mitaka-shi,1041,616,73,-,38,29,180,-,-,104,1,-
1,13205,青梅市,Ome-shi,1481,582,61,-,6,12,-,-,718,102,-,-
1,13206,府中市,Fuchu-shi,1257,765,82,-,32,53,212,-,-,95,18,-
1,13207,昭島市,Akishima-shi,682,453,44,-,13,12,31,-,30,98,1,-
1,13208,調布市,Chofu-shi,1256,838,82,-,30,36,160,-,-,109,1,-
1,13209,町田市,Machida-shi,2786,1451,160,3,50,55,159,-,578,324,3,3
1,13210,小金井市,Koganei-shi,704,404,66,-,20,16,126,-,-,72,-,-
1,13211,小平市,Kodaira-shi,922,579,72,-,7,22,153,-,-,87,2,-
1,13212,日野市,Hino-shi,1320,623,54,45,61,223,151,-,-,141,22,-
1,13213,東村山市,Higashimurayama-shi,802,504,55,-,20,21,140,-,-,62,-,-
1,13214,国分寺市,Kokubunji-shi,698,419,48,-,15,21,95,-,-,99,1,-
1,13215,国立市,Kunitachi-shi,432,275,42,-,9,17,70,-,-,19,-,-
1,13218,福生市,Fussa-shi,371,299,27,-,-,10,7,-,-,27,1,-
1,13219,狛江市,Komae-shi,457,269,31,-,8,11,87,-,-,49,2,-
1,13220,東大和市,Higashiyamato-shi,460,347,39,-,1,13,32,-,-,28,-,-
1,13221,清瀬市,Kiyose-shi,429,252,29,-,5,13,67,-,-,62,1,-
1,13222,東久留米市,Higashikurume-shi,623,337,53,-,17,25,125,-,-,65,1,-
1,13223,武蔵村山市,Musashimurayama-shi,383,292,43,-,3,10,11,-,-,24,-,-
1,13224,多摩市,Tama-shi,812,625,61,-,10,24,30,-,-,61,1,-
1,13225,稲城市,Inagi-shi,803,333,37,48,54,183,51,76,-,21,-,-
1,13227,羽村市,Hamura-shi,355,261,26,-,2,10,30,-,10,15,1,-
1,13228,あきる野市,Akiruno-shi,439,339,39,-,4,15,22,-,-,18,2,-
1,13229,西東京市,Nishitokyo-shi,1062,614,70,-,26,37,188,-,-,125,2,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (3) 市 (平成23年4月1日) 22-5  GOVERNMENT EMPLOYEES  (3) SHI ( Apr. 1， 2011 ),,,,,,,,,,,,,,,
注) 教育職には、教育長、小・中学校教員は含まない。,,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General (Office of Education) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部振興企画課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,,
