"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","まちづくり・景観[人]","住宅対策[人]","道路・交通対策[人]","自転車対策[人]","防災・生活安全[人]","公園整備[人]","緑や水辺の整備[人]","ごみ・リサイクル[人]","地球温暖化対策[人]","環境保全・公害対策[人]","たばこ対策[人]","健康づくり[人]","区民参画・区民協働[人]","中小企業支援・商店街振興[人]","観光振興[人]","消費生活対策[人]","国際化・国際交流[人]","子育て支援[人]","学校教育の充実[人]","高齢者福祉[人]","障害者福祉[人]","低所得世帯への支援[人]","スポーツの振興[人]","生涯学習・文化振興[人]","男女平等参画の推進[人]"
"202203","区基本計画","Q14. 問 13 で回答した中から、最も重点的に取り組むべきと思うもの１つについて、選択した理由をご記入ください。","全体",,"558","37","25","34","25","14","68","9","20","20","18","3","22","11","14","4","16","4","54","28","7","6","41","9","19","10"
"202203","区基本計画","Q14. 問 13 で回答した中から、最も重点的に取り組むべきと思うもの１つについて、選択した理由をご記入ください。","性・年代別","男性（計）","231","20","18","13","11","4","30","7","10","6","7","2","13","2","9","0","10","2","21","8","3","5","15","4","10","2"
"202203","区基本計画","Q14. 問 13 で回答した中から、最も重点的に取り組むべきと思うもの１つについて、選択した理由をご記入ください。","性・年代別","男性 18～29歳","13","0","1","1","1","1","3","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1"
"202203","区基本計画","Q14. 問 13 で回答した中から、最も重点的に取り組むべきと思うもの１つについて、選択した理由をご記入ください。","性・年代別","男性 30～39歳","38","2","3","3","4","0","2","1","0","1","0","1","2","0","1","0","3","0","11","2","0","1","0","0","0","0"
"202203","区基本計画","Q14. 問 13 で回答した中から、最も重点的に取り組むべきと思うもの１つについて、選択した理由をご記入ください。","性・年代別","男性 40～49歳","50","2","3","3","2","1","5","0","3","1","0","0","4","0","4","0","3","1","7","4","0","2","0","1","3","0"
"202203","区基本計画","Q14. 問 13 で回答した中から、最も重点的に取り組むべきと思うもの１つについて、選択した理由をご記入ください。","性・年代別","男性 50～59歳","47","5","1","1","2","0","13","0","2","2","1","0","2","0","0","0","2","1","0","1","3","2","4","1","1","1"
"202203","区基本計画","Q14. 問 13 で回答した中から、最も重点的に取り組むべきと思うもの１つについて、選択した理由をご記入ください。","性・年代別","男性 60～69歳","42","6","6","2","0","1","4","2","3","0","2","0","2","0","1","0","1","0","1","0","0","0","6","1","2","0"
"202203","区基本計画","Q14. 問 13 で回答した中から、最も重点的に取り組むべきと思うもの１つについて、選択した理由をご記入ください。","性・年代別","男性 70歳以上","40","5","4","3","2","1","3","3","2","2","3","1","3","2","2","0","1","0","1","0","0","0","5","1","3","0"
"202203","区基本計画","Q14. 問 13 で回答した中から、最も重点的に取り組むべきと思うもの１つについて、選択した理由をご記入ください。","性・年代別","男性 無回答","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"202203","区基本計画","Q14. 問 13 で回答した中から、最も重点的に取り組むべきと思うもの１つについて、選択した理由をご記入ください。","性・年代別","女性（計）","313","16","7","20","14","10","37","2","10","13","11","1","8","9","4","4","5","1","33","19","4","1","25","5","9","7"
"202203","区基本計画","Q14. 問 13 で回答した中から、最も重点的に取り組むべきと思うもの１つについて、選択した理由をご記入ください。","性・年代別","女性 18～29歳","26","2","0","0","2","0","3","0","1","3","1","0","1","0","0","1","0","0","10","0","0","0","0","0","1","0"
