"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2022","総務費","153415","2.5","153415","2.5"
"2022","広域連合負担金","5764444","93.5","5833323","93.6"
"2022","保険給付費","84166","1.4","84166","1.4"
"2022","保健事業費","108801","1.8","108801","1.7"
"2022","諸支出金","4600","0.1","4600","0.1"
"2022","予備費","50000","0.8","50000","0.8"
"2022","歳出合計","6165426","100.0","6234305","100.0"
"2023","総務費","161937","2.5",,
"2023","広域連合負担金","6055789","93.6",,
"2023","保険給付費","84134","1.3",,
"2023","保健事業費","110279","1.7",,
"2023","諸支出金","4900","0.1",,
"2023","予備費","50000","0.8",,
"2023","歳出合計","6467039","100.0",,

"令和5年度港区行政資料集　後期高齢者医療会計歳出予算","Ver202303",,,,
