"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F","選択肢G","選択肢H","選択肢I","選択肢J"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","全体",,"658","230","176","139","93","179","284","164","151","41","31"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","男性（計）","248","80","81","56","32","71","109","62","51","15","15"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","男性 18～29歳","23","6","7","8","5","9","12","5","2","0","4"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","男性 30～39歳","35","12","11","7","3","13","15","9","7","3","3"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","男性 40～49歳","41","9","18","11","6","7","15","10","9","3","1"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","男性 50～59歳","49","15","12","10","5","15","29","18","12","3","4"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","男性 60～69歳","39","14","16","7","4","11","14","8","10","0","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","男性 70歳以上","60","24","17","13","9","16","24","12","11","5","3"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","男性 無回答","1","0","0","0","0","0","0","0","0","1","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","女性（計）","400","144","93","82","58","106","172","100","98","26","16"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","女性 18～29歳","28","6","7","10","3","4","11","2","5","3","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","女性 30～39歳","65","22","16","17","7","20","35","15","12","3","3"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","女性 40～49歳","95","31","20","16","19","27","51","26","23","9","5"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","女性 50～59歳","82","37","20","17","8","21","31","24","20","4","3"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","女性 60～69歳","55","16","17","12","11","16","21","12","18","3","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","女性 70歳以上","75","32","13","10","10","18","23","21","20","4","5"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0","0","0","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","性・年代別","無回答","10","6","2","1","3","2","3","2","2","0","0"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","職業別","自営業主・家族従業","92","28","29","22","14","22","36","22","20","4","3"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","職業別","会社員・団体職員・公務員","280","98","79","63","41","73","139","80","61","16","14"
"202003","みなとタバコルール","Q18. 今後のたばこ対策として、どのような取組が必要だと思いますか。（○はいくつでも）","職業別","アルバイト・パートタイマー","58","24","14","9","10","19","23","12","14","5","2"
