階層,地域コード,地域,流入人口（表側地域から東京都へ）／総数（人）,流入人口（表側地域から東京都へ）／通勤者（人）,流入人口（表側地域から東京都へ）／通学者（人）,流入人口（表側地域から東京都へ）／通学者／うち15歳以上（人）,流出人口（東京都から表側地域へ）／総数（人）,流出人口（東京都から表側地域へ）／通勤者（人）,流出人口（東京都から表側地域へ）／通学者（人）,流出人口（東京都から表側地域へ）／通学者／うち15歳以上（人）,流入超過人口（人）
0,0,他道府県の総数,2762478,2506080,256398,240391,494814,438737,56077,48132,2267664
1,1000,北海道,1635,1226,409,407,571,467,104,97,1064
1,2000,青森県,684,505,179,179,136,117,19,16,548
1,3000,岩手県,614,439,175,175,173,163,10,10,441
1,4000,宮城県,1682,1323,359,358,709,634,75,75,973
1,5000,秋田県,294,180,114,114,139,114,25,25,155
1,6000,山形県,476,243,233,233,156,142,14,14,320
1,7000,福島県,1533,882,651,649,795,761,34,33,738
1,8000,茨城県,60118,50840,9278,9169,7788,6838,950,784,52330
1,9000,栃木県,15290,11393,3897,3868,2796,2627,169,156,12494
1,10000,群馬県,12371,8660,3711,3700,2287,2104,183,182,10084
1,11000,埼玉県,892092,816128,75964,71321,141929,127870,14059,12448,750163
1,12000,千葉県,691826,642334,49492,46544,83527,71752,11775,9971,608299
1,14000,神奈川県,1035017,936272,98745,90556,239807,213253,26554,22323,795210
1,15000,新潟県,1532,857,675,673,495,451,44,43,1037
1,16000,富山県,457,272,185,185,124,116,8,8,333
1,17000,石川県,476,290,186,186,155,136,19,19,321
1,18000,福井県,246,146,100,100,84,78,6,6,162
1,19000,山梨県,9394,6998,2396,2358,3838,2594,1244,1211,5556
1,20000,長野県,4836,2747,2089,2086,954,904,50,45,3882
1,21000,岐阜県,672,461,211,211,175,163,12,9,497
1,22000,静岡県,11892,8238,3654,3635,2048,1860,188,158,9844
1,23000,愛知県,3489,2822,667,665,1459,1416,43,40,2030
1,24000,三重県,552,382,170,169,159,141,18,15,393
1,25000,滋賀県,448,388,60,60,120,102,18,18,328
1,26000,京都府,1071,944,127,127,498,383,115,112,573
1,27000,大阪府,3957,3587,370,368,1477,1398,79,78,2480
1,28000,兵庫県,2686,2359,327,326,453,412,41,38,2233
1,29000,奈良県,563,486,77,77,72,58,14,12,491
1,30000,和歌山県,185,126,59,59,51,45,6,6,134
1,31000,鳥取県,99,55,44,44,33,31,2,2,66
1,32000,島根県,121,90,31,31,51,43,8,8,70
1,33000,岡山県,397,285,112,112,128,119,9,9,269
1,34000,広島県,776,543,233,233,273,254,19,14,503
1,35000,山口県,334,238,96,95,80,76,4,3,254
1,36000,徳島県,148,79,69,69,38,36,2,2,110
1,37000,香川県,237,149,88,87,69,67,2,2,168
1,38000,愛媛県,301,198,103,103,73,68,5,4,228
1,39000,高知県,198,123,75,75,56,50,6,5,142
1,40000,福岡県,1644,1329,315,313,427,399,28,26,1217
1,41000,佐賀県,169,101,68,67,45,27,18,12,124
1,42000,長崎県,336,251,85,85,83,75,8,8,253
1,43000,熊本県,436,300,136,136,94,81,13,12,342
1,44000,大分県,216,148,68,68,115,66,49,49,101
1,45000,宮崎県,254,169,85,85,46,41,5,4,208
1,46000,鹿児島県,316,231,85,85,80,69,11,8,236
1,47000,沖縄県,408,263,145,145,148,136,12,12,260
2,,（再掲）,,,,,,,,,
2,14100,横浜市,452434,410831,41603,38180,99213,86834,12379,10218,353221
2,14130,川崎市,319110,292200,26910,23380,76957,70502,6455,4946,242153
2,11100,さいたま市,186454,170932,15522,14429,26927,24179,2748,2041,159527
2,12203,市川市,118720,111795,6925,6269,14751,12424,2327,1479,103969
2,11203,川口市,108484,100106,8378,7561,12267,12142,125,111,96217
2,12204,船橋市,106168,99940,6228,5801,10168,8832,1336,1249,96000
2,12100,千葉市,89178,81526,7652,7244,14177,12360,1817,1609,75001
2,12207,松戸市,86245,81302,4943,4668,7573,6392,1181,1010,78672
2,14150,相模原市,85154,76221,8933,8299,31097,28122,2975,2772,54057
2,11208,所沢市,59844,54958,4886,4471,15108,14029,1079,1053,44736
2,12217,柏市,56362,52741,3621,3429,5842,5157,685,582,50520
2,11222,越谷市,46930,43805,3125,2970,4981,4362,619,497,41949
2,11221,草加市,44663,41834,2829,2621,6028,5521,507,504,38635
2,12227,浦安市,43317,39354,3963,3495,12557,11603,954,846,30760
2,11230,新座市,32834,30590,2244,2028,9198,7465,1733,1491,23636
2,14205,藤沢市,32336,29040,3296,3205,5488,3631,1857,1645,26848
2,12220,流山市,31832,30255,1577,1481,1394,1194,200,156,30438
2,11201,川越市,30456,27171,3285,3135,6352,5030,1322,1179,24104
2,11227,朝霞市,30200,27991,2209,2035,4995,4696,299,295,25205
2,11224,戸田市,29497,26896,2601,2393,6035,5996,39,38,23462
2,12216,習志野市,27450,25614,1836,1739,4203,2563,1640,1472,23247
2,11229,和光市,24444,22904,1540,1379,6424,6401,23,19,18020
2,12221,八千代市,23735,21979,1756,1684,1367,1274,93,86,22368
2,11219,上尾市,21897,19825,2072,1992,1336,1208,128,128,20561
2,14213,大和市,20685,18832,1853,1741,3599,3460,139,99,17086
,,,,,,,,,,,
令和２年国勢調査による東京都の昼間人口,,,,,,,,,,,
第５表　東京都と他道府県との流入・流出人口 -通勤者（15歳以上）・通学者-,,,,,,,,,,,
階層（0:他道府県の合計　1:道府県　2:関東地方の市町村のうち上位25都市）,,,,,,,,,,,
注　1)　流入超過人口のマイナス値は流出超過である。,,,,,,,,,,,
