事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,TL 調査産業計,平成23,2011,年平均,18.4,19.2,17.3,146,157.7,128.3,134.8,144,120.9,11.2,13.7,7.4
５人以上,TL 調査産業計,平成24,2012,年平均,18.7,19.4,17.6,148.3,160.5,129.9,136.4,145.5,122.6,11.9,15,7.3
５人以上,TL 調査産業計,平成25,2013,年平均,18.4,19.1,17.3,146.2,158.2,127.9,134.1,143.1,120.4,12.1,15.1,7.5
５人以上,TL 調査産業計,平成26,2014,年平均,18.2,19,17.2,145.2,157.5,127,132.9,142.2,119.3,12.3,15.3,7.7
５人以上,TL 調査産業計,平成27,2015,年平均,18.1,18.8,17,144.2,156.9,125.5,132.2,141.7,118.2,12,15.2,7.3
５人以上,TL 調査産業計,平成28,2016,年平均,18.1,18.8,17,143.2,155.7,125.1,131.8,141.3,118,11.4,14.4,7.1
５人以上,TL 調査産業計,平成28,2016,1月,16.9,17.6,15.9,134.3,146.1,117.3,123.1,131.9,110.3,11.2,14.2,7
５人以上,TL 調査産業計,平成28,2016,2月,18,18.7,16.9,143,155.7,124.4,131.3,140.9,117.3,11.7,14.8,7.1
５人以上,TL 調査産業計,平成28,2016,3月,18.6,19.4,17.5,148.4,161.5,129.2,136.1,146.1,121.5,12.3,15.4,7.7
５人以上,TL 調査産業計,平成28,2016,4月,18.7,19.5,17.6,149.1,162.1,130.3,137,147,122.6,12.1,15.1,7.7
５人以上,TL 調査産業計,平成28,2016,5月,17.3,17.9,16.5,136.6,147.6,120.9,125.7,133.9,113.9,10.9,13.7,7
５人以上,TL 調査産業計,平成28,2016,6月,19,19.7,17.9,148.6,161.5,130.2,137.4,147.3,123.2,11.2,14.2,7
５人以上,TL 調査産業計,平成28,2016,7月,18.5,19.3,17.4,146.5,159.3,128,135.3,145.1,121.1,11.2,14.2,6.9
５人以上,TL 調査産業計,平成28,2016,8月,17.7,18.4,16.7,140.2,152.6,122.9,129.5,138.9,116.3,10.7,13.7,6.6
５人以上,TL 調査産業計,平成28,2016,9月,18,18.7,17,142.8,155,125.1,131.8,141.1,118.4,11,13.9,6.7
５人以上,TL 調査産業計,平成28,2016,10月,17.9,18.7,16.8,142.4,155.1,124,130.9,140.6,116.9,11.5,14.5,7.1
５人以上,TL 調査産業計,平成28,2016,11月,18.2,19,17.1,144.7,157.8,125.9,133.1,143.1,118.8,11.6,14.7,7.1
５人以上,TL 調査産業計,平成28,2016,12月,17.8,18.6,16.7,141.3,154.3,122.8,130,140,115.7,11.3,14.3,7.1
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,19,19.1,18.7,150.2,151.2,146.7,138.9,139.8,135.7,11.3,11.4,11
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,19.6,19.7,19,159.8,163.4,144.9,142.8,145.2,132.8,17,18.2,12.1
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,年平均,19.1,19.3,18.5,156.1,158.9,144.7,139.2,140.7,133,16.9,18.2,11.7
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,年平均,19,19.2,18.4,156.7,160.2,144,138.2,139.8,132.2,18.5,20.4,11.8
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,1月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,2月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,3月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,4月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,5月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,6月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,7月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,8月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,9月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,10月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,11月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,12月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,D 建設業,平成23,2011,年平均,20.1,20.4,18.9,169.5,173.3,147.7,153.8,156.1,140.8,15.7,17.2,6.9
５人以上,D 建設業,平成24,2012,年平均,20.7,21,19.1,176.4,180.3,155.6,156,158,145.4,20.4,22.3,10.2
５人以上,D 建設業,平成25,2013,年平均,20.6,20.8,19.1,174.9,177.9,157.4,155.2,156.8,145.8,19.7,21.1,11.6
５人以上,D 建設業,平成26,2014,年平均,20.4,20.7,18.9,174.4,177.7,155.8,154.2,156,144.2,20.2,21.7,11.6
５人以上,D 建設業,平成27,2015,年平均,20.2,20.5,18.8,173.6,177.5,152.3,155,157.4,141.7,18.6,20.1,10.6
５人以上,D 建設業,平成28,2016,年平均,20.5,20.8,19,175.8,179.5,154.7,158.3,160.7,144.5,17.5,18.8,10.2
５人以上,D 建設業,平成28,2016,1月,18.4,18.8,16.5,157.7,162,132.9,141.2,144.2,123.7,16.5,17.8,9.2
５人以上,D 建設業,平成28,2016,2月,20.9,21.2,19.4,179.7,183.7,156.1,160.8,163.4,145.6,18.9,20.3,10.5
５人以上,D 建設業,平成28,2016,3月,21.5,21.9,19.6,185.2,189.4,160.7,166.1,169,149.2,19.1,20.4,11.5
５人以上,D 建設業,平成28,2016,4月,21.3,21.6,19.9,182,185.1,163.5,164.8,167,151.8,17.2,18.1,11.7
５人以上,D 建設業,平成28,2016,5月,18.5,18.8,17.3,158.1,160.8,142.2,143.2,145,132.7,14.9,15.8,9.5
５人以上,D 建設業,平成28,2016,6月,21.5,21.6,20.4,182.7,185.4,167.8,167.1,168.8,157.5,15.6,16.6,10.3
５人以上,D 建設業,平成28,2016,7月,21.4,21.6,20.1,181.7,185.5,162.4,165,167.3,153.1,16.7,18.2,9.3
５人以上,D 建設業,平成28,2016,8月,19.3,19.6,17.8,166,169.8,146,150.1,152.6,137,15.9,17.2,9
５人以上,D 建設業,平成28,2016,9月,20.7,21,19.3,178.4,182.5,156.5,160.7,163.2,147.3,17.7,19.3,9.2
５人以上,D 建設業,平成28,2016,10月,20.7,21.1,18.7,178.7,183.5,153,159.4,162.6,142.3,19.3,20.9,10.7
５人以上,D 建設業,平成28,2016,11月,21,21.3,19.3,180.3,184.6,158.1,161.3,164.1,147,19,20.5,11.1
５人以上,D 建設業,平成28,2016,12月,20.8,21,19.3,178,182.1,157,159.3,161.8,146.3,18.7,20.3,10.7
５人以上,E 製造業,平成23,2011,年平均,19.2,19.5,18.5,159,162.8,147.5,147.6,150.6,138.5,11.4,12.2,9
５人以上,E 製造業,平成24,2012,年平均,19.3,19.5,18.6,159.9,164,147.6,147.1,150.1,138.3,12.8,13.9,9.3
５人以上,E 製造業,平成25,2013,年平均,19,19.2,18.4,158.1,162,147.1,144.9,147.7,136.9,13.2,14.3,10.2
５人以上,E 製造業,平成26,2014,年平均,19,19.3,18.3,157.7,161.8,146.1,144.9,148,136.2,12.8,13.8,9.9
５人以上,E 製造業,平成27,2015,年平均,19,19.2,18.2,157.6,163.1,143,145.3,149.3,134.8,12.3,13.8,8.2
５人以上,E 製造業,平成28,2016,年平均,19,19.3,18.2,156.6,162.5,142,145,149.5,133.8,11.6,13,8.2
５人以上,E 製造業,平成28,2016,1月,17.3,17.6,16.4,143.3,148.8,129,132.3,136.6,121.1,11,12.2,7.9
５人以上,E 製造業,平成28,2016,2月,19,19.3,18.3,157.6,163.4,142.7,145.1,149.2,134.4,12.5,14.2,8.3
５人以上,E 製造業,平成28,2016,3月,19.7,20,18.8,163.4,170,146.4,150.8,155.8,137.9,12.6,14.2,8.5
５人以上,E 製造業,平成28,2016,4月,19.9,20.2,19.2,165,170.7,150.7,152.6,156.9,141.6,12.4,13.8,9.1
５人以上,E 製造業,平成28,2016,5月,17.6,17.9,17,145.9,151,132.8,135.1,139.1,125,10.8,11.9,7.8
５人以上,E 製造業,平成28,2016,6月,19.9,20.2,19.2,164,169.9,149.2,152.4,156.9,141.1,11.6,13,8.1
５人以上,E 製造業,平成28,2016,7月,19.8,20.1,19.1,163.3,169,148.8,151.6,155.9,140.6,11.7,13.1,8.2
５人以上,E 製造業,平成28,2016,8月,18.1,18.3,17.4,148.7,153.8,135.7,138.3,142.2,128.4,10.4,11.6,7.3
５人以上,E 製造業,平成28,2016,9月,19,19.3,18.3,156.6,162.5,142.1,145.3,149.8,134.2,11.3,12.7,7.9
５人以上,E 製造業,平成28,2016,10月,19,19.2,18.2,156.1,162.5,140.5,144.2,149,132.4,11.9,13.5,8.1
５人以上,E 製造業,平成28,2016,11月,19.5,19.8,18.5,160.2,166.6,144.7,148.8,153.8,136.5,11.4,12.8,8.2
５人以上,E 製造業,平成28,2016,12月,18.8,19.1,18.1,155.5,161.2,141.3,144.1,148.6,132.8,11.4,12.6,8.5
５人以上,F 電気・ガス・熱供給・水道業,平成23,2011,年平均,19.4,19.5,18.3,168.2,171.4,147.6,143.3,144.9,133.3,24.9,26.5,14.3
５人以上,F 電気・ガス・熱供給・水道業,平成24,2012,年平均,19.3,19.4,18.6,164.7,167,149.4,146.8,148,138.7,17.9,19,10.7
５人以上,F 電気・ガス・熱供給・水道業,平成25,2013,年平均,18.5,18.6,17.9,158.7,160.7,145.5,140,141,133.4,18.7,19.7,12.1
５人以上,F 電気・ガス・熱供給・水道業,平成26,2014,年平均,18.4,18.5,18.2,158.9,160.2,149.2,139.4,139.9,135.6,19.5,20.3,13.6
５人以上,F 電気・ガス・熱供給・水道業,平成27,2015,年平均,18.4,18.4,18,159.1,160.1,154.2,143.4,144,140.6,15.7,16.1,13.6
５人以上,F 電気・ガス・熱供給・水道業,平成28,2016,年平均,18.5,18.7,17.8,162.6,164.9,152.7,145.2,146.7,138.8,17.4,18.2,13.9
５人以上,F 電気・ガス・熱供給・水道業,平成28,2016,1月,17.6,17.7,16.8,152.5,154,146,134.8,135.8,130.3,17.7,18.2,15.7
５人以上,F 電気・ガス・熱供給・水道業,平成28,2016,2月,18.6,18.8,17.6,163.7,165.6,154.8,144.4,145.7,138.1,19.3,19.9,16.7
５人以上,F 電気・ガス・熱供給・水道業,平成28,2016,3月,20.2,20.4,19.2,179.9,182.3,170,158.6,160.3,151.6,21.3,22,18.4
５人以上,F 電気・ガス・熱供給・水道業,平成28,2016,4月,19.4,19.5,18.8,170.4,172.3,162.8,151.1,152.4,146,19.3,19.9,16.8
５人以上,F 電気・ガス・熱供給・水道業,平成28,2016,5月,17.2,17.3,16.8,154.2,156.3,146.2,136.7,137.9,132.3,17.5,18.4,13.9
５人以上,F 電気・ガス・熱供給・水道業,平成28,2016,6月,20.3,20.5,19.5,168.8,170.6,162,151.3,152.4,147.3,17.5,18.2,14.7
５人以上,F 電気・ガス・熱供給・水道業,平成28,2016,7月,18.3,18.4,17.6,160.3,162.4,151.5,143.5,144.8,138,16.8,17.6,13.5
５人以上,F 電気・ガス・熱供給・水道業,平成28,2016,8月,18.5,18.7,17.8,169.2,171.7,158.2,153.9,155.5,146.9,15.3,16.2,11.3
５人以上,F 電気・ガス・熱供給・水道業,平成28,2016,9月,18.3,18.6,17,161.6,164.7,147.1,145.3,147.5,135.3,16.3,17.2,11.8
５人以上,F 電気・ガス・熱供給・水道業,平成28,2016,10月,18.5,18.7,17.7,160.9,163.7,148.2,143.7,145.4,136.1,17.2,18.3,12.1
５人以上,F 電気・ガス・熱供給・水道業,平成28,2016,11月,18.5,18.7,17.5,160.9,164,146.9,144.3,146.3,135.4,16.6,17.7,11.5
