規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.4,154.2,138,16.2,13.5,87.1,83.8,3.3
100～499人,18.3,155.4,140,15.4,14.6,89.2,86.1,3.1
100人以上,18.4,154.8,139,15.8,14.1,88.4,85.2,3.2
30～99人,18.4,148,136.2,11.8,13.8,81.1,78.3,2.8
５～29人,19,157.6,147.1,10.5,13.1,79.3,76.6,2.7
30人以上,18.4,152.6,138.1,14.5,14,84.9,81.9,3
５人以上,18.5,153.9,140.4,13.5,13.6,82.3,79.4,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年５月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
