規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,5470882,55589,69394,5456990,1836876,55374,67115,1825222
５人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－,－,－
５人以上,建設業,336110,1993,2947,335157,8522,565,599,8487
５人以上,製造業,611918,5238,4988,612180,54356,926,1474,53796
５人以上,電気・ガス・熱供給・水道業,16615,12,57,16570,222,4,0,226
５人以上,情報通信業,745220,7315,7770,744745,22590,1038,900,22748
５人以上,"運輸業,郵便業",408042,2799,4113,406727,48617,1014,1135,48497
５人以上,"卸売業,小売業",969614,7589,10999,966085,454168,14034,12290,456031
５人以上,"金融業,保険業",351315,4028,4812,350518,34927,733,455,35218
５人以上,"不動産業,物品賃貸業",161772,1570,2004,161352,33572,944,561,33941
５人以上,"学術研究,専門・技術サービス業",362844,2734,3368,362209,30979,1326,400,31906
５人以上,"宿泊業,飲食サービス業",156058,4595,3777,156877,479393,15137,22629,471900
５人以上,"生活関連サービス業,娯楽業",120785,1028,2599,119215,102249,2284,4614,99918
５人以上,"教育,学習支援業",265152,721,1152,264720,155555,7126,8170,154512
５人以上,"医療,福祉",372997,3167,4725,371379,200207,4845,6477,198635
５人以上,複合サービス事業,17169,4,2,17170,3730,0,169,3562
５人以上,サービス業（他に分類されないもの）,575271,12796,16081,572086,207789,5398,7242,205845
30人以上,調査産業計,4065980,40490,51088,4055578,991059,26249,35434,981678
30人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－,－,－
30人以上,建設業,213219,1009,1908,212320,1610,57,36,1631
30人以上,製造業,473146,4066,3369,473855,31253,290,1087,30444
30人以上,電気・ガス・熱供給・水道業,13620,12,57,13575,222,4,0,226
30人以上,情報通信業,629612,6000,6260,629333,16580,326,642,16283
30人以上,"運輸業,郵便業",340450,2544,3801,339192,33493,1014,643,33865
30人以上,"卸売業,小売業",632449,5735,8721,629425,225261,5102,5861,224540
30人以上,"金融業,保険業",295454,3217,3709,294948,27614,683,405,27906
30人以上,"不動産業,物品賃貸業",106150,1096,1407,105853,22959,823,387,23381
30人以上,"学術研究,専門・技術サービス業",269303,2335,1550,270088,12137,206,139,12204
30人以上,"宿泊業,飲食サービス業",68327,1360,1845,67843,150316,3865,6853,147327
30人以上,"生活関連サービス業,娯楽業",64533,427,1247,63714,57522,1400,3310,55611
30人以上,"教育,学習支援業",215206,353,800,214758,119172,5384,6848,117709
30人以上,"医療,福祉",281871,1901,3542,280369,110163,1978,3529,108473
30人以上,複合サービス事業,6490,4,2,6492,662,0,0,662
30人以上,サービス業（他に分類されないもの）,456150,10431,12870,453813,182095,5117,5694,181416
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年１月分,,,,,,,,,
第７表  産業、就業形態別労働者数,,,,,,,,,
