規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,517708,462261,423133,39128,55447,128231,125580,119533,6047,2651
100～499人,459541,410903,378739,32164,48638,118237,117194,112135,5059,1043
100人以上,487847,435896,400343,35553,51951,122327,120626,115163,5463,1701
30～99人,401425,378483,353460,25023,22942,106506,105987,103391,2596,519
５～29人,372251,351046,332109,18937,21205,92894,92318,89590,2728,576
30人以上,460533,417750,385525,32225,42783,114562,113441,109385,4056,1121
５人以上,437270,400173,371449,28724,37097,104528,103660,100219,3441,868
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年１１月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
